RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,29936,Ryan Fox,24.00,24,1
1,0,36689,Brooks Koepka,24.00,24,1
1,0,37189,Harold Varner III,24.00,24,1
4,0,22764,Michael Block,25.00,25,1
4,0,29725,Tony Finau,25.00,25,1
4,0,50525,Collin Morikawa,25.00,25,1
7,0,39997,Corey Conners,26.00,26,1
7,0,39977,Max Homa,26.00,26,1
7,0,30925,Dustin Johnson,26.00,26,1
7,0,45523,Thriston Lawrence,26.00,26,1
7,13,55789,Taylor Montgomery,26.00,26,1
7,0,33293,Thomas Pieters,26.00,26,1
7,13,46046,Scottie Scheffler,26.00,26,1
14,0,33141,Keegan Bradley,27.00,27,1
14,6,47591,Eric Cole,27.00,27,1
14,0,40115,Adam Svensson,27.00,27,1
14,0,48119,Ben Taylor,27.00,27,1
18,0,55708,Hayden Buckley,28.00,28,1
18,0,47959,Bryson DeChambeau,28.00,28,1
18,0,20766,Padraig Harrington,28.00,28,1
18,0,48117,Kurt Kitayama,28.00,28,1
18,0,40250,Taylor Pendrith,28.00,28,1
18,0,22405,Justin Rose,28.00,28,1
24,0,35450,Patrick Cantlay,29.00,29,1
24,35,33399,Adam Hadwin,29.00,29,1
24,0,35778,Kazuki Higa,29.00,29,1
24,0,35461,Beau Hossler,29.00,29,1
24,0,46717,Viktor Hovland,29.00,29,1
24,0,24024,Zach Johnson,29.00,29,1
24,0,30926,Chris Kirk,29.00,29,1
24,0,29670,Pablo Larrazabal,29.00,29,1
24,0,37378,Min Woo Lee,29.00,29,1
24,35,36871,Matt NeSmith,29.00,29,1
24,0,49771,J.T. Poston,29.00,29,1
24,0,46970,Jon Rahm,29.00,29,1
24,0,34360,Patrick Reed,29.00,29,1
24,0,48081,Xander Schauffele,29.00,29,1
24,0,50493,Justin Suh,29.00,29,1
39,0,45157,Cam Davis,30.00,30,1
39,0,33653,Thomas Detry,30.00,30,1
39,0,54628,Lee Hodges,30.00,30,1
39,0,36801,Mark Hubbard,30.00,30,1
39,0,33204,Shane Lowry,30.00,30,1
39,20,32839,Hideki Matsuyama,30.00,30,1
39,0,47993,Denny McCarthy,30.00,30,1
39,0,28237,Rory McIlroy,30.00,30,1
39,0,39546,Keith Mitchell,30.00,30,1
39,0,49947,Taylor Moore,30.00,30,1
39,0,46340,Alex Smalley,30.00,30,1
39,0,35891,Cameron Smith,30.00,30,1
39,-19,55893,Sam Stevens,30.00,30,1
39,0,51634,Sahith Theegala,30.00,30,1
39,0,33448,Justin Thomas,30.00,30,1
54,0,39058,Lucas Herbert,31.00,31,1
54,0,33674,Adrian Meronk,31.00,31,1
54,0,01810,Phil Mickelson,31.00,31,1
54,0,47529,Mito Pereira,31.00,31,1
54,0,47679,Victor Perez,31.00,31,1
54,-51,24502,Adam Scott,31.00,31,1
54,0,34046,Jordan Spieth,31.00,31,1
54,0,48887,Matt Wallace,31.00,31,1
62,10,34363,Tyrrell Hatton,32.00,32,1
62,-50,35532,Tom Hoge,32.00,32,1
62,-11,36799,Stephan Jaeger,32.00,32,1
62,0,26476,Chez Reavie,32.00,32,1
62,0,36699,Patrick Rodgers,32.00,32,1
62,0,48699,Callum Tarren,32.00,32,1
68,0,33974,Dean Burmester,33.00,33,1
68,0,30911,Tommy Fleetwood,33.00,33,1
68,0,52453,Nicolai Hojgaard,33.00,33,1
71,0,34076,Joel Dahmen,34.00,34,1
71,0,47056,Rikuya Hoshino,34.00,34,1
71,0,32369,Sihwan Kim,34.00,34,1
71,11,32791,K.H. Lee,34.00,34,1
71,0,48051,Yannik Paul,34.00,34,1
71,0,49960,Sepp Straka,34.00,34,1
