RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,33948,Byeong Hun An,23.00,23,1
1,0,47591,Eric Cole,23.00,23,1
1,57,30927,Brendon Todd,23.00,23,1
4,10,54591,Ben Griffin,24.00,24,1
4,62,55789,Taylor Montgomery,24.00,24,1
4,49,49947,Taylor Moore,24.00,24,1
4,0,47983,Chad Ramey,24.00,24,1
4,22,40115,Adam Svensson,24.00,24,1
9,0,25900,Lucas Glover,25.00,25,1
9,0,37275,Sam Ryder,25.00,25,1
9,-5,48081,Xander Schauffele,25.00,25,1
9,5,34046,Jordan Spieth,25.00,25,1
9,0,54783,Dylan Wu,25.00,25,1
14,0,45522,Christiaan Bezuidenhout,26.00,26,1
14,52,51766,Wyndham Clark,26.00,26,1
14,-10,32102,Rickie Fowler,26.00,26,1
14,0,27644,Brian Harman,26.00,26,1
14,-10,46717,Viktor Hovland,26.00,26,1
14,0,39971,Sungjae Im,26.00,26,1
14,0,37378,Min Woo Lee,26.00,26,1
14,0,47993,Denny McCarthy,26.00,26,1
14,0,34610,Matthias Schwab,26.00,26,1
14,0,30692,Scott Stallings,26.00,26,1
14,0,50493,Justin Suh,26.00,26,1
25,0,47504,Sam Burns,27.00,27,1
25,0,45157,Cam Davis,27.00,27,1
25,1,28089,Jason Day,27.00,27,1
25,0,34563,Chesson Hadley,27.00,27,1
25,15,34363,Tyrrell Hatton,27.00,27,1
25,0,36801,Mark Hubbard,27.00,27,1
25,0,08075,Jerry Kelly,27.00,27,1
25,0,29478,Kevin Kisner,27.00,27,1
25,0,46442,Maverick McNealy,27.00,27,1
25,0,50525,Collin Morikawa,27.00,27,1
25,0,40250,Taylor Pendrith,27.00,27,1
25,0,22405,Justin Rose,27.00,27,1
25,0,52374,Brandon Wu,27.00,27,1
25,-11,57366,Cameron Young,27.00,27,1
39,0,34076,Joel Dahmen,28.00,28,1
39,1,30911,Tommy Fleetwood,28.00,28,1
39,-25,37455,Si Woo Kim,28.00,28,1
39,0,32839,Hideki Matsuyama,28.00,28,1
39,1,25198,Francesco Molinari,28.00,28,1
39,14,24502,Adam Scott,28.00,28,1
39,0,50095,Austin Smotherman,28.00,28,1
39,-13,32139,Danny Willett,28.00,28,1
47,-21,22371,Aaron Baddeley,29.00,29,1
47,-7,29725,Tony Finau,29.00,29,1
47,0,54421,Garrick Higgo,29.00,29,1
47,0,36799,Stephan Jaeger,29.00,29,1
47,-7,55182,Tom Kim,29.00,29,1
47,0,32757,Patton Kizzire,29.00,29,1
47,11,39546,Keith Mitchell,29.00,29,1
47,-21,46046,Scottie Scheffler,29.00,29,1
47,19,51634,Sahith Theegala,29.00,29,1
47,19,33448,Justin Thomas,29.00,29,1
47,25,58168,Davis Thompson,29.00,29,1
47,11,47483,Will Zalatoris,29.00,29,1
59,0,33399,Adam Hadwin,30.00,30,1
59,-58,34098,Russell Henley,30.00,30,1
59,0,49298,Kramer Hickok,30.00,30,1
59,0,35532,Tom Hoge,30.00,30,1
59,-19,39977,Max Homa,30.00,30,1
59,-6,34409,David Lingmerth,30.00,30,1
59,0,33413,Ben Martin,30.00,30,1
59,0,46340,Alex Smalley,30.00,30,1
67,0,45609,Tyler Duncan,31.00,31,1
67,-14,29936,Ryan Fox,31.00,31,1
67,0,28775,Nate Lashley,31.00,31,1
67,-9,33204,Shane Lowry,31.00,31,1
67,-9,46414,Aaron Rai,31.00,31,1
72,-1,56762,Will Gordon,32.00,32,1
72,0,49960,Sepp Straka,32.00,32,1
74,-48,35450,Patrick Cantlay,33.00,33,1
75,0,31323,Gary Woodland,35.00,35,1
