RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,47983,Chad Ramey,2.816,11.263,4
2,24,55789,Taylor Montgomery,2.069,8.275,4
3,0,37378,Min Woo Lee,1.936,7.745,4
4,0,46442,Maverick McNealy,1.797,7.188,4
5,0,52374,Brandon Wu,1.752,7.007,4
6,0,49298,Kramer Hickok,1.526,6.103,4
7,57,34409,David Lingmerth,1.274,5.096,4
8,40,39546,Keith Mitchell,1.249,4.998,4
9,0,37275,Sam Ryder,1.143,4.574,4
9,7,58168,Davis Thompson,1.143,4.571,4
11,0,45157,Cam Davis,1.130,4.519,4
12,0,32757,Patton Kizzire,1.080,4.319,4
13,19,29936,Ryan Fox,1.021,4.086,4
14,0,45522,Christiaan Bezuidenhout,.983,3.932,4
15,14,34363,Tyrrell Hatton,.969,3.875,4
16,-8,32102,Rickie Fowler,.911,3.644,4
17,0,30692,Scott Stallings,.839,3.356,4
18,0,08075,Jerry Kelly,.793,3.172,4
19,-4,48081,Xander Schauffele,.777,3.109,4
20,0,47504,Sam Burns,.754,3.016,4
21,0,28775,Nate Lashley,.606,2.426,4
22,34,29725,Tony Finau,.598,2.392,4
23,0,47591,Eric Cole,.509,2.037,4
24,0,47993,Denny McCarthy,.484,1.935,4
25,0,27644,Brian Harman,.464,1.856,4
26,40,56762,Will Gordon,.433,1.731,4
27,9,46717,Viktor Hovland,.423,1.694,4
28,-23,49947,Taylor Moore,.401,1.603,4
29,0,32839,Hideki Matsuyama,.354,1.417,4
30,9,30927,Brendon Todd,.353,1.413,4
31,0,33948,Byeong Hun An,.341,1.366,4
32,0,36801,Mark Hubbard,.329,1.317,4
33,-23,50493,Justin Suh,.309,1.238,4
34,-13,39971,Sungjae Im,.306,1.226,4
35,2,24502,Adam Scott,.290,1.160,4
36,0,54783,Dylan Wu,.254,1.018,4
37,-36,40115,Adam Svensson,.238,.954,4
38,0,25900,Lucas Glover,.220,.880,4
39,-4,34046,Jordan Spieth,.201,.805,4
40,0,34610,Matthias Schwab,.187,.750,4
41,16,32139,Danny Willett,.168,.672,4
42,-23,54591,Ben Griffin,.137,.550,4
43,-2,51766,Wyndham Clark,.127,.509,4
44,19,39977,Max Homa,.106,.425,4
45,4,35450,Patrick Cantlay,.076,.305,4
46,14,57366,Cameron Young,.046,.186,4
47,0,33413,Ben Martin,.035,.139,4
48,6,46046,Scottie Scheffler,.027,.107,4
49,19,30911,Tommy Fleetwood,.025,.100,4
50,17,46414,Aaron Rai,.014,.056,4
51,0,34076,Joel Dahmen,-.001,-.004,4
52,-40,28089,Jason Day,-.074,-.297,4
53,0,55182,Tom Kim,-.083,-.333,4
54,0,49960,Sepp Straka,-.131,-.524,4
55,0,22405,Justin Rose,-.151,-.605,4
56,0,50095,Austin Smotherman,-.153,-.611,4
57,0,36799,Stephan Jaeger,-.205,-.819,4
58,0,34098,Russell Henley,-.208,-.833,4
59,0,34563,Chesson Hadley,-.210,-.839,4
60,-38,25198,Francesco Molinari,-.241,-.965,4
61,0,29478,Kevin Kisner,-.255,-1.019,4
62,0,35532,Tom Hoge,-.364,-1.457,4
63,0,54421,Garrick Higgo,-.491,-1.963,4
64,-19,22371,Aaron Baddeley,-.501,-2.005,4
65,0,33399,Adam Hadwin,-.548,-2.190,4
66,0,46340,Alex Smalley,-.634,-2.536,4
67,0,50525,Collin Morikawa,-.642,-2.567,4
68,0,45609,Tyler Duncan,-.648,-2.593,4
69,-23,37455,Si Woo Kim,-.713,-2.852,4
70,0,40250,Taylor Pendrith,-.828,-3.312,4
71,-40,33204,Shane Lowry,-1.059,-4.236,4
72,-65,51634,Sahith Theegala,-1.151,-4.604,4
73,-23,33448,Justin Thomas,-1.237,-4.947,4
74,-9,47483,Will Zalatoris,-1.691,-6.762,4
75,0,31323,Gary Woodland,-1.743,-6.970,4
