RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,08075,Jerry Kelly,83.93,47,56
2,2,55182,Tom Kim,80.36,45,56
3,0,45609,Tyler Duncan,75.00,42,56
3,16,34098,Russell Henley,75.00,42,56
5,0,27644,Brian Harman,73.21,41,56
5,0,35532,Tom Hoge,73.21,41,56
5,10,39971,Sungjae Im,73.21,41,56
5,17,34409,David Lingmerth,73.21,41,56
5,0,47993,Denny McCarthy,73.21,41,56
5,0,22405,Justin Rose,73.21,41,56
11,0,34563,Chesson Hadley,71.43,40,56
11,0,49298,Kramer Hickok,71.43,40,56
11,0,47983,Chad Ramey,71.43,40,56
11,0,54783,Dylan Wu,71.43,40,56
15,-6,35450,Patrick Cantlay,69.64,39,56
15,0,25900,Lucas Glover,69.64,39,56
15,20,46414,Aaron Rai,69.64,39,56
18,0,33399,Adam Hadwin,67.86,38,56
18,0,32839,Hideki Matsuyama,67.86,38,56
18,0,50525,Collin Morikawa,67.86,38,56
18,0,37275,Sam Ryder,67.86,38,56
18,38,46046,Scottie Scheffler,67.86,38,56
18,1,40115,Adam Svensson,67.86,38,56
18,9,30927,Brendon Todd,67.86,38,56
18,0,31323,Gary Woodland,67.86,38,56
26,0,47504,Sam Burns,66.07,37,56
26,0,36801,Mark Hubbard,66.07,37,56
26,0,37378,Min Woo Lee,66.07,37,56
29,0,47591,Eric Cole,64.29,36,56
29,-20,39977,Max Homa,64.29,36,56
29,-20,46717,Viktor Hovland,64.29,36,56
29,6,37455,Si Woo Kim,64.29,36,56
29,0,46340,Alex Smalley,64.29,36,56
29,0,50095,Austin Smotherman,64.29,36,56
29,-7,33448,Justin Thomas,64.29,36,56
36,0,45522,Christiaan Bezuidenhout,62.50,35,56
36,31,51766,Wyndham Clark,62.50,35,56
36,10,29725,Tony Finau,62.50,35,56
36,0,33413,Ben Martin,62.50,35,56
36,0,40250,Taylor Pendrith,62.50,35,56
36,0,34610,Matthias Schwab,62.50,35,56
36,0,49960,Sepp Straka,62.50,35,56
43,-8,51634,Sahith Theegala,60.71,34,56
44,-29,56762,Will Gordon,58.93,33,56
44,0,54421,Garrick Higgo,58.93,33,56
44,0,36799,Stephan Jaeger,58.93,33,56
44,-17,33204,Shane Lowry,58.93,33,56
44,-4,49947,Taylor Moore,58.93,33,56
49,0,34076,Joel Dahmen,57.14,32,56
49,0,46442,Maverick McNealy,57.14,32,56
49,-3,34046,Jordan Spieth,57.14,32,56
49,0,30692,Scott Stallings,57.14,32,56
53,-31,22371,Aaron Baddeley,55.36,31,56
53,3,30911,Tommy Fleetwood,55.36,31,56
53,17,32102,Rickie Fowler,55.36,31,56
53,8,29936,Ryan Fox,55.36,31,56
53,-49,34363,Tyrrell Hatton,55.36,31,56
53,8,50493,Justin Suh,55.36,31,56
53,3,58168,Davis Thompson,55.36,31,56
53,8,32139,Danny Willett,55.36,31,56
61,0,28775,Nate Lashley,53.57,30,56
61,-57,25198,Francesco Molinari,53.57,30,56
63,-10,48081,Xander Schauffele,51.79,29,56
63,-10,57366,Cameron Young,51.79,29,56
65,-50,39546,Keith Mitchell,50.00,28,56
65,-9,55789,Taylor Montgomery,50.00,28,56
65,-38,24502,Adam Scott,50.00,28,56
65,0,52374,Brandon Wu,50.00,28,56
69,0,45157,Cam Davis,48.21,27,56
69,0,29478,Kevin Kisner,48.21,27,56
69,0,32757,Patton Kizzire,48.21,27,56
69,-61,47483,Will Zalatoris,48.21,27,56
73,-38,28089,Jason Day,46.43,26,56
74,-21,54591,Ben Griffin,42.86,24,56
75,0,33948,Byeong Hun An,41.07,23,56
