RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,26,55789,Taylor Montgomery,24.75,99,4,24
1,0,47983,Chad Ramey,24.75,99,4,24
3,31,39546,Keith Mitchell,25.75,103,4,23
3,0,37275,Sam Ryder,25.75,103,4,24
5,0,33948,Byeong Hun An,26.00,104,4,23
5,0,45157,Cam Davis,26.00,104,4,22
5,0,34610,Matthias Schwab,26.00,104,4,24
5,22,50493,Justin Suh,26.00,104,4,24
5,0,52374,Brandon Wu,26.00,104,4,24
10,24,40115,Adam Svensson,26.25,105,4,23
10,17,58168,Davis Thompson,26.25,105,4,24
12,27,51766,Wyndham Clark,26.50,106,4,25
12,53,34409,David Lingmerth,26.50,106,4,23
12,0,32839,Hideki Matsuyama,26.50,106,4,24
12,0,30692,Scott Stallings,26.50,106,4,25
16,0,47591,Eric Cole,26.75,107,4,23
16,0,37378,Min Woo Lee,26.75,107,4,25
16,45,24502,Adam Scott,26.75,107,4,25
19,28,28089,Jason Day,27.00,108,4,27
19,8,30911,Tommy Fleetwood,27.00,108,4,26
19,0,25900,Lucas Glover,27.00,108,4,25
19,0,32757,Patton Kizzire,27.00,108,4,24
19,0,46442,Maverick McNealy,27.00,108,4,26
24,-19,32102,Rickie Fowler,27.25,109,4,26
24,0,35532,Tom Hoge,27.25,109,4,24
24,0,50095,Austin Smotherman,27.25,109,4,26
24,-16,34046,Jordan Spieth,27.25,109,4,25
24,28,30927,Brendon Todd,27.25,109,4,23
24,30,32139,Danny Willett,27.25,109,4,25
30,-9,22371,Aaron Baddeley,27.50,110,4,24
30,0,45522,Christiaan Bezuidenhout,27.50,110,4,26
30,22,34363,Tyrrell Hatton,27.50,110,4,26
30,-22,46717,Viktor Hovland,27.50,110,4,24
30,-9,39971,Sungjae Im,27.50,110,4,23
30,0,47993,Denny McCarthy,27.50,110,4,25
36,0,27644,Brian Harman,27.75,111,4,26
36,0,49298,Kramer Hickok,27.75,111,4,23
36,22,33448,Justin Thomas,27.75,111,4,26
39,0,47504,Sam Burns,28.00,112,4,26
39,22,29725,Tony Finau,28.00,112,4,23
39,-37,54591,Ben Griffin,28.00,112,4,24
39,0,08075,Jerry Kelly,28.00,112,4,27
39,0,33204,Shane Lowry,28.00,112,4,25
39,0,33413,Ben Martin,28.00,112,4,26
39,-28,49947,Taylor Moore,28.00,112,4,24
39,0,22405,Justin Rose,28.00,112,4,24
39,-37,48081,Xander Schauffele,28.00,112,4,25
39,-5,51634,Sahith Theegala,28.00,112,4,26
49,-28,29936,Ryan Fox,28.25,113,4,26
49,-33,34098,Russell Henley,28.25,113,4,23
49,12,39977,Max Homa,28.25,113,4,27
49,0,36801,Mark Hubbard,28.25,113,4,27
49,-10,37455,Si Woo Kim,28.25,113,4,26
49,-10,55182,Tom Kim,28.25,113,4,24
49,-33,46046,Scottie Scheffler,28.25,113,4,24
49,0,54783,Dylan Wu,28.25,113,4,25
57,0,34076,Joel Dahmen,28.50,114,4,27
57,0,46340,Alex Smalley,28.50,114,4,26
57,-3,57366,Cameron Young,28.50,114,4,27
60,-26,25198,Francesco Molinari,28.75,115,4,24
61,-14,35450,Patrick Cantlay,29.00,116,4,24
61,11,56762,Will Gordon,29.00,116,4,25
61,0,34563,Chesson Hadley,29.00,116,4,27
61,0,33399,Adam Hadwin,29.00,116,4,25
61,0,54421,Garrick Higgo,29.00,116,4,27
61,0,29478,Kevin Kisner,29.00,116,4,27
61,9,46414,Aaron Rai,29.00,116,4,25
61,0,49960,Sepp Straka,29.00,116,4,27
69,0,36799,Stephan Jaeger,29.25,117,4,27
69,0,50525,Collin Morikawa,29.25,117,4,27
71,0,28775,Nate Lashley,29.50,118,4,28
72,0,45609,Tyler Duncan,29.75,119,4,25
72,0,40250,Taylor Pendrith,29.75,119,4,27
74,-14,47483,Will Zalatoris,30.50,122,4,25
75,0,31323,Gary Woodland,32.25,129,4,30
