RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,2,27644,Brian Harman,75.00%,42,56
2,46,39977,Max Homa,73.21%,41,56
3,0,21528,Henrik Stenson,71.43%,40,56
4,0,30927,Brendon Todd,69.64%,39,56
4,3,52666,Sami Valimaki,69.64%,39,56
6,0,45526,Abraham Ancer,67.86%,38,56
7,0,45836,Richard Bland,66.07%,37,56
7,55,32102,Rickie Fowler,66.07%,37,56
7,0,47056,Rikuya Hoshino,66.07%,37,56
7,-4,34409,David Lingmerth,66.07%,37,56
7,0,34575,Adrian Otaegui,66.07%,37,56
12,26,55182,Tom Kim,64.29%,36,56
12,0,35174,Matthew Southgate,64.29%,36,56
12,0,34046,Jordan Spieth,64.29%,36,56
15,40,46717,Viktor Hovland,62.50%,35,56
15,0,34360,Patrick Reed,62.50%,35,56
15,0,39113,Shubhankar Sharma,62.50%,35,56
18,0,34362,Laurie Canter,60.71%,34,56
18,-12,30911,Tommy Fleetwood,60.71%,34,56
18,0,32839,Hideki Matsuyama,60.71%,34,56
18,0,49960,Sepp Straka,60.71%,34,56
22,0,31646,Emiliano Grillo,58.93%,33,56
22,-12,20766,Padraig Harrington,58.93%,33,56
22,0,33674,Adrian Meronk,58.93%,33,56
22,45,49771,J.T. Poston,58.93%,33,56
22,-12,46646,Antoine Rozner,58.93%,33,56
27,0,35450,Patrick Cantlay,57.14%,32,56
27,0,51766,Wyndham Clark,57.14%,32,56
27,0,34363,Tyrrell Hatton,57.14%,32,56
27,0,46970,Jon Rahm,57.14%,32,56
27,11,46046,Scottie Scheffler,57.14%,32,56
32,-27,34310,Alexander Björk,55.36%,31,56
32,0,28089,Jason Day,55.36%,31,56
32,0,39412,Zack Fischer,55.36%,31,56
32,16,37250,Romain Langasque,55.36%,31,56
32,23,23481,Marcel Siem,55.36%,31,56
32,0,57366,Cameron Young,55.36%,31,56
38,-14,33653,Thomas Detry,53.57%,30,56
38,0,39971,Sungjae Im,53.57%,30,56
40,0,45522,Christiaan Bezuidenhout,51.79%,29,56
40,0,20229,Stewart Cink,51.79%,29,56
40,0,55721,Alex Fitzpatrick,51.79%,29,56
40,0,24024,Zach Johnson,51.79%,29,56
40,-2,55955,Matthew Jordan,51.79%,29,56
40,-21,28300,Joost Luiten,51.79%,29,56
40,-30,39834,Guido Migliozzi,51.79%,29,56
40,-16,46464,Jordan Smith,51.79%,29,56
40,0,32139,Danny Willett,51.79%,29,56
49,-48,29531,Richie Ramsay,50.00%,28,56
49,0,65374,Brandon Robinson Thompson,50.00%,28,56
51,23,29936,Ryan Fox,48.21%,27,56
51,11,37378,Min Woo Lee,48.21%,27,56
51,-13,28237,Rory McIlroy,48.21%,27,56
51,0,27349,Alex Noren,48.21%,27,56
51,-44,48081,Xander Schauffele,48.21%,27,56
51,0,35891,Cameron Smith,48.21%,27,56
51,0,30692,Scott Stallings,48.21%,27,56
58,-56,39997,Corey Conners,46.43%,26,56
58,-10,52453,Nicolai Hojgaard,46.43%,26,56
58,0,26329,Louis Oosthuizen,46.43%,26,56
58,-39,47679,Victor Perez,46.43%,26,56
58,-10,34256,Andrew Putnam,46.43%,26,56
58,0,27506,Oliver Wilson,46.43%,26,56
58,19,31323,Gary Woodland,46.43%,26,56
65,0,36689,Brooks Koepka,44.64%,25,56
66,-18,48117,Kurt Kitayama,42.86%,24,56
66,0,55509,Hurly Long,42.86%,24,56
66,-39,52215,Robert MacIntyre,42.86%,24,56
69,-62,33948,Byeong Hun An,41.07%,23,56
69,0,24502,Adam Scott,41.07%,23,56
69,0,35913,Michael Stewart,41.07%,23,56
72,0,40098,Matt Fitzpatrick,39.29%,22,56
72,0,45523,Thriston Lawrence,39.29%,22,56
74,0,33293,Thomas Pieters,35.71%,20,56
75,0,47959,Bryson DeChambeau,28.57%,16,56
76,0,54422,Christo Lamprecht,26.79%,15,56
