RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,32839,Hideki Matsuyama,75.00%,54,72,-0.17
1,0,49960,Sepp Straka,75.00%,54,72,-0.33
3,0,57366,Cameron Young,73.61%,53,72,-0.26
4,0,45526,Abraham Ancer,72.22%,52,72,-0.13
4,0,31646,Emiliano Grillo,72.22%,52,72,-0.27
4,0,33674,Adrian Meronk,72.22%,52,72,-0.17
7,-6,46046,Scottie Scheffler,70.83%,51,72,-0.24
8,0,34362,Laurie Canter,69.44%,50,72,-0.20
8,27,46717,Viktor Hovland,69.44%,50,72,-0.32
8,11,34256,Andrew Putnam,69.44%,50,72,-0.24
11,-7,34363,Tyrrell Hatton,68.06%,49,72,-0.29
11,13,28237,Rory McIlroy,68.06%,49,72,-0.27
11,37,48081,Xander Schauffele,68.06%,49,72,-0.18
14,5,51766,Wyndham Clark,66.67%,48,72,-0.21
14,29,33653,Thomas Detry,66.67%,48,72,-0.29
14,34,30911,Tommy Fleetwood,66.67%,48,72,-0.23
14,44,27644,Brian Harman,66.67%,48,72,-0.40
14,10,47679,Victor Perez,66.67%,48,72,-0.25
14,0,46970,Jon Rahm,66.67%,48,72,-0.29
14,0,39113,Shubhankar Sharma,66.67%,48,72,-0.17
14,0,30927,Brendon Todd,66.67%,48,72,-0.25
22,51,39977,Max Homa,65.28%,47,72,-0.30
22,40,55955,Matthew Jordan,65.28%,47,72,-0.28
22,2,49771,J.T. Poston,65.28%,47,72,-0.21
22,0,24502,Adam Scott,65.28%,47,72,-0.26
22,21,23481,Marcel Siem,65.28%,47,72,-0.19
22,0,35174,Matthew Southgate,65.28%,47,72,-0.19
22,0,34046,Jordan Spieth,65.28%,47,72,-0.23
22,49,52666,Sami Valimaki,65.28%,47,72,-0.23
30,0,45836,Richard Bland,63.89%,46,72,-0.26
30,43,48117,Kurt Kitayama,63.89%,46,72,-0.11
30,0,34575,Adrian Otaegui,63.89%,46,72,-0.24
33,-25,34310,Alexander Björk,62.50%,45,72,-0.24
33,0,35450,Patrick Cantlay,62.50%,45,72,-0.16
33,0,28089,Jason Day,62.50%,45,72,-0.33
33,0,40098,Matt Fitzpatrick,62.50%,45,72,-0.20
33,-29,28300,Joost Luiten,62.50%,45,72,-0.11
33,-21,46646,Antoine Rozner,62.50%,45,72,-0.24
33,0,21528,Henrik Stenson,62.50%,45,72,-0.18
40,0,45522,Christiaan Bezuidenhout,61.11%,44,72,-0.20
40,-36,52453,Nicolai Hojgaard,61.11%,44,72,-0.30
40,-25,55182,Tom Kim,61.11%,44,72,-0.34
40,0,36689,Brooks Koepka,61.11%,44,72,-0.23
40,-38,46464,Jordan Smith,61.11%,44,72,-0.23
45,0,55721,Alex Fitzpatrick,59.72%,43,72,-0.40
45,-15,39834,Guido Migliozzi,59.72%,43,72,-0.14
45,0,35891,Cameron Smith,59.72%,43,72,-0.30
48,0,39412,Zack Fischer,58.33%,42,72,-0.24
48,-36,20766,Padraig Harrington,58.33%,42,72,-0.21
48,-33,37250,Romain Langasque,58.33%,42,72,-0.33
48,0,55509,Hurly Long,58.33%,42,72,-0.26
48,0,33293,Thomas Pieters,58.33%,42,72,-0.26
48,0,30692,Scott Stallings,58.33%,42,72,-0.26
54,-35,33948,Byeong Hun An,56.94%,41,72,-0.22
54,0,20229,Stewart Cink,56.94%,41,72,-0.27
54,-6,32102,Rickie Fowler,56.94%,41,72,-0.29
54,0,39971,Sungjae Im,56.94%,41,72,-0.32
54,13,37378,Min Woo Lee,56.94%,41,72,-0.27
54,0,26329,Louis Oosthuizen,56.94%,41,72,-0.37
60,-25,29936,Ryan Fox,55.56%,40,72,-0.30
60,0,47056,Rikuya Hoshino,55.56%,40,72,-0.30
60,-12,34409,David Lingmerth,55.56%,40,72,-0.20
60,-25,52215,Robert MacIntyre,55.56%,40,72,-0.20
60,0,34360,Patrick Reed,55.56%,40,72,-0.30
60,0,65374,Brandon Robinson Thompson,55.56%,40,72,-0.20
66,-36,31323,Gary Woodland,54.17%,39,72,-0.18
67,0,24024,Zach Johnson,52.78%,38,72,-0.26
67,0,54422,Christo Lamprecht,52.78%,38,72,-0.24
67,0,27349,Alex Noren,52.78%,38,72,-0.32
67,-37,29531,Richie Ramsay,52.78%,38,72,-0.18
71,0,47959,Bryson DeChambeau,51.39%,37,72,-0.32
71,0,27506,Oliver Wilson,51.39%,37,72,-0.27
73,-49,39997,Corey Conners,50.00%,36,72,-0.22
73,0,35913,Michael Stewart,50.00%,36,72,-0.31
75,0,45523,Thriston Lawrence,48.61%,35,72,-0.29
76,0,32139,Danny Willett,47.22%,34,72,-0.15
