RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,55721,Alex Fitzpatrick,23.00,23,1
1,4,27644,Brian Harman,23.00,23,1
1,0,47056,Rikuya Hoshino,23.00,23,1
4,58,37378,Min Woo Lee,24.00,24,1
4,0,49960,Sepp Straka,24.00,24,1
6,22,39997,Corey Conners,25.00,25,1
6,46,33653,Thomas Detry,25.00,25,1
6,0,35913,Michael Stewart,25.00,25,1
6,22,31323,Gary Woodland,25.00,25,1
10,0,47959,Bryson DeChambeau,26.00,26,1
10,0,39412,Zack Fischer,26.00,26,1
10,0,40098,Matt Fitzpatrick,26.00,26,1
10,34,29936,Ryan Fox,26.00,26,1
10,34,55955,Matthew Jordan,26.00,26,1
10,0,46970,Jon Rahm,26.00,26,1
10,0,39113,Shubhankar Sharma,26.00,26,1
10,18,52666,Sami Valimaki,26.00,26,1
10,0,27506,Oliver Wilson,26.00,26,1
19,0,24024,Zach Johnson,27.00,27,1
19,0,55182,Tom Kim,27.00,27,1
19,0,55509,Hurly Long,27.00,27,1
19,9,28237,Rory McIlroy,27.00,27,1
19,0,27349,Alex Noren,27.00,27,1
19,0,26329,Louis Oosthuizen,27.00,27,1
19,25,29531,Richie Ramsay,27.00,27,1
19,0,65374,Brandon Robinson Thompson,27.00,27,1
19,0,34046,Jordan Spieth,27.00,27,1
19,0,21528,Henrik Stenson,27.00,27,1
29,41,33948,Byeong Hun An,28.00,28,1
29,0,34362,Laurie Canter,28.00,28,1
29,0,28089,Jason Day,28.00,28,1
29,-1,32102,Rickie Fowler,28.00,28,1
29,-28,39977,Max Homa,28.00,28,1
29,-16,37250,Romain Langasque,28.00,28,1
29,0,45523,Thriston Lawrence,28.00,28,1
29,-16,49771,J.T. Poston,28.00,28,1
29,-1,34256,Andrew Putnam,28.00,28,1
29,0,34360,Patrick Reed,28.00,28,1
29,23,46464,Jordan Smith,28.00,28,1
29,0,30692,Scott Stallings,28.00,28,1
29,0,32139,Danny Willett,28.00,28,1
42,-23,34310,Alexander Björk,29.00,29,1
42,-37,30911,Tommy Fleetwood,29.00,29,1
42,10,20766,Padraig Harrington,29.00,29,1
42,2,52453,Nicolai Hojgaard,29.00,29,1
42,-23,34409,David Lingmerth,29.00,29,1
42,-14,39834,Guido Migliozzi,29.00,29,1
42,28,47679,Victor Perez,29.00,29,1
42,0,33293,Thomas Pieters,29.00,29,1
42,32,46646,Antoine Rozner,29.00,29,1
51,0,35450,Patrick Cantlay,30.00,30,1
51,0,39971,Sungjae Im,30.00,30,1
51,0,54422,Christo Lamprecht,30.00,30,1
51,-23,52215,Robert MacIntyre,30.00,30,1
51,0,32839,Hideki Matsuyama,30.00,30,1
51,0,35891,Cameron Smith,30.00,30,1
51,0,35174,Matthew Southgate,30.00,30,1
58,0,45522,Christiaan Bezuidenhout,31.00,31,1
58,-14,51766,Wyndham Clark,31.00,31,1
58,0,31646,Emiliano Grillo,31.00,31,1
58,-53,34363,Tyrrell Hatton,31.00,31,1
58,4,48117,Kurt Kitayama,31.00,31,1
58,0,36689,Brooks Koepka,31.00,31,1
58,0,34575,Adrian Otaegui,31.00,31,1
58,12,23481,Marcel Siem,31.00,31,1
58,0,30927,Brendon Todd,31.00,31,1
67,0,45836,Richard Bland,32.00,32,1
67,0,20229,Stewart Cink,32.00,32,1
67,-48,46717,Viktor Hovland,32.00,32,1
67,7,28300,Joost Luiten,32.00,32,1
67,0,33674,Adrian Meronk,32.00,32,1
67,0,24502,Adam Scott,32.00,32,1
67,0,57366,Cameron Young,32.00,32,1
74,-12,46046,Scottie Scheffler,33.00,33,1
75,-56,48081,Xander Schauffele,34.00,34,1
76,0,45526,Abraham Ancer,35.00,35,1
