RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,45526,Abraham Ancer,86.54%,45,52
1,0,34098,Russell Henley,86.54%,45,52
3,0,60006,Ben Carr,82.69%,43,52
3,0,37455,Si Woo Kim,82.69%,43,52
3,0,34256,Andrew Putnam,82.69%,43,52
6,-4,59652,Sam Bennett,80.77%,42,52
6,0,35450,Patrick Cantlay,80.77%,42,52
8,0,39546,Keith Mitchell,78.85%,41,52
9,27,30911,Tommy Fleetwood,76.92%,40,52
9,0,37250,Romain Langasque,76.92%,40,52
9,0,50525,Collin Morikawa,76.92%,40,52
9,0,48822,Sebastián Muñoz,76.92%,40,52
9,0,27214,Kevin Streelman,76.92%,40,52
14,0,57362,Austin Eckroat,75.00%,39,52
14,0,32102,Rickie Fowler,75.00%,39,52
14,0,21209,Sergio Garcia,75.00%,39,52
14,0,27644,Brian Harman,75.00%,39,52
14,0,48632,Yuto Katsuragawa,75.00%,39,52
14,46,28237,Rory McIlroy,75.00%,39,52
14,0,50493,Justin Suh,75.00%,39,52
14,0,40115,Adam Svensson,75.00%,39,52
22,28,33204,Shane Lowry,73.08%,38,52
22,0,47993,Denny McCarthy,73.08%,38,52
24,0,51766,Wyndham Clark,71.15%,37,52
25,-7,33399,Adam Hadwin,69.23%,36,52
25,0,12716,Charley Hoffman,69.23%,36,52
25,0,55182,Tom Kim,69.23%,36,52
25,0,36689,Brooks Koepka,69.23%,36,52
25,0,46046,Scottie Scheffler,69.23%,36,52
25,0,46464,Jordan Smith,69.23%,36,52
31,0,29420,Billy Horschel,67.31%,35,52
31,0,46717,Viktor Hovland,67.31%,35,52
31,0,30925,Dustin Johnson,67.31%,35,52
31,0,37378,Min Woo Lee,67.31%,35,52
31,0,32839,Hideki Matsuyama,67.31%,35,52
31,0,34360,Patrick Reed,67.31%,35,52
31,0,35891,Cameron Smith,67.31%,35,52
38,0,47504,Sam Burns,65.38%,34,52
38,0,47988,Nick Hardy,65.38%,34,52
38,-15,54783,Dylan Wu,65.38%,34,52
41,0,34099,Harris English,63.46%,33,52
41,0,35506,Mackenzie Hughes,63.46%,33,52
41,0,30852,Ryo Ishikawa,63.46%,33,52
41,0,48081,Xander Schauffele,63.46%,33,52
41,0,55893,Sam Stevens,63.46%,33,52
46,0,29725,Tony Finau,61.54%,32,52
46,17,34363,Tyrrell Hatton,61.54%,32,52
46,0,45486,Joaquin Niemann,61.54%,32,52
46,0,36699,Patrick Rodgers,61.54%,32,52
46,17,57366,Cameron Young,61.54%,32,52
51,-15,59018,Ryan Gerard,59.62%,31,52
52,-19,47591,Eric Cole,57.69%,30,52
52,0,20766,Padraig Harrington,57.69%,30,52
52,0,57860,Maxwell Moldovan,57.69%,30,52
52,0,61193,David Puig,57.69%,30,52
56,0,28521,Ryutaro Nagano,55.77%,29,52
56,0,64442,Gordon Sargent,55.77%,29,52
56,0,58669,Jacob Solomon,55.77%,29,52
56,0,31323,Gary Woodland,55.77%,29,52
60,0,46970,Jon Rahm,53.85%,28,52
60,12,51634,Sahith Theegala,53.85%,28,52
62,0,47959,Bryson DeChambeau,51.92%,27,52
63,0,29936,Ryan Fox,48.08%,25,52
63,0,63343,Aldrich Potgieter,48.08%,25,52
65,-35,40098,Matt Fitzpatrick,44.23%,23,52
