RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,0,51766,Wyndham Clark,27.50,110,4,23
2,0,28521,Ryutaro Nagano,27.75,111,4,25
2,19,51634,Sahith Theegala,27.75,111,4,26
4,23,33204,Shane Lowry,28.00,112,4,25
4,0,61193,David Puig,28.00,112,4,26
4,0,35891,Cameron Smith,28.00,112,4,27
7,0,35450,Patrick Cantlay,28.25,113,4,24
7,-4,47591,Eric Cole,28.25,113,4,27
7,37,59018,Ryan Gerard,28.25,113,4,27
10,29,59652,Sam Bennett,28.50,114,4,27
10,0,34099,Harris English,28.50,114,4,26
10,17,40098,Matt Fitzpatrick,28.50,114,4,27
10,0,21209,Sergio Garcia,28.50,114,4,27
10,0,37455,Si Woo Kim,28.50,114,4,26
10,0,50493,Justin Suh,28.50,114,4,25
16,0,36699,Patrick Rodgers,28.75,115,4,26
17,0,47504,Sam Burns,29.00,116,4,28
17,-15,30911,Tommy Fleetwood,29.00,116,4,27
17,0,32102,Rickie Fowler,29.00,116,4,25
17,0,46717,Viktor Hovland,29.00,116,4,27
17,0,46046,Scottie Scheffler,29.00,116,4,28
17,0,55893,Sam Stevens,29.00,116,4,27
23,0,35506,Mackenzie Hughes,29.25,117,4,27
23,0,30925,Dustin Johnson,29.25,117,4,27
23,0,36689,Brooks Koepka,29.25,117,4,27
23,0,34360,Patrick Reed,29.25,117,4,28
23,0,64442,Gordon Sargent,29.25,117,4,29
23,0,48081,Xander Schauffele,29.25,117,4,26
29,-22,34363,Tyrrell Hatton,29.50,118,4,25
29,0,12716,Charley Hoffman,29.50,118,4,28
29,0,29420,Billy Horschel,29.50,118,4,28
29,0,48632,Yuto Katsuragawa,29.50,118,4,29
29,0,37378,Min Woo Lee,29.50,118,4,28
29,0,32839,Hideki Matsuyama,29.50,118,4,26
35,0,29725,Tony Finau,29.75,119,4,28
35,0,47988,Nick Hardy,29.75,119,4,27
35,0,58669,Jacob Solomon,29.75,119,4,26
38,0,20766,Padraig Harrington,30.00,120,4,27
38,0,34098,Russell Henley,30.00,120,4,24
38,0,39546,Keith Mitchell,30.00,120,4,28
38,0,45486,Joaquin Niemann,30.00,120,4,29
38,0,40115,Adam Svensson,30.00,120,4,28
43,0,55182,Tom Kim,30.25,121,4,28
43,0,47993,Denny McCarthy,30.25,121,4,25
43,0,50525,Collin Morikawa,30.25,121,4,29
43,0,34256,Andrew Putnam,30.25,121,4,29
43,0,46970,Jon Rahm,30.25,121,4,28
43,0,46464,Jordan Smith,30.25,121,4,26
49,-5,33399,Adam Hadwin,30.50,122,4,29
49,0,27644,Brian Harman,30.50,122,4,30
49,0,37250,Romain Langasque,30.50,122,4,28
49,0,57860,Maxwell Moldovan,30.50,122,4,27
53,0,57362,Austin Eckroat,30.75,123,4,26
53,0,30852,Ryo Ishikawa,30.75,123,4,28
53,15,57366,Cameron Young,30.75,123,4,29
56,0,29936,Ryan Fox,31.00,124,4,29
56,0,48822,Sebastián Muñoz,31.00,124,4,25
56,0,63343,Aldrich Potgieter,31.00,124,4,30
56,16,54783,Dylan Wu,31.00,124,4,27
60,-39,28237,Rory McIlroy,31.25,125,4,28
60,0,31323,Gary Woodland,31.25,125,4,28
62,0,60006,Ben Carr,31.75,127,4,31
62,0,47959,Bryson DeChambeau,31.75,127,4,29
62,0,27214,Kevin Streelman,31.75,127,4,30
65,0,45526,Abraham Ancer,32.00,128,4,31
