PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
46046,Scottie Scheffler,2023 WM Phoenix Open,1.03925,0.685,2.397,0.353
33448,Justin Thomas,2023 WM Phoenix Open,-0.04325,1.169,1.06,0.788
34046,Jordan Spieth,2023 WM Phoenix Open,-0.4065,0.203,2.114,0.563
34363,Tyrrell Hatton,2023 WM Phoenix Open,0.10425,1.047,1.524,-0.202
48081,Xander Schauffele,2023 WM Phoenix Open,-0.01375,1.003,1.513,-0.278
29725,Tony Finau,2023 WM Phoenix Open,-0.48025,0.599,1.148,0.457
39971,Sungjae Im,2023 WM Phoenix Open,0.2835,-0.038,1.077,1.152
25493,Nick Taylor,2023 WM Phoenix Open,1.83875,0.522,0.545,1.069
27064,Jhonattan Vegas,2023 WM Phoenix Open,-0.79725,1.042,0.093,0.886
25686,Jason Dufner,2023 WM Phoenix Open,-1.20825,-0.171,1.123,0.98
51766,Wyndham Clark,2023 WM Phoenix Open,0.327,-0.257,1.142,1.011
47504,Sam Burns,2023 WM Phoenix Open,0.64125,0.755,0.298,0.78
28089,Jason Day,2023 WM Phoenix Open,0.91825,0.81,0.821,0.174
46970,Jon Rahm,2023 WM Phoenix Open,1.50875,0.631,0.369,0.715
30692,Scott Stallings,2023 WM Phoenix Open,-0.3365,-0.404,1.23,0.735
28237,Rory McIlroy,2023 WM Phoenix Open,-0.822,0.709,0.382,0.455
31323,Gary Woodland,2023 WM Phoenix Open,-1.3115,0.273,0.964,0.298
33399,Adam Hadwin,2023 WM Phoenix Open,0.9445,0.325,0.897,0.057
49947,Taylor Moore,2023 WM Phoenix Open,0.46675,0.859,0.742,-0.344
23320,Ryan Palmer,2023 WM Phoenix Open,-1.01225,0.07,0.846,0.32
32102,Rickie Fowler,2023 WM Phoenix Open,1.03725,-0.924,1.355,0.755
36699,Patrick Rodgers,2023 WM Phoenix Open,0.555,0.841,0.107,0.221
33141,Keegan Bradley,2023 WM Phoenix Open,0.35725,0.158,0.719,0.24
35461,Beau Hossler,2023 WM Phoenix Open,0.63575,0.718,-0.137,0.507
29970,Dylan Frittelli,2023 WM Phoenix Open,0.676,0.541,0.302,0.204
40098,Matt Fitzpatrick,2023 WM Phoenix Open,-0.0395,0.067,-0.342,1.289
29221,Webb Simpson,2023 WM Phoenix Open,-1.2585,-0.323,1.082,0.224
52374,Brandon Wu,2023 WM Phoenix Open,-0.93675,0.733,0.237,-0.059
39997,Corey Conners,2023 WM Phoenix Open,-0.8855,0.781,0.116,-0.038
28775,Nate Lashley,2023 WM Phoenix Open,-1.34525,0.525,0.619,-0.325
12716,Charley Hoffman,2023 WM Phoenix Open,0.9155,-0.076,0.846,0.038
25900,Lucas Glover,2023 WM Phoenix Open,-0.31525,-0.157,1.088,-0.143
32839,Hideki Matsuyama,2023 WM Phoenix Open,0.2575,0.907,-1.056,0.865
39546,Keith Mitchell,2023 WM Phoenix Open,-0.3785,0.977,-0.144,-0.23
46717,Viktor Hovland,2023 WM Phoenix Open,-0.27675,1.053,0.034,-0.587
34076,Joel Dahmen,2023 WM Phoenix Open,-0.5075,0.352,-0.355,0.484
48117,Kurt Kitayama,2023 WM Phoenix Open,0.77625,0.293,0.094,0.061
28252,Seamus Power,2023 WM Phoenix Open,1.09475,0.177,0.153,0.05
46414,Aaron Rai,2023 WM Phoenix Open,-0.1555,-0.156,-0.109,0.644
35449,Adam Long,2023 WM Phoenix Open,-0.11275,0.452,-0.453,0.338
46601,Trey Mullinax,2023 WM Phoenix Open,-0.825,1.244,-1.204,0.259
55708,Hayden Buckley,2023 WM Phoenix Open,0.7225,0.519,0.073,-0.34
32448,James Hahn,2023 WM Phoenix Open,0.52325,0.785,-0.367,-0.218
24024,Zach Johnson,2023 WM Phoenix Open,0.6155,0.152,0.065,-0.109
40006,Erik van Rooyen,2023 WM Phoenix Open,-0.08575,0.123,0.416,-0.479
32791,K.H. Lee,2023 WM Phoenix Open,0.251,-0.262,0.223,0.012
39977,Max Homa,2023 WM Phoenix Open,0.54,-0.633,-0.014,0.581
37455,Si Woo Kim,2023 WM Phoenix Open,1.291,0.338,-0.553,0.148
37275,Sam Ryder,2023 WM Phoenix Open,1.5515,-0.402,1.022,-0.697
20229,Stewart Cink,2023 WM Phoenix Open,-1.898,-0.349,0.045,0.176
57366,Cameron Young,2023 WM Phoenix Open,-1.2975,0.391,-0.216,-0.403
27644,Brian Harman,2023 WM Phoenix Open,0.60675,0.328,-0.547,-0.165
51890,Greyson Sigg,2023 WM Phoenix Open,0.1395,-0.496,0.044,0.036
40250,Taylor Pendrith,2023 WM Phoenix Open,0.168,-0.327,0.23,-0.347
29420,Billy Horschel,2023 WM Phoenix Open,1.24575,-0.895,0.422,-0.049
29926,Danny Lee,2023 WM Phoenix Open,0.25175,-0.506,0.206,-0.228
51634,Sahith Theegala,2023 WM Phoenix Open,1.04675,0.443,-1.308,0.292
40162,Justin Lower,2023 WM Phoenix Open,0.5785,-0.687,0.355,-0.272
47347,Adam Schenk,2023 WM Phoenix Open,1.893,-0.058,-0.828,0.217
39058,Lucas Herbert,2023 WM Phoenix Open,0.71325,0.663,-0.933,-0.469
55182,Tom Kim,2023 WM Phoenix Open,0.8115,-0.728,-0.089,-0.021
31557,Jim Herman,2023 WM Phoenix Open,-1.4345,0.566,-0.656,-0.751
34563,Chesson Hadley,2023 WM Phoenix Open,2.16225,-0.179,-0.406,-0.353
23108,Matt Kuchar,2023 WM Phoenix Open,1.8135,0.069,-1.132,-0.026
32333,Kevin Tway,2023 WM Phoenix Open,2.288,-1.261,0.253,-0.556
35879,Kelly Kraft,2023 WM Phoenix Open,1.04825,-0.527,-1.569,-0.229
