RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,43,39975,Michael Kim,3.526,0.542,2.201,0.783,2
2,0,30692,Scott Stallings,3.346,0.385,1.203,1.757,2
3,27,45242,Kevin Yu,3.301,1.388,2.317,-0.404,2
4,57,32816,Satoshi Kodaira,3.114,0.469,2.619,0.026,2
5,0,54783,Dylan Wu,2.966,0.206,2.769,-0.009,2
6,0,52411,Kyle Westmoreland,2.797,0.668,1.478,0.651,2
7,25,22405,Justin Rose,2.422,-0.178,1.281,1.318,2
8,0,52374,Brandon Wu,2.421,1.122,2.145,-0.845,2
9,15,49947,Taylor Moore,2.271,0.386,1.109,0.776,2
10,0,36801,Mark Hubbard,2.105,0.104,1.914,0.087,2
11,0,26596,Ryan Moore,2.067,0.167,1.669,0.231,2
12,0,39546,Keith Mitchell,2.033,0.980,0.611,0.443,2
13,0,47591,Eric Cole,2.000,-0.143,1.340,0.804,2
14,0,33413,Ben Martin,1.988,0.744,0.559,0.686,2
15,49,33948,Byeong Hun An,1.929,0.466,0.002,1.462,2
16,0,35461,Beau Hossler,1.778,0.627,-0.450,1.602,2
17,0,27974,Sung Kang,1.752,-0.013,1.528,0.236,2
18,0,30927,Brendon Todd,1.654,0.517,0.193,0.945,2
19,16,33653,Thomas Detry,1.633,-0.301,1.241,0.693,2
20,0,35617,Martin Trainer,1.621,0.327,1.308,-0.013,2
21,-13,34255,Joseph Bramlett,1.593,0.949,1.077,-0.432,2
22,45,51997,Andrew Novak,1.558,0.765,0.913,-0.119,2
23,0,22371,Aaron Baddeley,1.546,0.855,0.599,0.092,2
24,0,47128,Richy Werenski,1.407,0.325,1.289,-0.207,2
25,0,47993,Denny McCarthy,1.370,0.541,0.899,-0.071,2
26,-7,34466,Peter Malnati,1.332,-0.519,2.252,-0.401,2
27,39,40250,Taylor Pendrith,1.256,0.639,0.009,0.608,2
28,0,29478,Kevin Kisner,1.200,0.659,-0.006,0.548,2
29,18,36724,Augusto Núñez,1.184,1.058,-0.096,0.222,2
30,0,46717,Viktor Hovland,1.081,1.219,-0.090,-0.047,2
31,0,12716,Charley Hoffman,0.943,1.244,0.264,-0.565,2
32,0,39067,MJ Daffue,0.925,0.985,-0.558,0.499,2
33,12,33974,Dean Burmester,0.828,0.490,0.658,-0.319,2
34,0,34409,David Lingmerth,0.822,0.319,0.729,-0.225,2
35,7,55893,Sam Stevens,0.771,0.171,1.245,-0.646,2
36,0,24140,Sean O'Hair,0.716,-0.251,0.394,0.573,2
37,0,47983,Chad Ramey,0.570,0.938,-0.821,0.453,2
38,0,31560,Brian Stuard,0.549,-0.367,0.997,-0.080,2
39,10,51414,Brent Grant,0.475,0.852,-0.427,0.050,2
40,25,31577,Tano Goya,0.377,-0.674,1.231,-0.180,2
41,-24,47988,Nick Hardy,0.346,0.322,0.428,-0.403,2
42,0,34076,Joel Dahmen,0.308,0.702,-0.674,0.280,2
43,-16,50188,S.H. Kim,0.273,0.335,0.380,-0.442,2
44,0,51890,Greyson Sigg,0.236,-1.425,1.204,0.456,2
45,0,36871,Matt NeSmith,0.228,0.647,-1.558,1.138,2
46,0,33408,Tyson Alexander,0.227,0.176,-0.057,0.108,2
47,0,22046,Geoff Ogilvy,0.108,0.075,-0.182,0.215,2
48,0,49766,Hank Lebioda,0.083,-0.141,1.049,-0.825,2
49,0,32139,Danny Willett,0.057,-0.069,-0.390,0.517,2
50,0,25493,Nick Taylor,0.022,0.292,-0.140,-0.129,2
51,0,28252,Seamus Power,-0.042,0.136,-0.675,0.498,2
52,0,28679,Fabián Gómez,-0.050,0.475,0.406,-0.930,2
53,0,33122,Russell Knox,-0.086,0.288,-0.026,-0.347,2
54,0,35532,Tom Hoge,-0.109,0.164,-0.241,-0.032,2
55,0,27895,Jonas Blixt,-0.139,0.765,-1.224,0.320,2
56,-3,54421,Garrick Higgo,-0.208,0.302,-0.136,-0.373,2
57,16,35449,Adam Long,-0.223,0.684,-0.645,-0.262,2
58,-10,46441,Robby Shelton,-0.261,-0.563,0.182,0.121,2
59,0,57975,Harry Hall,-0.451,-0.862,1.194,-0.782,2
60,0,39954,Cody Gribble,-0.671,0.078,-0.554,-0.195,2
61,-22,47347,Adam Schenk,-0.672,0.612,-0.881,-0.402,2
62,6,33597,Harry Higgs,-0.720,-0.550,-0.456,0.287,2
63,0,48117,Kurt Kitayama,-0.763,-0.594,-0.424,0.256,2
64,-7,27214,Kevin Streelman,-1.109,-0.157,0.087,-1.038,2
65,0,53165,Doc Redman,-1.150,-0.226,-0.386,-0.537,2
66,3,35901,Paul Haley II,-1.176,0.264,-0.943,-0.497,2
67,-34,46340,Alex Smalley,-1.202,-0.176,-0.766,-0.259,2
68,0,52575,Paul O'Hara,-1.216,-1.014,-0.700,0.498,2
69,0,19803,Ryan Armour,-1.266,-0.223,0.113,-1.155,2
70,-12,58967,Trevor Werbylo,-1.896,-0.097,-0.436,-1.363,2
71,0,34046,Jordan Spieth,-1.899,-0.405,-1.192,-0.301,2
72,-52,48699,Callum Tarren,-2.085,-0.923,0.789,-1.951,2
73,-17,35310,Lanto Griffin,-2.389,-1.392,-0.828,-0.167,2
74,0,20593,Greg Chalmers,-4.079,-1.133,-2.560,-0.385,2
75,-12,29289,S.Y. Noh,-4.487,-0.964,-2.896,-0.628,2
