RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,49,40098,Matt Fitzpatrick,1.904,7.617,4
2,55,57366,Cameron Young,1.839,7.356,4
3,27,27644,Brian Harman,1.744,6.976,4
4,22,46717,Viktor Hovland,1.545,6.178,4
5,20,39977,Max Homa,1.457,5.829,4
6,57,34099,Harris English,1.085,4.340,4
7,17,55182,Tom Kim,0.921,3.682,4
8,50,47591,Eric Cole,0.908,3.632,4
9,-3,35532,Tom Hoge,0.825,3.298,4
10,55,47993,Denny McCarthy,0.776,3.105,4
11,3,22405,Justin Rose,0.681,2.725,4
12,19,48081,Xander Schauffele,0.671,2.682,4
13,6,51766,Wyndham Clark,0.613,2.453,4
14,41,34363,Tyrrell Hatton,0.598,2.391,4
15,52,40115,Adam Svensson,0.576,2.305,4
16,44,47504,Sam Burns,0.514,2.055,4
17,39,33141,Keegan Bradley,0.367,1.466,4
18,-15,34256,Andrew Putnam,0.288,1.151,4
19,47,49960,Sepp Straka,0.263,1.050,4
20,32,28089,Jason Day,0.231,0.923,4
21,17,39971,Sungjae Im,0.226,0.905,4
22,1,28237,Rory McIlroy,0.214,0.855,4
23,-22,33399,Adam Hadwin,0.182,0.727,4
24,4,46970,Jon Rahm,0.143,0.573,4
25,22,30926,Chris Kirk,-0.039,-0.157,4
26,-8,34098,Russell Henley,-0.070,-0.279,4
27,-25,30911,Tommy Fleetwood,-0.088,-0.353,4
28,-24,49771,J.T. Poston,-0.139,-0.556,4
29,3,50525,Collin Morikawa,-0.295,-1.180,4
30,-20,39997,Corey Conners,-0.302,-1.208,4
31,17,32102,Rickie Fowler,-0.308,-1.234,4
32,-17,34046,Jordan Spieth,-0.340,-1.362,4
33,-22,54628,Lee Hodges,-0.353,-1.414,4
34,-12,31646,Emiliano Grillo,-0.360,-1.441,4
35,-6,35450,Patrick Cantlay,-0.363,-1.452,4
36,-28,51634,Sahith Theegala,-0.421,-1.684,4
37,-25,25900,Lucas Glover,-0.462,-1.850,4
38,24,46046,Scottie Scheffler,-0.473,-1.891,4
39,1,36699,Patrick Rodgers,-0.556,-2.225,4
40,21,37455,Si Woo Kim,-0.649,-2.595,4
41,-20,47347,Adam Schenk,-0.672,-2.688,4
42,28,29725,Tony Finau,-0.720,-2.882,4
43,-7,45157,Cam Davis,-1.256,-5.025,4
44,5,25493,Nick Taylor,-1.292,-5.170,4
45,-10,33948,Byeong Hun An,-1.732,-6.927,4
46,7,48117,Kurt Kitayama,-1.792,-7.170,4
47,-3,28252,Seamus Power,-1.915,-7.662,4
48,-7,30927,Brendon Todd,-1.974,-7.897,4
49,-44,49947,Taylor Moore,-2.175,-8.699,4
