RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,45426,Nathan Kimsey,2.201,8.804,4
2,0,34371,Adrien Saddier,1.811,7.242,4
3,37,34213,Grayson Murray,1.714,6.856,4
4,0,19803,Ryan Armour,1.530,6.118,4
5,0,64594,Angel Hidalgo Portillo,1.437,5.749,4
6,0,53165,Doc Redman,1.312,5.246,4
7,0,51070,Vincent Norrman,1.298,5.193,4
8,0,48084,Wesley Bryan,1.239,4.956,4
9,0,50762,Alejandro Del Rey,1.119,4.477,4
10,0,40250,Taylor Pendrith,1.003,4.011,4
11,0,57259,Daniel Brown,0.929,3.716,4
12,33,31560,Brian Stuard,0.845,3.381,4
13,0,35879,Kelly Kraft,0.818,3.270,4
14,0,48867,Matti Schmid,0.786,3.143,4
15,34,49298,Kramer Hickok,0.783,3.131,4
16,27,47983,Chad Ramey,0.716,2.863,4
17,0,28420,Ryan Brehm,0.709,2.837,4
18,0,30750,Tommy Gainey,0.694,2.774,4
19,0,31569,Jason Scrivener,0.687,2.746,4
20,0,34579,Alexander Levy,0.678,2.712,4
21,-9,39067,MJ Daffue,0.675,2.698,4
22,0,65280,Niklas Norgaard,0.639,2.555,4
23,0,20593,Greg Chalmers,0.616,2.464,4
24,0,40162,Justin Lower,0.612,2.447,4
25,0,35449,Adam Long,0.604,2.416,4
26,0,51635,Chris Nido,0.598,2.390,4
27,0,29535,Brice Garnett,0.596,2.382,4
28,-7,47128,Richy Werenski,0.514,2.056,4
29,0,52095,Christoffer Bring,0.467,1.867,4
30,20,33122,Russell Knox,0.455,1.819,4
31,0,35557,Aaron Cockerill,0.422,1.688,4
32,0,31202,William McGirt,0.381,1.525,4
33,0,47850,John Axelsen,0.366,1.463,4
34,0,35617,Martin Trainer,0.328,1.313,4
35,0,27554,Scott Harrington,0.293,1.173,4
36,0,32815,Masahiro Kawamura,0.279,1.114,4
37,-7,25686,Jason Dufner,0.259,1.034,4
38,0,30163,Henrik Norlander,0.243,0.973,4
39,0,32333,Kevin Tway,0.147,0.588,4
40,0,26596,Ryan Moore,0.128,0.512,4
41,0,22056,Cameron Percy,0.127,0.508,4
42,0,49453,Trevor Cone,0.093,0.371,4
43,0,57737,Jayden Schaper,0.072,0.288,4
44,0,45847,JC Ritchie,0.054,0.215,4
45,0,34466,Peter Malnati,0.027,0.106,4
46,10,56630,Akshay Bhatia,-0.001,-0.005,4
47,5,51997,Andrew Novak,-0.031,-0.125,4
48,0,65256,David Ford,-0.051,-0.206,4
49,0,33408,Tyson Alexander,-0.086,-0.345,4
50,-34,25900,Lucas Glover,-0.164,-0.658,4
51,0,48293,Mikael Lindberg,-0.218,-0.874,4
52,0,40181,Clément Sordet,-0.260,-1.041,4
53,0,51950,Max McGreevy,-0.261,-1.043,4
54,-39,31577,Tano Goya,-0.281,-1.123,4
55,0,27556,Ted Potter Jr.,-0.360,-1.439,4
56,0,32757,Patton Kizzire,-0.362,-1.447,4
57,0,32662,Michael Gligic,-0.465,-1.862,4
58,0,23623,Bo Van Pelt,-0.506,-2.026,4
59,0,46404,Marcus Kinhult,-0.511,-2.045,4
60,0,52287,David Ravetto,-0.524,-2.098,4
61,0,37338,Zecheng Dou,-0.696,-2.786,4
62,0,31681,Louis de Jager,-0.700,-2.800,4
63,0,48640,Johannes Veerman,-0.778,-3.112,4
64,0,33490,Bo Hoag,-1.333,-5.332,4
65,0,51287,Ryo Hisatsune,-1.578,-6.314,4
66,0,27974,Sung Kang,-1.601,-6.403,4
67,-49,39954,Cody Gribble,-2.273,-9.091,4
