RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,3.753,1.897,1.719,0.576,4
2,0,47504,Sam Burns,2.311,0.338,0.352,1.499,4
3,13,22405,Justin Rose,2.275,-0.086,1.655,0.164,4
4,0,33948,Byeong Hun An,2.230,0.992,1.150,0.148,4
5,0,32102,Rickie Fowler,2.060,-0.276,0.626,1.713,4
5,0,46414,Aaron Rai,2.060,0.242,1.813,-0.211,4
7,0,34099,Harris English,1.790,0.168,0.694,0.622,4
8,61,36801,Mark Hubbard,1.777,-0.190,1.688,0.278,4
9,5,46340,Alex Smalley,1.657,0.781,0.272,0.414,4
10,0,47347,Adam Schenk,1.574,0.052,0.655,0.325,4
11,0,49298,Kramer Hickok,1.549,0.529,0.525,0.154,4
12,0,39975,Michael Kim,1.491,0.463,0.325,0.420,4
13,61,55893,Sam Stevens,1.457,1.151,0.232,-0.270,4
14,12,54628,Lee Hodges,1.448,0.307,1.036,-0.276,4
15,5,50525,Collin Morikawa,1.443,0.145,1.585,-0.057,4
16,0,34466,Peter Malnati,1.226,-0.924,1.529,0.733,4
17,0,37455,Si Woo Kim,1.171,0.883,0.388,-0.481,4
18,0,51070,Vincent Norrman,1.145,0.171,0.799,-0.168,4
19,0,57362,Austin Eckroat,1.118,0.696,0.629,0.014,4
20,0,31646,Emiliano Grillo,1.003,0.211,1.087,-0.011,4
21,0,23983,Luke Donald,0.923,-0.152,-0.123,1.386,4
22,0,35901,Paul Haley II,0.892,-0.418,-0.481,1.513,4
23,0,27644,Brian Harman,0.819,-0.228,0.784,0.069,4
24,47,39977,Max Homa,0.765,-0.424,0.395,0.251,4
25,0,36326,David Lipsky,0.754,-0.187,0.294,0.501,4
26,0,30927,Brendon Todd,0.749,-0.548,0.429,0.516,4
27,0,56630,Akshay Bhatia,0.700,0.422,-0.064,0.148,4
28,0,57975,Harry Hall,0.680,0.075,-0.046,0.712,4
29,1,36699,Patrick Rodgers,0.679,0.827,-0.755,0.065,4
30,17,32791,K.H. Lee,0.573,0.117,-0.134,0.356,4
31,0,45522,Christiaan Bezuidenhout,0.571,0.044,0.250,-0.265,4
32,0,34098,Russell Henley,0.552,-0.322,0.418,-0.085,4
33,0,56762,Will Gordon,0.539,0.467,0.771,-0.597,4
34,2,50493,Justin Suh,0.534,-0.295,0.821,-0.022,4
35,-7,29936,Ryan Fox,0.509,0.379,0.746,-0.459,4
36,-33,46717,Viktor Hovland,0.507,0.701,-0.586,0.173,4
37,0,51997,Andrew Novak,0.481,-0.068,-0.002,0.303,4
38,6,37378,Min Woo Lee,0.470,0.589,0.220,-0.157,4
39,6,35532,Tom Hoge,0.465,0.453,0.454,-0.371,4
40,0,27129,Luke List,0.431,0.206,0.451,-0.471,4
41,-36,49960,Sepp Straka,0.430,0.195,-0.264,0.319,4
42,0,32757,Patton Kizzire,0.370,-0.096,-0.186,0.260,4
43,0,22371,Aaron Baddeley,0.365,-0.862,0.518,0.577,4
44,-25,36871,Matt NeSmith,0.334,0.375,-0.128,-0.455,4
45,0,27214,Kevin Streelman,0.324,-0.095,-0.314,0.190,4
46,-33,48117,Kurt Kitayama,0.289,0.402,0.791,-0.496,4
47,5,26476,Chez Reavie,0.282,-0.025,0.055,0.580,4
48,0,25818,Scott Piercy,0.112,0.131,-0.271,-0.290,4
49,0,33653,Thomas Detry,0.093,-0.125,0.254,0.902,4
50,0,46441,Robby Shelton,0.089,-0.515,0.096,0.114,4
51,0,25632,Jimmy Walker,-0.118,1.109,-0.089,-0.591,4
52,0,47983,Chad Ramey,-0.143,-0.471,0.245,0.381,4
53,0,52372,Cameron Champ,-0.179,-0.055,0.554,-0.996,4
54,0,52513,Carson Young,-0.217,-0.722,0.527,-0.292,4
55,0,37338,Zecheng Dou,-0.261,-0.190,0.065,0.271,4
56,0,27349,Alex Noren,-0.290,-0.799,-0.376,0.410,4
57,0,33413,Ben Martin,-0.336,0.516,0.542,-1.297,4
58,-12,35461,Beau Hossler,-0.430,0.007,-1.073,0.244,4
59,0,54591,Ben Griffin,-0.453,-0.334,0.376,-0.525,4
60,0,47988,Nick Hardy,-0.495,-0.277,-0.662,0.437,4
61,0,39324,J.J. Spaun,-0.517,-0.349,0.254,-0.374,4
62,0,29420,Billy Horschel,-0.582,0.391,0.134,-0.278,4
63,0,50095,Austin Smotherman,-0.639,-0.006,-0.767,0.076,4
64,0,34256,Andrew Putnam,-0.738,-0.610,0.126,-0.174,4
65,0,40162,Justin Lower,-0.857,-0.023,0.312,-0.655,4
66,0,46442,Maverick McNealy,-0.958,-0.526,0.065,-0.355,4
67,-12,34076,Joel Dahmen,-1.058,0.150,-1.403,-0.084,4
68,0,24494,Erik Compton,-1.090,-0.594,0.163,-0.286,4
69,0,33122,Russell Knox,-1.453,-1.501,0.530,-0.003,4
70,-53,36799,Stephan Jaeger,-1.658,0.002,-1.035,0.048,4
71,0,39954,Cody Gribble,-1.817,-0.175,-0.517,-0.909,4
72,0,34610,Matthias Schwab,-1.993,-0.138,-1.026,-0.146,4
