RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,39977,Max Homa,3.540,0.281,2.794,0.464,3
2,0,50525,Collin Morikawa,3.277,1.198,2.243,-0.165,3
3,18,29725,Tony Finau,3.030,1.205,1.211,0.613,3
4,54,51634,Sahith Theegala,2.919,-0.128,2.096,0.951,3
5,21,39971,Sungjae Im,2.700,-0.303,2.345,0.658,3
6,0,33141,Keegan Bradley,2.512,0.235,1.332,0.946,3
7,3,48081,Xander Schauffele,2.131,0.611,1.314,0.206,3
8,37,34255,Joseph Bramlett,1.850,0.564,1.604,-0.318,3
9,0,32839,Hideki Matsuyama,1.840,0.179,0.502,1.159,3
10,8,32333,Kevin Tway,1.823,0.577,0.276,0.970,3
11,0,37275,Sam Ryder,1.819,0.369,1.297,0.153,3
12,0,33448,Justin Thomas,1.773,-0.244,1.069,0.948,3
13,0,27064,Jhonattan Vegas,1.768,0.875,0.604,0.289,3
14,38,51766,Wyndham Clark,1.519,-0.515,1.188,0.846,3
15,-9,46970,Jon Rahm,1.469,0.928,1.280,-0.739,3
16,4,28089,Jason Day,1.465,1.192,-0.579,0.852,3
17,0,47988,Nick Hardy,1.298,0.590,1.001,-0.293,3
18,-14,29518,Brendan Steele,1.296,0.707,0.992,-0.403,3
19,0,34466,Peter Malnati,1.288,-0.545,1.409,0.424,3
20,0,48699,Callum Tarren,1.265,0.638,-1.231,1.858,3
21,0,23320,Ryan Palmer,1.195,0.053,0.448,0.693,3
22,15,54591,Ben Griffin,1.170,0.393,0.094,0.683,3
23,0,34374,Erik Barnes,1.166,0.126,-0.040,1.080,3
24,0,49947,Taylor Moore,1.158,0.483,0.640,0.035,3
25,15,25818,Scott Piercy,1.090,-0.930,1.737,0.283,3
26,28,32102,Rickie Fowler,1.047,0.599,1.385,-0.937,3
27,0,50188,S.H. Kim,1.001,-0.064,0.687,0.377,3
28,0,27129,Luke List,0.997,1.417,-0.182,-0.238,3
29,-10,55789,Taylor Montgomery,0.988,0.405,-0.579,1.163,3
30,0,45242,Kevin Yu,0.967,0.318,0.817,-0.168,3
31,31,51070,Vincent Norrman,0.746,0.644,-0.016,0.118,3
32,-3,22405,Justin Rose,0.719,-0.138,0.787,0.070,3
33,-30,46340,Alex Smalley,0.717,0.468,0.422,-0.173,3
34,0,46601,Trey Mullinax,0.703,-0.860,1.386,0.176,3
35,8,33653,Thomas Detry,0.692,0.044,0.117,0.532,3
36,0,25632,Jimmy Walker,0.666,-0.633,-0.207,1.505,3
37,0,29970,Dylan Frittelli,0.658,0.153,0.256,0.249,3
38,0,31646,Emiliano Grillo,0.586,-0.242,0.570,0.258,3
39,0,47347,Adam Schenk,0.554,0.050,0.022,0.482,3
40,10,37455,Si Woo Kim,0.546,-0.445,0.335,0.656,3
41,-14,37338,Zecheng Dou,0.516,0.212,-0.034,0.337,3
42,-1,55893,Sam Stevens,0.426,0.294,-0.384,0.516,3
43,-20,46435,Austin Cook,0.377,-0.778,-0.320,1.475,3
44,0,39975,Michael Kim,0.320,-0.070,-0.176,0.566,3
45,6,33974,Dean Burmester,0.283,1.092,-0.002,-0.807,3
46,-15,36799,Stephan Jaeger,0.186,1.109,-0.476,-0.446,3
47,0,36724,Augusto Núñez,0.143,-0.366,-0.474,0.984,3
48,-41,46441,Robby Shelton,0.121,-1.121,1.159,0.083,3
49,0,51414,Brent Grant,0.116,0.108,0.183,-0.175,3
50,10,50493,Justin Suh,0.032,-0.469,0.617,-0.116,3
51,0,31323,Gary Woodland,-0.050,0.894,0.261,-1.205,3
52,-30,33399,Adam Hadwin,-0.122,-0.501,0.472,-0.093,3
53,-45,54421,Garrick Higgo,-0.153,0.591,0.224,-0.968,3
54,0,46442,Maverick McNealy,-0.191,-0.075,-0.166,0.050,3
55,0,32150,Michael Thompson,-0.217,0.055,-0.294,0.022,3
56,0,35310,Lanto Griffin,-0.295,0.296,-0.224,-0.367,3
57,0,27214,Kevin Streelman,-0.407,-0.653,-0.640,0.886,3
58,-2,58967,Trevor Werbylo,-0.738,-0.068,-1.046,0.376,3
59,0,52372,Cameron Champ,-0.773,0.671,-1.467,0.023,3
60,0,46414,Aaron Rai,-0.815,-0.033,-0.544,-0.238,3
61,0,32816,Satoshi Kodaira,-0.828,-0.637,0.376,-0.568,3
62,-20,58168,Davis Thompson,-1.065,0.661,-0.224,-1.503,3
63,0,29289,S.Y. Noh,-1.124,-0.419,-0.384,-0.321,3
64,-28,33948,Byeong Hun An,-1.237,-1.005,0.409,-0.640,3
65,-54,31577,Tano Goya,-1.309,-0.111,-0.628,-0.571,3
66,0,40250,Taylor Pendrith,-1.321,-0.356,-1.038,0.073,3
67,0,51997,Andrew Novak,-1.547,-0.773,-0.486,-0.288,3
68,-4,33597,Harry Higgs,-1.703,-1.152,-0.863,0.312,3
69,-1,35901,Paul Haley II,-1.855,-1.170,-0.836,0.151,3
70,0,47888,Taiga Semikawa,-1.891,0.780,-2.030,-0.641,3
71,0,27554,Scott Harrington,-2.239,0.355,-1.310,-1.284,3
72,0,29479,Scott Brown,-2.347,-0.254,-0.864,-1.229,3
73,0,35449,Adam Long,-2.363,-0.407,-1.423,-0.532,3
