RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,35450,Patrick Cantlay,2.248,0.546,0.346,1.116,4
2,0,35461,Beau Hossler,1.805,0.951,0.447,-0.131,4
3,0,28237,Rory McIlroy,1.789,1.106,1.109,-0.360,4
4,-3,25900,Lucas Glover,1.622,-0.146,0.692,0.808,4
5,1,37455,Si Woo Kim,1.589,0.589,0.791,-0.035,4
6,16,39971,Sungjae Im,1.449,0.965,0.327,-0.044,4
7,1,45157,Cam Davis,1.398,0.469,-0.263,0.544,4
8,19,40115,Adam Svensson,1.309,-0.363,0.654,0.529,4
9,0,30926,Chris Kirk,1.215,0.150,0.522,-0.047,4
10,0,39977,Max Homa,1.155,0.697,-0.315,0.351,4
11,0,50525,Collin Morikawa,1.074,0.090,-0.017,0.426,4
12,53,51070,Vincent Norrman,0.952,0.857,-0.738,0.175,4
13,0,46717,Viktor Hovland,0.914,-0.024,1.220,0.376,4
14,53,47347,Adam Schenk,0.890,-0.074,0.872,-0.307,4
15,0,46046,Scottie Scheffler,0.874,0.325,0.543,-0.011,4
16,-2,34098,Russell Henley,0.864,0.489,0.217,0.158,4
17,0,32839,Hideki Matsuyama,0.832,-0.244,0.418,0.683,4
18,0,30911,Tommy Fleetwood,0.781,0.348,-0.026,-0.361,4
19,0,34046,Jordan Spieth,0.759,0.350,-0.323,1.238,4
20,0,25493,Nick Taylor,0.725,0.091,0.687,-0.873,4
21,36,47591,Eric Cole,0.695,0.039,-0.246,0.296,4
22,7,39324,J.J. Spaun,0.667,0.346,-0.502,0.226,4
23,0,57366,Cameron Young,0.632,0.737,-0.242,-0.100,4
24,0,39997,Corey Conners,0.565,0.595,-0.379,0.230,4
25,35,49947,Taylor Moore,0.515,-0.243,0.384,0.051,4
26,-2,36799,Stephan Jaeger,0.435,0.322,-0.201,0.287,4
27,0,48081,Xander Schauffele,0.314,-0.173,1.037,-0.021,4
28,23,52374,Brandon Wu,0.289,-0.943,1.129,-0.259,4
29,0,39546,Keith Mitchell,0.239,1.094,-0.675,0.390,4
30,0,31646,Emiliano Grillo,0.206,-0.669,0.382,0.264,4
30,-18,37275,Sam Ryder,0.206,-0.229,1.323,-0.580,4
32,0,29725,Tony Finau,0.188,0.205,0.774,-0.065,4
33,0,55182,Tom Kim,0.144,-0.157,-0.170,0.128,4
34,0,33141,Keegan Bradley,0.117,0.360,0.931,-0.552,4
35,0,34363,Tyrrell Hatton,0.098,0.264,0.448,-0.434,4
36,0,51634,Sahith Theegala,0.097,0.086,-0.972,0.729,4
37,0,27644,Brian Harman,0.000,-0.132,-0.053,-0.436,4
38,0,22405,Justin Rose,-0.035,-0.176,0.571,-0.206,4
39,-3,34099,Harris English,-0.053,-1.307,1.452,-0.819,4
40,-37,33948,Byeong Hun An,-0.113,0.741,-0.533,0.169,4
41,0,55893,Sam Stevens,-0.118,0.767,-1.114,-0.127,4
42,-10,47504,Sam Burns,-0.195,0.314,0.707,-0.398,4
43,0,49960,Sepp Straka,-0.224,0.098,0.267,-0.620,4
44,0,54591,Ben Griffin,-0.228,-0.208,-0.010,-0.003,4
45,-12,30927,Brendon Todd,-0.238,-0.914,0.086,-0.029,4
46,0,46970,Jon Rahm,-0.281,0.318,-0.074,0.272,4
47,0,47995,Davis Riley,-0.324,-0.117,-0.014,-0.194,4
48,0,48117,Kurt Kitayama,-0.442,-0.432,-0.098,0.032,4
49,0,28089,Jason Day,-0.458,0.040,-0.573,-0.276,4
50,0,46414,Aaron Rai,-0.465,-0.537,-0.126,-0.270,4
51,0,54628,Lee Hodges,-0.652,0.367,0.224,-1.398,4
52,0,46340,Alex Smalley,-0.655,0.113,-0.521,0.304,4
53,0,33399,Adam Hadwin,-0.704,-0.299,-0.259,-0.510,4
54,0,36699,Patrick Rodgers,-0.774,0.153,-0.640,-0.419,4
55,0,32102,Rickie Fowler,-0.779,-0.083,0.157,-0.146,4
56,-17,36871,Matt NeSmith,-0.792,-0.518,-0.767,-0.094,4
57,-47,49771,J.T. Poston,-0.843,-0.912,-0.167,-0.330,4
58,0,55789,Taylor Montgomery,-0.871,-0.309,-0.573,0.903,4
59,-28,34256,Andrew Putnam,-0.912,-1.344,-0.601,0.213,4
60,0,47993,Denny McCarthy,-0.977,-0.223,0.040,-0.343,4
61,-24,23108,Matt Kuchar,-1.153,0.147,-0.723,-0.361,4
62,0,55708,Hayden Buckley,-1.390,0.849,-0.975,-0.548,4
63,0,35532,Tom Hoge,-1.480,-0.470,-0.063,0.343,4
64,-18,47988,Nick Hardy,-1.539,0.120,-1.330,-0.601,4
65,-23,33653,Thomas Detry,-1.871,0.061,-1.180,-0.578,4
66,0,36801,Mark Hubbard,-1.941,-1.231,-0.025,0.475,4
67,0,40098,Matt Fitzpatrick,-1.994,-0.433,-0.519,0.203,4
68,0,28252,Seamus Power,-2.094,-0.345,-0.288,-0.241,4
69,0,35506,Mackenzie Hughes,-2.167,-1.902,-1.286,0.921,4
70,0,51766,Wyndham Clark,-2.876,-1.005,-1.183,0.293,4
