RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,30927,Brendon Todd,2.329,9.315,4
2,0,51634,Sahith Theegala,2.231,8.924,4
3,0,23108,Matt Kuchar,1.747,6.988,4
4,0,39058,Lucas Herbert,1.624,6.497,4
5,0,49766,Hank Lebioda,1.572,6.287,4
6,0,33410,Andrew Landry,1.365,5.460,4
7,0,45157,Cam Davis,1.297,5.187,4
8,0,54783,Dylan Wu,1.272,5.086,4
9,0,27936,Martin Laird,1.259,5.035,4
10,0,57975,Harry Hall,1.146,4.583,4
11,0,23541,Ben Crane,1.132,4.526,4
12,0,34466,Peter Malnati,1.036,4.144,4
13,0,46435,Austin Cook,1.028,4.111,4
14,0,50188,S.H. Kim,1.017,4.069,4
15,0,35617,Martin Trainer,0.861,3.444,4
16,0,12195,Tom Johnson,0.843,3.371,4
17,0,34563,Chesson Hadley,0.815,3.259,4
18,0,33448,Justin Thomas,0.795,3.179,4
19,0,25686,Jason Dufner,0.788,3.150,4
20,0,47983,Chad Ramey,0.753,3.012,4
21,0,28259,Sangmoon Bae,0.716,2.862,4
22,0,52375,Doug Ghim,0.672,2.688,4
23,0,35461,Beau Hossler,0.662,2.648,4
24,0,35506,Mackenzie Hughes,0.650,2.599,4
25,0,48119,Ben Taylor,0.632,2.526,4
26,0,27554,Scott Harrington,0.582,2.327,4
27,0,46441,Robby Shelton,0.579,2.317,4
28,0,32448,James Hahn,0.577,2.307,4
29,0,25632,Jimmy Walker,0.545,2.181,4
30,0,33408,Tyson Alexander,0.507,2.028,4
31,0,31202,William McGirt,0.497,1.989,4
32,0,27214,Kevin Streelman,0.453,1.811,4
33,0,39977,Max Homa,0.436,1.743,4
34,0,48699,Callum Tarren,0.434,1.737,4
35,0,29535,Brice Garnett,0.428,1.711,4
36,0,35879,Kelly Kraft,0.355,1.421,4
37,0,32640,Troy Merritt,0.351,1.405,4
38,0,39324,J.J. Spaun,0.325,1.301,4
39,0,47128,Richy Werenski,0.324,1.295,4
40,0,27129,Luke List,0.213,0.850,4
41,0,36801,Mark Hubbard,0.183,0.732,4
42,0,30692,Scott Stallings,0.113,0.450,4
43,0,51890,Greyson Sigg,0.105,0.420,4
44,0,51894,Vince Whaley,0.090,0.361,4
45,0,32816,Satoshi Kodaira,0.021,0.085,4
46,0,52513,Carson Young,0.020,0.078,4
47,0,28775,Nate Lashley,-0.014,-0.056,4
48,0,55893,Sam Stevens,-0.022,-0.087,4
49,0,32757,Patton Kizzire,-0.024,-0.097,4
49,0,55454,Carl Yuan,-0.024,-0.098,4
51,0,47591,Eric Cole,-0.045,-0.179,4
52,0,33122,Russell Knox,-0.126,-0.503,4
53,0,58168,Davis Thompson,-0.239,-0.955,4
54,0,40162,Justin Lower,-0.246,-0.984,4
55,0,29478,Kevin Kisner,-0.249,-0.996,4
56,0,40058,Zac Blair,-0.254,-1.016,4
57,0,34610,Matthias Schwab,-0.258,-1.034,4
58,0,27974,Sung Kang,-0.269,-1.075,4
59,0,50493,Justin Suh,-0.335,-1.340,4
60,0,32791,K.H. Lee,-0.408,-1.632,4
61,0,36326,David Lipsky,-0.529,-2.118,4
62,0,37275,Sam Ryder,-0.644,-2.577,4
63,0,57298,Preston Summerhays,-0.652,-2.607,4
64,0,26476,Chez Reavie,-0.719,-2.876,4
65,0,40006,Erik van Rooyen,-0.825,-3.302,4
66,0,36799,Stephan Jaeger,-0.957,-3.828,4
67,0,26596,Ryan Moore,-0.995,-3.979,4
68,0,23788,D.J. Trahan,-1.019,-4.075,4
