RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,34409,David Lingmerth,2.362,9.446,4
2,0,33204,Shane Lowry,1.990,7.961,4
3,-1,49771,J.T. Poston,1.818,7.270,4
4,0,55707,Calum Hill,1.621,6.484,4
5,0,37066,Grant Forrest,1.506,6.024,4
6,0,31242,Marcel Schneider,1.324,5.295,4
7,0,52215,Robert MacIntyre,1.302,5.208,4
8,0,27644,Brian Harman,1.293,5.170,4
9,0,34317,Joakim Lagergren,1.249,4.994,4
10,0,31273,Gavin Green,1.150,4.600,4
11,0,54628,Lee Hodges,1.125,4.500,4
12,0,30911,Tommy Fleetwood,1.099,4.394,4
13,0,35532,Tom Hoge,1.066,4.262,4
14,25,54421,Garrick Higgo,1.022,4.086,4
15,0,55182,Tom Kim,1.009,4.035,4
16,0,29936,Ryan Fox,0.965,3.858,4
17,0,33968,Thorbjørn Olesen,0.859,3.434,4
18,0,50823,Tom McKibbin,0.853,3.412,4
19,0,47504,Sam Burns,0.831,3.324,4
20,0,57975,Harry Hall,0.828,3.313,4
21,0,27129,Luke List,0.789,3.155,4
22,0,52096,Adri Arnaus,0.717,2.867,4
23,0,29420,Billy Horschel,0.686,2.742,4
24,0,33117,Dale Whitnell,0.630,2.519,4
25,0,48081,Xander Schauffele,0.612,2.447,4
26,0,39977,Max Homa,0.568,2.271,4
27,0,39058,Lucas Herbert,0.567,2.268,4
28,0,37378,Min Woo Lee,0.548,2.192,4
29,0,39997,Corey Conners,0.521,2.084,4
30,0,34310,Alexander Björk,0.493,1.970,4
31,0,32102,Rickie Fowler,0.479,1.914,4
32,0,57362,Austin Eckroat,0.426,1.702,4
33,0,36837,Julien Brun,0.413,1.650,4
34,0,28237,Rory McIlroy,0.375,1.500,4
35,0,40006,Erik van Rooyen,0.354,1.417,4
36,0,50223,Ewen Ferguson,0.305,1.218,4
36,0,34363,Tyrrell Hatton,0.305,1.220,4
38,0,39834,Guido Migliozzi,0.304,1.216,4
39,0,29531,Richie Ramsay,0.223,0.892,4
40,-16,33948,Byeong Hun An,0.221,0.883,4
41,0,48051,Yannik Paul,0.150,0.600,4
42,0,30957,Maximilian Kieffer,0.135,0.539,4
43,0,54591,Ben Griffin,0.087,0.347,4
44,0,33413,Ben Martin,0.066,0.265,4
45,0,33870,Ashun Wu,0.057,0.228,4
46,5,47591,Eric Cole,0.029,0.115,4
47,0,23481,Marcel Siem,0.005,0.020,4
48,0,20766,Padraig Harrington,-0.034,-0.136,4
49,0,47995,Davis Riley,-0.049,-0.198,4
50,0,56762,Will Gordon,-0.059,-0.238,4
51,0,32394,Tapio Pulkkanen,-0.064,-0.255,4
52,0,46464,Jordan Smith,-0.081,-0.323,4
53,0,52666,Sami Valimaki,-0.112,-0.450,4
54,0,46717,Viktor Hovland,-0.126,-0.505,4
55,0,47679,Victor Perez,-0.133,-0.531,4
55,0,25493,Nick Taylor,-0.133,-0.534,4
57,0,37250,Romain Langasque,-0.209,-0.838,4
58,0,33653,Thomas Detry,-0.235,-0.942,4
59,0,31323,Gary Woodland,-0.308,-1.233,4
60,0,34256,Andrew Putnam,-0.347,-1.387,4
61,0,32367,Jorge Campillo,-0.403,-1.614,4
62,0,52453,Nicolai Hojgaard,-0.554,-2.218,4
62,0,46046,Scottie Scheffler,-0.554,-2.215,4
64,0,48117,Kurt Kitayama,-0.562,-2.248,4
65,0,48119,Ben Taylor,-0.592,-2.367,4
66,0,46646,Antoine Rozner,-0.645,-2.580,4
67,0,55955,Matthew Jordan,-0.669,-2.676,4
68,0,32791,K.H. Lee,-0.671,-2.684,4
69,0,51766,Wyndham Clark,-0.684,-2.738,4
70,0,33448,Justin Thomas,-0.703,-2.812,4
71,0,50584,Connor Syme,-0.738,-2.951,4
72,0,39524,Sean Crocker,-0.768,-3.071,4
73,0,28300,Joost Luiten,-0.995,-3.981,4
74,0,46405,Sebastian Soderberg,-0.997,-3.987,4
75,0,48887,Matt Wallace,-1.122,-4.489,4
76,0,63459,Dan Bradbury,-1.200,-4.799,4
77,0,49813,Daniel Hillier,-1.369,-5.478,4
