RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,29725,Tony Finau,3.695,.938,1.185,.850,4
2,0,36799,Stephan Jaeger,2.616,-.192,1.920,.966,4
3,0,31323,Gary Woodland,2.499,.528,1.540,.175,4
4,0,50095,Austin Smotherman,2.348,-.024,1.430,.456,4
5,0,34255,Joseph Bramlett,2.340,.377,1.657,.682,4
6,0,46970,Jon Rahm,2.132,1.163,.646,-.042,4
7,0,56630,Akshay Bhatia,2.031,.694,1.331,-.103,4
8,0,52372,Cameron Champ,1.891,1.265,.927,-.594,4
9,0,51890,Greyson Sigg,1.860,.049,.501,1.180,4
10,0,59018,Ryan Gerard,1.811,-.269,.794,.566,4
11,0,31646,Emiliano Grillo,1.782,-.288,2.396,-.699,4
12,0,38991,Alejandro Tosti,1.765,.455,1.329,.123,4
13,0,39335,Kevin Roy,1.697,.712,.670,.711,4
14,0,52374,Brandon Wu,1.554,.972,-.383,1.003,4
15,0,51070,Vincent Norrman,1.480,.608,.473,.293,4
16,0,54783,Dylan Wu,1.466,.223,.980,-.097,4
17,0,52513,Carson Young,1.452,.919,.196,-.385,4
18,0,35461,Beau Hossler,1.405,.361,-.095,.418,4
19,0,27797,Derek Lamely,1.352,.439,1.097,-.278,4
20,0,47591,Eric Cole,1.319,.201,.825,.042,4
21,0,36699,Patrick Rodgers,1.316,.688,.266,.022,4
22,0,35469,Sebastián Vázquez,1.233,.129,-.057,1.111,4
23,0,12716,Charley Hoffman,1.227,.378,.684,.226,4
24,0,57975,Harry Hall,1.205,.474,-.452,.857,4
25,0,36801,Mark Hubbard,1.199,.006,2.123,-.115,4
26,0,52453,Nicolai Hojgaard,1.157,.005,1.090,-.406,4
27,0,50188,S.H. Kim,1.057,.954,-.568,.600,4
28,0,40006,Erik van Rooyen,1.044,.488,.973,-.402,4
29,0,25632,Jimmy Walker,.992,-.224,.193,.849,4
30,0,32662,Michael Gligic,.968,.733,1.013,-.010,4
31,0,51766,Wyndham Clark,.937,.164,.501,.404,4
32,0,26596,Ryan Moore,.921,-.204,-.015,.418,4
33,0,35449,Adam Long,.910,-.003,.523,-.107,4
34,0,29289,S.Y. Noh,.858,.459,.097,.408,4
35,0,56762,Will Gordon,.781,1.132,-.162,-.242,4
36,0,33948,Byeong Hun An,.770,.543,-.251,.092,4
37,0,48119,Ben Taylor,.720,.254,1.205,.157,4
38,0,40250,Taylor Pendrith,.716,.147,.887,.004,4
39,0,22046,Geoff Ogilvy,.675,-.244,.096,.767,4
40,0,32366,Kevin Chappell,.634,.297,.005,-.166,4
41,0,34256,Andrew Putnam,.629,-.396,1.292,-.988,4
42,0,32816,Satoshi Kodaira,.599,-.123,1.132,-.371,4
43,0,28775,Nate Lashley,.569,.127,-.333,.500,4
44,0,29535,Brice Garnett,.506,-.192,-.625,.959,4
45,0,51997,Andrew Novak,.461,-.802,1.002,.233,4
46,0,39954,Cody Gribble,.446,-.463,-.501,1.128,4
47,0,39975,Michael Kim,.407,-.039,-.177,.393,4
48,0,36724,Augusto Núñez,.280,.007,.370,-.817,4
49,0,35310,Lanto Griffin,.277,.380,.775,-.741,4
50,0,58967,Trevor Werbylo,.214,.573,-.443,-.230,4
51,0,55454,Carl Yuan,.153,.051,-.077,-.366,4
52,0,47128,Richy Werenski,.125,.075,.630,-.459,4
53,0,25198,Francesco Molinari,.041,-.327,-.134,.177,4
54,0,57362,Austin Eckroat,-.032,.921,-.245,-.424,4
55,0,33413,Ben Martin,-.043,.040,1.147,-.831,4
56,0,22056,Cameron Percy,-.109,.063,-1.149,.257,4
57,0,22371,Aaron Baddeley,-.164,-1.018,.103,1.048,4
58,0,37273,Derek Ernst,-.238,-.302,-1.324,.866,4
59,0,24925,Jonathan Byrd,-.265,-.834,-.509,.984,4
60,0,36326,David Lipsky,-.352,-.348,.573,-.489,4
61,0,37338,Zecheng Dou,-.390,.206,-.317,.294,4
62,0,46435,Austin Cook,-.396,-.795,-1.034,.924,4
63,0,26476,Chez Reavie,-.411,-.186,.377,-.379,4
64,0,49453,Trevor Cone,-.537,.645,.289,-1.474,4
65,0,51349,Nico Echavarria,-.654,.620,-.514,.036,4
66,0,25818,Scott Piercy,-.782,-.565,.648,-.477,4
67,0,31577,Tano Goya,-.809,.048,-.886,-.307,4
68,0,32448,James Hahn,-.908,-.123,-1.403,.475,4
69,0,47806,Raul Pereda,-.973,.992,-.516,-1.657,4
70,0,46442,Maverick McNealy,-1.287,-.717,-.419,.077,4
71,0,27895,Jonas Blixt,-1.317,-.657,-1.780,.815,4
72,0,24924,Bill Haas,-1.474,.090,-1.087,.019,4
73,0,54628,Lee Hodges,-1.990,-.011,-1.336,-1.151,4
