PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
48081,Xander Schauffele,2023 RBC Heritage,-0.02325,0.62,1.755,0.373
39971,Sungjae Im,2023 RBC Heritage,-0.3375,0.98,0.436,1.132
40098,Matt Fitzpatrick,2023 RBC Heritage,0.683,0.114,1.253,0.731
45157,Cam Davis,2023 RBC Heritage,-0.2515,0.854,0.863,0.685
46046,Scottie Scheffler,2023 RBC Heritage,-0.1195,1.321,1.212,-0.057
34046,Jordan Spieth,2023 RBC Heritage,1.2445,0.195,1.493,0.179
46970,Jon Rahm,2023 RBC Heritage,-0.203,1.021,1.749,-0.856
27644,Brian Harman,2023 RBC Heritage,0.49725,0.825,-0.012,0.317
35450,Patrick Cantlay,2023 RBC Heritage,1.24975,0.939,1.202,-0.223
55708,Hayden Buckley,2023 RBC Heritage,0.87475,0.948,1.396,-0.685
47347,Adam Schenk,2023 RBC Heritage,-0.874,0.652,0.125,0.402
31646,Emiliano Grillo,2023 RBC Heritage,0.69375,-0.063,0.674,1.382
33448,Justin Thomas,2023 RBC Heritage,-0.28575,0.2,1.047,0.233
29725,Tony Finau,2023 RBC Heritage,-0.7815,-0.38,1.778,0.196
26476,Chez Reavie,2023 RBC Heritage,0.6365,0.174,1.852,-0.463
34098,Russell Henley,2023 RBC Heritage,0.17225,0.342,0.528,0.086
50525,Collin Morikawa,2023 RBC Heritage,-0.56625,0.793,0.361,-0.392
36801,Mark Hubbard,2023 RBC Heritage,0.73325,-0.516,0.492,1.117
30911,Tommy Fleetwood,2023 RBC Heritage,0.484,0.658,0.196,-0.011
52513,Carson Young,2023 RBC Heritage,0.28675,0.42,0.93,-0.426
32102,Rickie Fowler,2023 RBC Heritage,0.5855,0.39,0.228,0.312
51634,Sahith Theegala,2023 RBC Heritage,1.3415,0.434,-0.777,1.318
36699,Patrick Rodgers,2023 RBC Heritage,0.3715,0.047,1.405,-0.32
46717,Viktor Hovland,2023 RBC Heritage,-1.80725,0.56,1.524,-0.303
47993,Denny McCarthy,2023 RBC Heritage,0.1975,-0.433,-0.282,1.3
22405,Justin Rose,2023 RBC Heritage,0.197,-0.139,0.19,0.812
54628,Lee Hodges,2023 RBC Heritage,-0.514,0.695,0.127,0.645
27214,Kevin Streelman,2023 RBC Heritage,-0.938,-0.663,1.438,0.149
40115,Adam Svensson,2023 RBC Heritage,-0.30825,0.236,1.002,-0.904
46414,Aaron Rai,2023 RBC Heritage,-0.5425,0.217,1.092,-0.701
32150,Michael Thompson,2023 RBC Heritage,0.235,0.071,0.489,-0.061
34363,Tyrrell Hatton,2023 RBC Heritage,0.77975,0.457,0.137,0.532
39997,Corey Conners,2023 RBC Heritage,0.19325,0.503,0.448,-0.783
23108,Matt Kuchar,2023 RBC Heritage,0.948,0.329,-0.012,0.775
57366,Cameron Young,2023 RBC Heritage,-0.5135,0.469,0.668,-0.07
30926,Chris Kirk,2023 RBC Heritage,0.02475,0.38,0.312,0.072
33204,Shane Lowry,2023 RBC Heritage,-1.70725,0.241,0.266,-0.277
54591,Ben Griffin,2023 RBC Heritage,0.36875,-0.04,-0.93,1.14
24502,Adam Scott,2023 RBC Heritage,0.4225,0.536,0.107,0.912
51766,Wyndham Clark,2023 RBC Heritage,0.7155,-0.234,0.337,-0.066
24024,Zach Johnson,2023 RBC Heritage,-0.5115,0.412,0.158,-0.031
45522,Christiaan Bezuidenhout,2023 RBC Heritage,1.27975,0.261,0.75,-0.78
47504,Sam Burns,2023 RBC Heritage,1.553,0.076,0.408,-0.364
32757,Patton Kizzire,2023 RBC Heritage,0.566,-0.171,0.449,-0.426
35461,Beau Hossler,2023 RBC Heritage,0.59775,-0.083,-0.261,0.422
28775,Nate Lashley,2023 RBC Heritage,0.64125,-0.497,0.349,0.169
25493,Nick Taylor,2023 RBC Heritage,0.4215,-0.395,0.104,0.273
25632,Jimmy Walker,2023 RBC Heritage,1.189,-0.148,0.463,-0.008
35449,Adam Long,2023 RBC Heritage,-0.70125,-0.138,-0.289,-0.244
34256,Andrew Putnam,2023 RBC Heritage,-0.6225,-1.031,0.932,0.347
54421,Garrick Higgo,2023 RBC Heritage,0.4075,0.954,-1.549,0.64
49947,Taylor Moore,2023 RBC Heritage,2.24175,0.466,-0.675,0.016
32791,K.H. Lee,2023 RBC Heritage,0.7615,0.05,-0.523,0.28
31323,Gary Woodland,2023 RBC Heritage,1.01225,0.545,0.208,-1.269
33141,Keegan Bradley,2023 RBC Heritage,0.526,0.17,-0.427,0.513
39058,Lucas Herbert,2023 RBC Heritage,-0.62775,-0.004,0.43,-0.023
30692,Scott Stallings,2023 RBC Heritage,-0.12775,-0.035,-0.517,0.087
6522,Ernie Els,2023 RBC Heritage,0.017,-0.424,0.049,-0.069
51950,Max McGreevy,2023 RBC Heritage,-0.4645,-0.143,-1.475,1.13
32139,Danny Willett,2023 RBC Heritage,0.0455,-0.88,0.792,0.047
33413,Ben Martin,2023 RBC Heritage,1.05375,-0.547,0.304,-0.02
