RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,49947,Taylor Moore,2.487,9.946,4
2,0,33399,Adam Hadwin,2.457,9.829,4
3,0,40162,Justin Lower,1.823,7.293,4
4,0,34466,Peter Malnati,1.540,6.161,4
5,0,25900,Lucas Glover,1.354,5.414,4
6,0,55454,Carl Yuan,1.334,5.337,4
7,0,39067,MJ Daffue,1.263,5.052,4
8,17,24024,Zach Johnson,1.246,4.983,4
8,0,27349,Alex Noren,1.246,4.984,4
10,0,29289,S.Y. Noh,1.219,4.875,4
11,15,39971,Sungjae Im,1.168,4.671,4
12,1,32102,Rickie Fowler,1.130,4.521,4
13,-12,33141,Keegan Bradley,1.027,4.108,4
14,0,29476,Kyle Reifers,1.015,4.060,4
15,0,32139,Danny Willett,0.998,3.993,4
16,0,54783,Dylan Wu,0.964,3.857,4
17,-6,27644,Brian Harman,0.959,3.837,4
18,0,58696,Peter Kuest,0.936,3.742,4
19,13,37338,Zecheng Dou,0.918,3.671,4
20,25,52375,Doug Ghim,0.909,3.635,4
21,20,33410,Andrew Landry,0.907,3.628,4
22,0,49766,Hank Lebioda,0.893,3.572,4
23,0,47347,Adam Schenk,0.863,3.452,4
24,0,50525,Collin Morikawa,0.839,3.354,4
25,0,33597,Harry Higgs,0.835,3.340,4
26,41,36799,Stephan Jaeger,0.692,2.768,4
27,0,37275,Sam Ryder,0.691,2.764,4
28,2,35879,Kelly Kraft,0.668,2.672,4
29,0,51894,Vince Whaley,0.654,2.614,4
30,0,30927,Brendon Todd,0.633,2.531,4
31,19,47983,Chad Ramey,0.589,2.356,4
32,2,46414,Aaron Rai,0.566,2.264,4
33,0,40115,Adam Svensson,0.504,2.016,4
34,0,32816,Satoshi Kodaira,0.501,2.003,4
35,-26,34563,Chesson Hadley,0.442,1.768,4
36,-17,50493,Justin Suh,0.418,1.670,4
37,0,59652,Sam Bennett,0.417,1.668,4
38,22,45157,Cam Davis,0.406,1.624,4
39,0,54591,Ben Griffin,0.396,1.584,4
40,-4,29485,Brett Stegmaier,0.368,1.472,4
41,0,58168,Davis Thompson,0.327,1.306,4
42,14,32333,Kevin Tway,0.322,1.288,4
43,0,34431,Robert Streb,0.307,1.227,4
44,-24,52513,Carson Young,0.238,0.950,4
45,-39,47995,Davis Riley,0.213,0.853,4
46,0,28775,Nate Lashley,0.209,0.834,4
47,0,45522,Christiaan Bezuidenhout,0.127,0.508,4
48,0,54869,Chase Johnson,0.109,0.435,4
49,0,34610,Matthias Schwab,0.090,0.358,4
50,0,40250,Taylor Pendrith,0.089,0.354,4
51,0,48887,Matt Wallace,0.056,0.225,4
52,0,49453,Trevor Cone,0.006,0.025,4
53,0,54421,Garrick Higgo,0.002,0.009,4
54,0,52453,Nicolai Hojgaard,-0.018,-0.073,4
55,0,51070,Vincent Norrman,-0.093,-0.372,4
56,0,35901,Paul Haley II,-0.159,-0.636,4
57,0,56762,Will Gordon,-0.185,-0.739,4
58,0,23983,Luke Donald,-0.188,-0.754,4
59,0,52411,Kyle Westmoreland,-0.215,-0.862,4
60,0,30926,Chris Kirk,-0.235,-0.942,4
61,0,59018,Ryan Gerard,-0.297,-1.187,4
62,0,39977,Max Homa,-0.352,-1.407,4
63,-26,52955,Ludvig Åberg,-0.373,-1.493,4
64,-29,33122,Russell Knox,-0.433,-1.733,4
65,0,27936,Martin Laird,-0.443,-1.771,4
66,0,55893,Sam Stevens,-0.449,-1.797,4
67,0,45609,Tyler Duncan,-0.458,-1.833,4
68,0,12716,Charley Hoffman,-0.498,-1.991,4
69,-65,26476,Chez Reavie,-0.511,-2.044,4
70,0,29535,Brice Garnett,-0.516,-2.066,4
71,0,28420,Ryan Brehm,-0.540,-2.161,4
72,0,30163,Henrik Norlander,-0.560,-2.240,4
73,0,27095,Nick Watney,-0.599,-2.398,4
74,-30,49960,Sepp Straka,-0.610,-2.441,4
75,0,32640,Troy Merritt,-0.611,-2.443,4
76,0,46441,Robby Shelton,-0.631,-2.523,4
77,-34,46340,Alex Smalley,-0.663,-2.651,4
78,0,26596,Ryan Moore,-0.702,-2.809,4
79,0,30692,Scott Stallings,-0.747,-2.988,4
80,0,39324,J.J. Spaun,-0.799,-3.195,4
81,-15,23320,Ryan Palmer,-0.902,-3.608,4
82,-66,51890,Greyson Sigg,-0.942,-3.770,4
83,0,50188,S.H. Kim,-1.629,-6.517,4
84,-23,48699,Callum Tarren,-2.035,-8.140,4
