RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,52955,Ludvig Åberg,3.028,1.056,1.093,0.879,4
2,0,36801,Mark Hubbard,2.557,0.408,1.666,0.482,4
3,0,55454,Carl Yuan,2.188,1.073,0.670,0.444,4
4,0,48699,Callum Tarren,1.903,0.512,0.759,0.631,4
5,0,47983,Chad Ramey,1.751,0.419,1.530,-0.198,4
6,0,52372,Cameron Champ,1.742,1.640,0.300,-0.198,4
7,0,35532,Tom Hoge,1.688,0.243,1.422,0.022,4
8,0,37338,Zecheng Dou,1.646,0.350,0.496,0.799,4
9,0,36799,Stephan Jaeger,1.550,0.840,0.401,0.309,4
10,0,40006,Erik van Rooyen,1.541,0.424,1.297,-0.180,4
11,0,29908,C.T. Pan,1.533,-0.620,0.506,1.646,4
12,0,45522,Christiaan Bezuidenhout,1.455,-0.173,1.192,0.435,4
13,0,58168,Davis Thompson,1.452,1.039,0.742,-0.330,4
14,0,27129,Luke List,1.433,0.543,0.027,0.862,4
15,0,35449,Adam Long,1.277,-0.063,0.584,0.756,4
16,0,30163,Henrik Norlander,1.240,0.887,-0.367,0.720,4
17,0,45609,Tyler Duncan,1.169,0.490,0.073,0.605,4
18,0,36326,David Lipsky,1.072,-0.120,0.698,0.494,4
19,0,52411,Kyle Westmoreland,1.027,0.000,0.640,0.387,4
20,0,34076,Joel Dahmen,1.014,0.493,-0.257,0.778,4
21,0,35461,Beau Hossler,1.012,0.695,-0.042,0.359,4
22,0,47591,Eric Cole,1.008,-0.811,0.791,1.028,4
23,0,35879,Kelly Kraft,0.906,-0.366,1.574,-0.303,4
24,0,47079,Harrison Endycott,0.853,-0.369,0.686,0.534,4
25,0,37278,Nicholas Lindheim,0.836,-0.195,0.521,0.509,4
26,0,54591,Ben Griffin,0.801,-0.715,1.758,-0.243,4
27,0,32640,Troy Merritt,0.795,0.699,-0.563,0.658,4
28,0,39954,Cody Gribble,0.765,0.277,-0.757,1.244,4
29,0,36871,Matt NeSmith,0.724,-0.003,0.570,0.157,4
30,0,46340,Alex Smalley,0.682,0.429,0.067,0.186,4
31,0,30692,Scott Stallings,0.651,0.138,0.529,-0.017,4
32,0,50992,Brett White,0.626,0.599,0.313,-0.285,4
33,0,47988,Nick Hardy,0.535,0.397,0.189,-0.052,4
34,0,33122,Russell Knox,0.525,-0.245,0.821,-0.051,4
35,0,33413,Ben Martin,0.473,0.288,-0.628,0.813,4
36,0,52374,Brandon Wu,0.468,0.075,0.132,0.260,4
37,0,40115,Adam Svensson,0.443,0.734,-0.297,0.005,4
38,0,53165,Doc Redman,0.425,0.763,0.514,-0.852,4
39,0,56630,Akshay Bhatia,0.422,1.078,-0.069,-0.587,4
40,0,32366,Kevin Chappell,0.407,-0.064,1.072,-0.601,4
41,0,58696,Peter Kuest,0.325,0.586,0.104,-0.366,4
42,0,34466,Peter Malnati,0.263,-0.165,0.180,0.248,4
43,0,39058,Lucas Herbert,0.260,-0.798,-0.061,1.119,4
44,0,32662,Michael Gligic,0.206,0.115,0.277,-0.187,4
45,0,49298,Kramer Hickok,0.190,0.327,-0.098,-0.039,4
46,0,22056,Cameron Percy,0.163,0.218,0.920,-0.975,4
47,0,51894,Vince Whaley,0.130,-0.082,0.061,0.150,4
48,0,37275,Sam Ryder,0.129,-0.815,0.334,0.609,4
49,0,34563,Chesson Hadley,0.125,0.055,0.664,-0.595,4
50,0,33410,Andrew Landry,0.080,0.035,0.504,-0.460,4
51,0,49453,Trevor Cone,0.052,0.323,0.038,-0.309,4
52,0,29970,Dylan Frittelli,0.040,-0.174,-0.110,0.324,4
53,0,25632,Jimmy Walker,0.031,0.750,-0.926,0.207,4
54,0,27936,Martin Laird,0.029,-0.374,0.736,-0.333,4
55,0,29478,Kevin Kisner,0.014,-0.743,0.452,0.305,4
56,0,34431,Robert Streb,-0.051,0.170,-0.004,-0.218,4
57,0,31202,William McGirt,-0.076,-0.060,-0.119,0.103,4
58,0,27554,Scott Harrington,-0.168,0.100,-0.732,0.464,4
59,0,33404,Chris Baker,-0.210,0.677,-0.524,-0.364,4
60,0,54628,Lee Hodges,-0.246,0.140,-0.746,0.360,4
61,0,63455,Ross Steelman,-0.285,0.752,-0.205,-0.832,4
62,0,49766,Hank Lebioda,-0.340,0.589,-0.589,-0.340,4
63,0,54421,Garrick Higgo,-0.349,0.654,-0.793,-0.210,4
64,0,48084,Wesley Bryan,-0.383,0.189,-1.299,0.727,4
65,0,27349,Alex Noren,-0.412,-0.225,-0.713,0.526,4
66,0,27649,Brandt Snedeker,-0.489,-0.936,0.838,-0.391,4
67,0,30750,Tommy Gainey,-0.573,-0.719,0.219,-0.073,4
68,0,33597,Harry Higgs,-0.731,0.127,0.038,-0.896,4
69,0,48119,Ben Taylor,-0.996,-1.373,0.659,-0.282,4
70,0,46435,Austin Cook,-1.033,-1.004,-0.378,0.348,4
71,0,23320,Ryan Palmer,-1.046,-0.391,-0.421,-0.235,4
72,0,47128,Richy Werenski,-1.066,-0.166,-0.277,-0.624,4
73,0,35310,Lanto Griffin,-1.470,0.332,-0.146,-1.656,4
74,0,27963,Chris Stroud,-1.550,-1.205,-0.104,-0.241,4
75,0,60008,Ford Clegg,-1.944,0.045,-1.341,-0.647,4
76,0,31557,Jim Herman,-2.116,-0.556,-1.025,-0.535,4
77,0,27895,Jonas Blixt,-2.249,-0.803,-1.299,-0.148,4
78,0,27556,Ted Potter Jr.,-2.266,-0.758,-0.649,-0.860,4
