RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,55182,Tom Kim,1.696,0.145,0.993,0.558,4
2,0,27129,Luke List,1.454,0.957,0.410,0.087,4
3,0,46970,Jon Rahm,1.162,1.102,-0.662,0.722,4
4,0,35532,Tom Hoge,1.120,-0.374,2.557,-1.063,4
5,0,39324,J.J. Spaun,1.041,0.782,-0.089,0.348,4
6,0,39971,Sungjae Im,0.873,0.488,0.748,-0.363,4
7,0,27644,Brian Harman,0.794,0.447,-0.018,0.366,4
8,0,50525,Collin Morikawa,0.763,0.485,0.335,-0.056,4
9,0,46046,Scottie Scheffler,0.638,0.212,0.060,0.366,4
10,0,29725,Tony Finau,0.621,0.318,0.355,-0.052,4
11,0,24502,Adam Scott,0.596,0.631,0.107,-0.142,4
12,0,57366,Cameron Young,0.567,1.145,-0.181,-0.397,4
13,0,34046,Jordan Spieth,0.547,0.263,-0.250,0.535,4
14,0,39977,Max Homa,0.543,0.643,0.493,-0.592,4
15,0,32791,K.H. Lee,0.488,-0.235,0.127,0.596,4
16,0,47483,Will Zalatoris,0.417,0.942,-0.541,0.017,4
17,0,34098,Russell Henley,0.413,-0.330,0.897,-0.154,4
18,0,39997,Corey Conners,0.410,0.144,0.320,-0.054,4
19,0,40098,Matt Fitzpatrick,0.337,0.247,-0.271,0.360,4
20,0,46717,Viktor Hovland,0.236,-0.195,0.404,0.027,4
21,0,46601,Trey Mullinax,0.104,0.582,-0.762,0.285,4
22,0,33448,Justin Thomas,0.001,-0.875,-0.212,1.089,4
23,0,51634,Sahith Theegala,-0.016,-0.568,0.553,0.000,4
24,0,49964,Aaron Wise,-0.159,0.052,-0.149,-0.062,4
25,0,35506,Mackenzie Hughes,-0.203,-1.102,0.089,0.810,4
26,0,49771,J.T. Poston,-0.223,0.297,0.080,-0.601,4
27,0,35450,Patrick Cantlay,-0.313,-0.040,-0.390,0.118,4
28,0,49960,Sepp Straka,-0.398,-1.485,1.420,-0.333,4
29,0,33141,Keegan Bradley,-0.403,0.466,-0.667,-0.203,4
30,0,32839,Hideki Matsuyama,-0.442,-0.596,-0.413,0.568,4
31,0,40115,Adam Svensson,-0.676,-0.741,0.133,-0.067,4
32,0,30692,Scott Stallings,-0.969,0.617,-1.135,-0.450,4
33,0,28252,Seamus Power,-0.991,-0.080,-1.350,0.439,4
34,0,26476,Chez Reavie,-1.183,-0.531,-0.223,-0.429,4
35,0,29420,Billy Horschel,-1.396,-1.654,0.881,-0.622,4
36,0,28420,Ryan Brehm,-1.598,0.118,-0.983,-0.732,4
37,0,47504,Sam Burns,-2.597,-1.214,-1.334,-0.049,4
38,0,47983,Chad Ramey,-2.877,-0.882,-1.094,-0.900,4
