RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,34610,Matthias Schwab,75.68,28,37
2,27,32139,Danny Willett,75.00,21,28
3,0,45522,Christiaan Bezuidenhout,74.07,20,27
4,41,46046,Scottie Scheffler,72.22,13,18
5,0,33948,Byeong Hun An,71.43,25,35
5,-1,54591,Ben Griffin,71.43,20,28
7,21,51766,Wyndham Clark,70.97,22,31
7,34,40115,Adam Svensson,70.97,22,31
9,0,47983,Chad Ramey,70.59,24,34
10,0,45157,Cam Davis,70.00,21,30
11,0,36799,Stephan Jaeger,69.57,16,23
12,5,28089,Jason Day,68.00,17,25
13,0,34563,Chesson Hadley,66.67,16,24
13,52,34409,David Lingmerth,66.67,18,27
13,34,24502,Adam Scott,66.67,24,36
13,57,50493,Justin Suh,66.67,22,33
17,0,25900,Lucas Glover,65.52,19,29
18,0,36801,Mark Hubbard,65.38,17,26
18,0,08075,Jerry Kelly,65.38,17,26
18,6,55182,Tom Kim,65.38,17,26
21,15,39977,Max Homa,65.22,15,23
21,-10,46717,Viktor Hovland,65.22,15,23
21,46,25198,Francesco Molinari,65.22,15,23
24,9,55789,Taylor Montgomery,64.71,22,34
25,30,33448,Justin Thomas,64.52,20,31
26,0,27644,Brian Harman,64.29,18,28
27,0,47993,Denny McCarthy,64.00,16,25
28,0,33399,Adam Hadwin,63.64,14,22
28,0,22405,Justin Rose,63.64,14,22
28,0,37275,Sam Ryder,63.64,21,33
31,0,46442,Maverick McNealy,63.33,19,30
31,0,46340,Alex Smalley,63.33,19,30
33,14,46414,Aaron Rai,63.16,12,19
34,3,30911,Tommy Fleetwood,62.96,17,27
34,0,32839,Hideki Matsuyama,62.96,17,27
36,0,28775,Nate Lashley,62.50,15,24
37,0,33413,Ben Martin,62.07,18,29
38,-5,34363,Tyrrell Hatton,61.90,13,21
38,0,50525,Collin Morikawa,61.90,13,21
40,0,30692,Scott Stallings,61.11,22,36
41,9,29936,Ryan Fox,60.00,15,25
41,-23,34046,Jordan Spieth,60.00,15,25
41,-32,58168,Davis Thompson,60.00,21,35
44,0,49298,Kramer Hickok,59.26,16,27
45,-30,49947,Taylor Moore,58.62,17,29
45,-40,30927,Brendon Todd,58.62,17,29
45,6,57366,Cameron Young,58.62,17,29
48,0,35532,Tom Hoge,58.33,14,24
49,0,47591,Eric Cole,58.06,18,31
50,-24,39971,Sungjae Im,57.69,15,26
51,0,47504,Sam Burns,57.14,16,28
52,0,37378,Min Woo Lee,56.00,14,25
53,-31,22371,Aaron Baddeley,55.88,19,34
54,0,54783,Dylan Wu,53.85,14,26
55,0,52374,Brandon Wu,53.13,17,32
56,-1,56762,Will Gordon,52.38,11,21
57,0,54421,Garrick Higgo,52.17,12,23
58,-15,35450,Patrick Cantlay,52.00,13,25
59,0,50095,Austin Smotherman,51.72,15,29
60,-1,39546,Keith Mitchell,51.61,16,31
61,-2,51634,Sahith Theegala,51.43,18,35
62,-30,32102,Rickie Fowler,50.00,12,24
62,0,29478,Kevin Kisner,50.00,16,32
62,0,40250,Taylor Pendrith,50.00,15,30
62,-41,48081,Xander Schauffele,50.00,14,28
62,7,47483,Will Zalatoris,50.00,14,28
67,-41,33204,Shane Lowry,48.15,13,27
68,-35,37455,Si Woo Kim,48.00,12,25
69,-50,29725,Tony Finau,47.83,11,23
69,-55,34098,Russell Henley,47.83,11,23
71,0,45609,Tyler Duncan,47.62,10,21
72,0,31323,Gary Woodland,47.37,9,19
73,0,49960,Sepp Straka,45.83,11,24
74,0,34076,Joel Dahmen,40.74,11,27
75,0,32757,Patton Kizzire,37.93,11,29
