RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,15,28237,Rory McIlroy,3.655,1.918,1.473,0.248,4
2,18,30911,Tommy Fleetwood,3.294,0.784,1.943,0.284,4
3,0,46046,Scottie Scheffler,3.213,1.357,1.640,0.653,4
4,0,57362,Austin Eckroat,3.111,0.852,0.987,1.205,4
5,0,30925,Dustin Johnson,2.858,1.031,1.105,0.796,4
6,0,32839,Hideki Matsuyama,2.500,-0.202,2.036,0.644,4
7,0,51766,Wyndham Clark,2.448,1.439,0.265,0.974,4
8,0,32102,Rickie Fowler,2.120,0.155,0.652,1.029,4
9,0,34098,Russell Henley,2.044,0.167,1.801,-0.057,4
10,0,37378,Min Woo Lee,2.043,0.907,0.297,0.557,4
11,0,55182,Tom Kim,1.926,-0.303,1.750,0.196,4
12,0,46970,Jon Rahm,1.897,0.626,0.825,0.393,4
13,0,47959,Bryson DeChambeau,1.859,0.928,0.379,0.421,4
14,0,36689,Brooks Koepka,1.816,0.297,0.204,1.032,4
15,0,50525,Collin Morikawa,1.803,0.421,1.255,-0.156,4
16,0,48822,Sebastián Muñoz,1.742,-0.288,1.877,-0.129,4
17,0,46464,Jordan Smith,1.707,0.177,1.551,-0.304,4
18,0,46717,Viktor Hovland,1.676,0.731,-0.134,0.797,4
19,0,29725,Tony Finau,1.651,-0.269,1.241,0.589,4
20,0,31323,Gary Woodland,1.537,0.500,1.571,-0.136,4
21,0,48081,Xander Schauffele,1.507,0.140,1.188,0.057,4
22,0,35891,Cameron Smith,1.320,0.159,1.303,-0.038,4
23,0,55893,Sam Stevens,1.218,0.234,0.689,0.875,4
24,0,27214,Kevin Streelman,1.158,-0.547,0.968,0.455,4
25,0,29936,Ryan Fox,1.153,-0.322,0.849,0.344,4
26,40,51634,Sahith Theegala,1.120,0.097,1.215,0.124,4
27,19,40098,Matt Fitzpatrick,1.039,-0.492,0.499,1.217,4
28,0,21209,Sergio Garcia,0.880,0.277,-0.648,0.968,4
29,20,57366,Cameron Young,0.839,0.885,0.014,0.100,4
30,-18,54783,Dylan Wu,0.828,-0.228,0.132,0.640,4
31,0,47988,Nick Hardy,0.821,0.540,0.613,0.062,4
32,0,20766,Padraig Harrington,0.757,-0.622,-0.036,1.364,4
33,0,47993,Denny McCarthy,0.700,-0.142,0.135,0.675,4
34,1,33204,Shane Lowry,0.699,-0.012,-0.029,0.457,4
35,0,64442,Gordon Sargent,0.643,0.113,0.476,0.205,4
36,0,45486,Joaquin Niemann,0.618,0.899,-0.204,0.073,4
37,0,45526,Abraham Ancer,0.602,0.703,0.088,-0.210,4
38,0,37455,Si Woo Kim,0.390,0.304,0.007,-0.203,4
39,0,29420,Billy Horschel,0.365,0.415,0.224,-0.324,4
40,0,47504,Sam Burns,0.353,-0.001,0.334,-0.020,4
41,0,35450,Patrick Cantlay,0.286,0.692,-0.357,-0.132,4
42,0,34099,Harris English,0.193,0.521,-0.248,0.111,4
43,0,27644,Brian Harman,0.179,-0.696,1.118,-0.285,4
44,-31,34363,Tyrrell Hatton,0.163,0.197,0.433,-0.432,4
45,0,50493,Justin Suh,0.138,-0.699,0.231,0.552,4
46,0,39546,Keith Mitchell,0.002,1.359,-0.127,-0.710,4
47,0,12716,Charley Hoffman,-0.067,-0.201,0.389,-0.538,4
48,0,34256,Andrew Putnam,-0.118,-0.497,0.232,0.018,4
49,0,28521,Ryutaro Nagano,-0.172,0.052,0.161,0.045,4
50,0,37250,Romain Langasque,-0.304,0.569,-0.799,-0.357,4
51,0,48632,Yuto Katsuragawa,-0.373,-0.541,0.492,-0.356,4
52,-31,47591,Eric Cole,-0.534,-1.224,1.220,-0.615,4
53,-12,59652,Sam Bennett,-0.589,0.533,-0.430,-0.823,4
54,0,36699,Patrick Rodgers,-0.646,-0.015,-0.611,0.380,4
55,0,58669,Jacob Solomon,-0.658,-0.597,-0.334,-0.009,4
56,0,61193,David Puig,-0.660,0.249,-0.360,-0.183,4
57,0,34360,Patrick Reed,-0.700,-0.093,-1.048,0.158,4
58,0,35506,Mackenzie Hughes,-0.719,-1.110,0.120,-0.012,4
59,-51,33399,Adam Hadwin,-0.758,-1.019,0.523,-0.544,4
60,-17,59018,Ryan Gerard,-0.829,-0.490,-1.170,0.705,4
61,0,60006,Ben Carr,-0.867,-0.073,-0.249,-0.678,4
62,0,63343,Aldrich Potgieter,-1.408,0.385,-0.110,-1.297,4
63,0,40115,Adam Svensson,-1.610,-0.536,-0.692,-0.467,4
64,0,30852,Ryo Ishikawa,-1.685,-0.684,-0.257,-0.359,4
65,0,57860,Maxwell Moldovan,-2.198,-1.148,-0.360,-0.542,4
