RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,63343,Aldrich Potgieter,336.3,2690,8
2,0,37378,Min Woo Lee,332.0,2656,8
3,14,57366,Cameron Young,327.9,2623,8
4,0,47959,Bryson DeChambeau,326.5,2612,8
5,0,46970,Jon Rahm,326.1,2609,8
6,0,64442,Gordon Sargent,325.8,2606,8
7,0,51766,Wyndham Clark,325.3,2602,8
8,-7,28237,Rory McIlroy,324.3,2594,8
9,0,47504,Sam Burns,322.9,2583,8
10,5,34363,Tyrrell Hatton,320.8,2566,8
11,0,46717,Viktor Hovland,318.9,2551,8
12,0,31323,Gary Woodland,318.4,2547,8
13,0,46046,Scottie Scheffler,317.9,2543,8
14,0,39546,Keith Mitchell,317.5,2540,8
15,0,47988,Nick Hardy,316.9,2535,8
15,0,61193,David Puig,316.9,2535,8
17,42,51634,Sahith Theegala,316.6,2533,8
18,0,30925,Dustin Johnson,316.3,2530,8
19,0,32102,Rickie Fowler,315.9,2527,8
20,0,45486,Joaquin Niemann,315.1,2521,8
21,0,29936,Ryan Fox,312.5,2500,8
22,0,28521,Ryutaro Nagano,312.4,2499,8
22,0,55893,Sam Stevens,312.4,2499,8
24,0,12716,Charley Hoffman,312.0,2496,8
25,0,57860,Maxwell Moldovan,311.9,2495,8
26,0,46464,Jordan Smith,311.1,2489,8
27,0,48081,Xander Schauffele,309.9,2479,8
28,-11,40098,Matt Fitzpatrick,309.8,2478,8
29,0,21209,Sergio Garcia,309.6,2477,8
29,0,36699,Patrick Rodgers,309.6,2477,8
31,-23,30911,Tommy Fleetwood,308.8,2470,8
32,0,34099,Harris English,308.0,2464,8
33,0,35450,Patrick Cantlay,307.6,2461,8
34,0,29725,Tony Finau,307.5,2460,8
35,0,60006,Ben Carr,307.1,2457,8
36,0,57362,Austin Eckroat,306.0,2448,8
37,0,35506,Mackenzie Hughes,304.8,2438,8
38,0,36689,Brooks Koepka,304.5,2436,8
39,0,37455,Si Woo Kim,304.4,2435,8
40,0,29420,Billy Horschel,304.1,2433,8
41,0,34360,Patrick Reed,303.9,2431,8
42,-20,33204,Shane Lowry,303.1,2425,8
43,0,34098,Russell Henley,302.5,2420,8
44,-20,54783,Dylan Wu,301.5,2412,8
45,-17,59652,Sam Bennett,301.4,2411,8
46,0,37250,Romain Langasque,301.3,2410,8
47,10,59018,Ryan Gerard,301.1,2409,8
48,6,33399,Adam Hadwin,300.6,2405,8
49,0,50493,Justin Suh,300.5,2404,8
50,0,35891,Cameron Smith,300.3,2402,8
51,0,47993,Denny McCarthy,299.1,2393,8
52,0,50525,Collin Morikawa,298.6,2389,8
53,0,55182,Tom Kim,298.5,2388,8
54,-15,47591,Eric Cole,297.9,2383,8
55,0,45526,Abraham Ancer,297.1,2377,8
56,0,27214,Kevin Streelman,296.3,2370,8
57,0,20766,Padraig Harrington,295.8,2366,8
58,0,30852,Ryo Ishikawa,295.6,2365,8
59,0,48822,Sebastián Muñoz,294.6,2357,8
60,0,58669,Jacob Solomon,294.0,2352,8
61,0,27644,Brian Harman,292.8,2342,8
62,0,34256,Andrew Putnam,291.9,2335,8
63,0,40115,Adam Svensson,291.8,2334,8
64,0,32839,Hideki Matsuyama,291.4,2331,8
65,0,48632,Yuto Katsuragawa,288.8,2310,8
