RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,51997,Andrew Novak,1.920,7.680,4
2,0,55789,Taylor Montgomery,1.894,7.576,4
3,0,37275,Sam Ryder,1.868,7.472,4
4,0,55893,Sam Stevens,1.478,5.914,4
5,0,40162,Justin Lower,1.318,5.273,4
6,0,33597,Harry Higgs,1.256,5.026,4
7,0,51349,Nico Echavarria,1.253,5.012,4
8,0,34466,Peter Malnati,1.219,4.877,4
9,0,26476,Chez Reavie,1.208,4.831,4
10,0,55708,Hayden Buckley,1.180,4.719,4
11,0,39067,MJ Daffue,1.130,4.519,4
12,0,25493,Nick Taylor,1.071,4.284,4
13,0,46414,Aaron Rai,1.028,4.114,4
14,0,54628,Lee Hodges,1.025,4.100,4
15,0,39975,Michael Kim,.987,3.947,4
16,0,30926,Chris Kirk,.979,3.917,4
17,0,57975,Harry Hall,.874,3.496,4
18,0,35310,Lanto Griffin,.822,3.287,4
19,0,23983,Luke Donald,.792,3.169,4
20,0,36724,Augusto Núñez,.742,2.968,4
21,0,54783,Dylan Wu,.714,2.855,4
22,0,48887,Matt Wallace,.650,2.599,4
23,0,32150,Michael Thompson,.634,2.535,4
24,0,45522,Christiaan Bezuidenhout,.608,2.431,4
25,0,59018,Ryan Gerard,.605,2.419,4
26,0,27349,Alex Noren,.589,2.358,4
27,0,50188,S.H. Kim,.531,2.125,4
28,0,47988,Nick Hardy,.476,1.904,4
29,0,27214,Kevin Streelman,.443,1.773,4
30,0,20766,Padraig Harrington,.417,1.670,4
31,0,52453,Nicolai Hojgaard,.379,1.518,4
32,0,23108,Matt Kuchar,.367,1.470,4
33,0,49960,Sepp Straka,.364,1.457,4
34,0,47591,Eric Cole,.352,1.408,4
35,0,35461,Beau Hossler,.326,1.303,4
36,0,33653,Thomas Detry,.297,1.189,4
37,0,25632,Jimmy Walker,.257,1.029,4
38,0,31646,Emiliano Grillo,.216,.864,4
39,0,30927,Brendon Todd,.214,.855,4
40,0,59836,Pierceson Coody,.179,.718,4
41,0,39997,Corey Conners,.094,.376,4
42,0,36699,Patrick Rodgers,.048,.191,4
43,0,32839,Hideki Matsuyama,.025,.100,4
44,0,39324,J.J. Spaun,.005,.019,4
45,0,37455,Si Woo Kim,-.008,-.032,4
46,0,32366,Kevin Chappell,-.030,-.120,4
47,0,32757,Patton Kizzire,-.037,-.148,4
48,0,32102,Rickie Fowler,-.060,-.241,4
49,0,56630,Akshay Bhatia,-.071,-.284,4
50,0,57900,Chandler Phillips,-.084,-.335,4
51,0,33948,Byeong Hun An,-.163,-.652,4
52,0,34256,Andrew Putnam,-.177,-.709,4
53,0,45609,Tyler Duncan,-.192,-.767,4
54,0,46441,Robby Shelton,-.231,-.922,4
55,0,27129,Luke List,-.351,-1.405,4
56,0,12716,Charley Hoffman,-.427,-1.708,4
57,0,58967,Trevor Werbylo,-.473,-1.893,4
58,0,33413,Ben Martin,-.476,-1.905,4
59,0,29535,Brice Garnett,-.477,-1.906,4
60,0,32816,Satoshi Kodaira,-.499,-1.996,4
61,0,35376,Roberto Díaz,-.500,-1.999,4
62,0,31577,Tano Goya,-.617,-2.468,4
63,0,52374,Brandon Wu,-.650,-2.599,4
64,0,30163,Henrik Norlander,-.710,-2.839,4
65,0,30110,Kyle Stanley,-.836,-3.344,4
66,0,54421,Garrick Higgo,-.919,-3.677,4
67,0,34563,Chesson Hadley,-1.094,-4.374,4
68,0,48867,Matti Schmid,-1.105,-4.418,4
69,0,25900,Lucas Glover,-1.175,-4.698,4
70,0,47987,Cole Hammer,-1.324,-5.297,4
71,0,25686,Jason Dufner,-1.493,-5.970,4
