RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,48887,Matt Wallace,2.299,.614,.915,.770,4
2,41,49947,Taylor Moore,2.204,.839,1.282,.083,4
3,21,30911,Tommy Fleetwood,2.024,.353,.435,1.235,4
4,22,51766,Wyndham Clark,1.992,.185,1.477,.330,4
5,18,33448,Justin Thomas,1.816,.167,.670,.979,4
6,0,40006,Erik van Rooyen,1.767,.135,1.774,-.142,4
7,13,34046,Jordan Spieth,1.760,.311,1.060,.389,4
8,0,25493,Nick Taylor,1.593,.003,1.059,.530,4
9,12,47993,Denny McCarthy,1.493,-.079,1.064,.507,4
10,39,47504,Sam Burns,1.412,.746,.407,.258,4
10,0,58967,Trevor Werbylo,1.412,-.042,.533,.922,4
12,0,47347,Adam Schenk,1.321,.639,.375,.307,4
13,0,52375,Doug Ghim,1.303,.498,-.054,.858,4
14,25,34409,David Lingmerth,1.301,.108,.769,.424,4
15,0,49771,J.T. Poston,1.164,.346,1.340,-.522,4
16,0,29221,Webb Simpson,1.155,.024,.899,.232,4
17,0,50188,S.H. Kim,1.145,.068,.337,.741,4
18,11,36799,Stephan Jaeger,1.097,.281,.221,.595,4
19,27,46340,Alex Smalley,1.069,.282,.538,.248,4
20,0,27214,Kevin Streelman,1.061,.073,1.105,-.117,4
21,31,33413,Ben Martin,1.030,.761,.864,-.596,4
22,0,32150,Michael Thompson,.991,.436,.265,.290,4
23,0,36326,David Lipsky,.954,.259,.024,.670,4
24,0,35449,Adam Long,.908,-.054,-.316,1.278,4
25,30,34076,Joel Dahmen,.893,.025,1.206,-.339,4
26,22,25900,Lucas Glover,.869,.073,-.054,.851,4
27,0,25686,Jason Dufner,.832,-.587,2.140,-.721,4
28,0,51890,Greyson Sigg,.793,.219,1.138,-.564,4
29,39,32757,Patton Kizzire,.775,.474,.644,-.343,4
30,0,34255,Joseph Bramlett,.752,.073,.128,.551,4
31,0,36699,Patrick Rodgers,.710,-.019,-.424,1.153,4
32,0,24140,Sean O'Hair,.650,-.577,.627,.600,4
33,0,33410,Andrew Landry,.647,.487,-.307,.467,4
34,-25,31323,Gary Woodland,.628,1.134,-.134,-.373,4
35,-13,54421,Garrick Higgo,.598,-.106,.462,.242,4
36,0,54628,Lee Hodges,.587,.121,.521,-.055,4
37,21,56762,Will Gordon,.583,.636,.370,-.423,4
38,0,32791,K.H. Lee,.378,.111,.704,-.437,4
39,0,53165,Doc Redman,.368,.506,.289,-.427,4
40,0,40058,Zac Blair,.317,.400,-.354,.271,4
41,0,39954,Cody Gribble,.307,.781,.511,-.985,4
42,0,64576,Nick Gabrelcik,.243,.444,.894,-1.094,4
42,-5,54783,Dylan Wu,.243,.320,-.398,.320,4
44,0,19803,Ryan Armour,.214,.047,-.366,.533,4
45,0,47995,Davis Riley,.170,.507,.399,-.737,4
46,-41,22405,Justin Rose,.169,.468,.122,-.422,4
47,24,47983,Chad Ramey,.157,-.138,-.147,.441,4
48,0,30163,Henrik Norlander,.155,.170,.115,-.131,4
49,0,22056,Cameron Percy,.153,.369,.383,-.599,4
50,0,51997,Andrew Novak,.113,.685,-.231,-.341,4
51,-9,33948,Byeong Hun An,.083,-.313,-.438,.834,4
52,0,52955,Ludvig Åberg,.047,.118,.769,-.841,4
53,0,39067,MJ Daffue,.025,.550,-.117,-.408,4
54,0,32448,James Hahn,-.002,.278,-.400,.119,4
55,17,46442,Maverick McNealy,-.017,.335,-.780,.427,4
56,0,47679,Victor Perez,-.187,.733,.161,-1.081,4
57,0,59018,Ryan Gerard,-.226,-.152,.304,-.378,4
58,0,49766,Hank Lebioda,-.257,-.451,.250,-.056,4
59,0,23621,Rory Sabbatini,-.350,-1.103,.006,.747,4
60,0,39975,Michael Kim,-.358,-.160,.317,-.515,4
61,-36,50095,Austin Smotherman,-.395,.104,-.824,.324,4
62,-47,50493,Justin Suh,-.478,-.057,-.621,.200,4
63,0,33408,Tyson Alexander,-.511,-.310,-.699,.498,4
64,0,55454,Carl Yuan,-.580,.628,-1.205,-.003,4
65,-31,54591,Ben Griffin,-.680,.320,-2.011,1.012,4
66,-1,49298,Kramer Hickok,-.863,-.196,-.672,.005,4
67,-5,37275,Sam Ryder,-.866,-.205,-.866,.205,4
68,0,47128,Richy Werenski,-.893,-.506,.075,-.462,4
69,0,28420,Ryan Brehm,-1.201,-.079,-1.195,.073,4
70,0,47079,Harrison Endycott,-1.219,-.235,-.569,-.415,4
71,0,37338,Zecheng Dou,-1.239,.007,-.559,-.687,4
72,0,49453,Trevor Cone,-1.242,-.327,-1.232,.317,4
