RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,47993,Denny McCarthy,2.182,8.728,4
2,0,30927,Brendon Todd,2.005,8.019,4
3,26,51766,Wyndham Clark,1.865,7.461,4
4,0,32791,K.H. Lee,1.660,6.642,4
5,0,50493,Justin Suh,1.531,6.125,4
6,0,23108,Matt Kuchar,1.521,6.086,4
7,27,54783,Dylan Wu,1.491,5.966,4
8,0,39971,Sungjae Im,1.409,5.636,4
9,0,24502,Adam Scott,1.313,5.254,4
10,0,32102,Rickie Fowler,1.237,4.949,4
11,0,34099,Harris English,1.221,4.884,4
12,0,48081,Xander Schauffele,1.190,4.760,4
13,2,25632,Jimmy Walker,1.161,4.645,4
14,0,40115,Adam Svensson,1.068,4.274,4
15,0,39977,Max Homa,0.980,3.921,4
16,0,35450,Patrick Cantlay,0.943,3.771,4
17,0,28252,Seamus Power,0.899,3.596,4
18,0,39546,Keith Mitchell,0.876,3.506,4
19,2,39975,Michael Kim,0.751,3.006,4
20,0,51634,Sahith Theegala,0.689,2.757,4
21,0,40098,Matt Fitzpatrick,0.625,2.502,4
22,0,49947,Taylor Moore,0.620,2.482,4
23,0,45157,Cam Davis,0.582,2.327,4
24,0,30911,Tommy Fleetwood,0.556,2.225,4
25,0,52514,Trace Crowe,0.547,2.189,4
26,0,20229,Stewart Cink,0.480,1.922,4
27,0,19803,Ryan Armour,0.453,1.814,4
28,17,28775,Nate Lashley,0.354,1.415,4
29,0,33448,Justin Thomas,0.350,1.399,4
30,0,40058,Zac Blair,0.348,1.393,4
31,0,27214,Kevin Streelman,0.321,1.285,4
32,0,34363,Tyrrell Hatton,0.281,1.124,4
33,-2,36801,Mark Hubbard,0.277,1.110,4
34,0,23320,Ryan Palmer,0.263,1.054,4
35,0,46340,Alex Smalley,0.245,0.981,4
36,0,39324,J.J. Spaun,0.179,0.715,4
37,-17,35461,Beau Hossler,0.167,0.668,4
38,0,52375,Doug Ghim,0.116,0.466,4
39,0,47983,Chad Ramey,0.087,0.349,4
40,0,39997,Corey Conners,0.066,0.264,4
41,0,57366,Cameron Young,0.018,0.074,4
42,0,28237,Rory McIlroy,-0.024,-0.096,4
43,0,47079,Harrison Endycott,-0.039,-0.156,4
44,0,46717,Viktor Hovland,-0.103,-0.411,4
45,0,39067,MJ Daffue,-0.107,-0.429,4
46,-37,31646,Emiliano Grillo,-0.144,-0.575,4
47,-10,38991,Alejandro Tosti,-0.165,-0.660,4
48,-41,25198,Francesco Molinari,-0.204,-0.816,4
49,0,33141,Keegan Bradley,-0.314,-1.255,4
50,4,34255,Joseph Bramlett,-0.460,-1.840,4
51,0,30163,Henrik Norlander,-0.494,-1.974,4
52,-44,29725,Tony Finau,-0.547,-2.189,4
53,0,48699,Callum Tarren,-0.639,-2.554,4
54,0,47988,Nick Hardy,-0.690,-2.761,4
55,0,29221,Webb Simpson,-0.714,-2.856,4
56,0,55893,Sam Stevens,-0.718,-2.872,4
57,0,46601,Trey Mullinax,-0.728,-2.913,4
58,0,37455,Si Woo Kim,-0.855,-3.418,4
59,-53,56630,Akshay Bhatia,-0.858,-3.431,4
60,0,49298,Kramer Hickok,-0.865,-3.461,4
61,11,31323,Gary Woodland,-0.881,-3.525,4
62,0,55182,Tom Kim,-0.888,-3.550,4
63,0,34409,David Lingmerth,-0.964,-3.856,4
64,0,55708,Hayden Buckley,-1.012,-4.046,4
65,3,36799,Stephan Jaeger,-1.018,-4.071,4
66,0,30926,Chris Kirk,-1.025,-4.099,4
67,0,36871,Matt NeSmith,-1.210,-4.839,4
68,-27,57362,Austin Eckroat,-1.957,-7.826,4
