RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,52372,Cameron Champ,320.7,26942,84
2,0,28237,Rory McIlroy,320.2,44183,138
3,1,33948,Byeong Hun An,317.1,47570,150
4,-1,47663,Kevin Dougherty,316.8,27877,88
5,0,37378,Min Woo Lee,315.0,36538,116
6,0,51766,Wyndham Clark,314.5,40884,130
7,0,59095,Chris Gotterup,313.8,37024,118
8,4,40250,Taylor Pendrith,312.5,44999,144
9,-1,38991,Alejandro Tosti,312.3,31855,102
10,-1,51977,Max Greyserman,312.2,42770,137
11,-1,27064,Jhonattan Vegas,312.1,31207,100
12,-1,50484,Hayden Springer,311.9,30883,99
13,1,51070,Vincent Norrman,311.0,30476,98
14,1,39546,Keith Mitchell,310.9,40423,130
15,5,52955,Ludvig Åberg,310.5,44086,142
15,1,55454,Carl Yuan,310.5,28568,92
17,0,31323,Gary Woodland,310.2,39707,128
18,0,59836,Pierceson Coody,309.9,35636,115
19,0,47420,Jake Knapp,309.8,43987,142
19,3,33448,Justin Thomas,309.8,39034,126
21,0,45242,Kevin Yu,309.4,35268,114
22,0,34255,Joseph Bramlett,309.1,35853,116
22,0,52453,Nicolai Højgaard,309.1,35239,114
24,1,57366,Cameron Young,308.9,50036,162
25,1,51696,Rico Hoey,308.8,34581,112
25,1,36799,Stephan Jaeger,308.8,42614,138
27,4,48081,Xander Schauffele,308.6,46296,150
28,0,54421,Garrick Higgo,308.5,33931,110
28,0,48699,Callum Tarren,308.5,30850,100
30,5,29725,Tony Finau,308.4,48731,158
30,0,29936,Ryan Fox,308.4,38238,124
32,0,54576,Patrick Fishburn,307.9,27093,88
32,0,46113,Ryan McCormick,307.9,27094,88
34,0,59866,Nick Dunlap,307.8,38782,126
35,3,47504,Sam Burns,307.4,44884,146
36,3,24502,Adam Scott,307.1,43612,142
36,0,55893,Sam Stevens,307.1,42990,140
38,-1,34046,Jordan Spieth,306.9,42962,140
39,1,48117,Kurt Kitayama,305.9,40994,134
40,1,28420,Ryan Brehm,305.8,26913,88
40,1,58168,Davis Thompson,305.8,50143,164
42,1,48867,Matti Schmid,305.7,33929,111
43,1,36699,Patrick Rodgers,305.6,45231,148
43,5,51634,Sahith Theegala,305.6,51949,170
45,2,33141,Keegan Bradley,305.5,48263,158
46,-1,49947,Taylor Moore,305.3,49454,162
47,8,46717,Viktor Hovland,305.1,34780,114
48,-2,35310,Lanto Griffin,304.9,29271,96
48,8,52215,Robert MacIntyre,304.9,43902,144
50,0,46442,Maverick McNealy,304.2,43190,142
50,0,40006,Erik van Rooyen,304.2,40762,134
52,0,46340,Alex Smalley,304.0,30397,100
53,0,60067,Joe Highsmith,303.9,27654,91
54,0,59442,Parker Coody,303.8,31898,105
54,19,46046,Scottie Scheffler,303.8,43139,142
56,1,33653,Thomas Detry,303.3,40641,134
57,1,12716,Charley Hoffman,303.1,31522,104
57,1,51894,Vince Whaley,303.1,27579,91
59,1,47988,Nick Hardy,303.0,39086,129
60,1,50497,Adrien Dumont de Chassart,302.8,32707,108
60,1,50188,S.H. Kim,302.8,47839,158
60,1,47995,Davis Riley,302.8,36940,122
60,1,27139,David Skinns,302.8,32707,108
64,12,35450,Patrick Cantlay,302.7,39356,130
65,0,45157,Cam Davis,302.6,45388,150
65,0,47483,Will Zalatoris,302.6,37517,124
67,0,33408,Tyson Alexander,302.4,32058,106
68,0,39975,Michael Kim,302.1,35348,117
68,0,33968,Thorbjørn Olesen,302.1,29001,96
70,0,34563,Chesson Hadley,302.0,28996,96
71,0,27129,Luke List,301.9,34421,114
72,2,47679,Victor Perez,301.6,40712,135
73,2,59143,Mac Meissner,301.5,34979,116
74,3,39997,Corey Conners,301.0,49969,166
74,3,32791,K.H. Lee,301.0,32513,108
76,13,48153,Matthieu Pavon,300.9,37915,126
77,2,28089,Jason Day,300.8,41515,138
77,2,47347,Adam Schenk,300.8,44512,148
79,2,32757,Patton Kizzire,300.7,24961,83
80,2,57362,Austin Eckroat,300.6,46888,156
81,10,30911,Tommy Fleetwood,300.4,42662,142
81,6,33204,Shane Lowry,300.4,42049,140
83,0,39977,Max Homa,300.3,43841,146
84,0,52514,Trace Crowe,300.2,26720,89
85,0,48119,Ben Taylor,300.1,26413,88
86,0,50493,Justin Suh,300.0,31204,104
87,1,56630,Akshay Bhatia,299.8,51557,172
87,15,32839,Hideki Matsuyama,299.8,41966,140
89,0,51997,Andrew Novak,299.5,38332,128
90,9,29420,Billy Horschel,299.4,45502,152
91,0,47591,Eric Cole,299.3,54469,182
91,14,39971,Sungjae Im,299.3,49676,166
91,0,48887,Matt Wallace,299.3,35920,120
94,0,34099,Harris English,299.2,43684,146
95,0,35461,Beau Hossler,299.1,37689,126
95,0,34587,Chan Kim,299.1,37089,124
95,13,30926,Chris Kirk,299.1,42467,142
98,-1,60004,Jacob Bridgeman,299.0,32287,108
98,-1,40098,Matt Fitzpatrick,299.0,42456,142
100,0,55182,Tom Kim,298.7,46002,154
100,0,28252,Seamus Power,298.7,46002,154
102,1,57975,Harry Hall,298.3,38180,128
102,1,52666,Sami Valimaki,298.3,28640,96
104,2,39324,J.J. Spaun,298.1,33986,114
105,2,35506,Mackenzie Hughes,297.9,47072,158
106,3,32102,Rickie Fowler,297.7,38698,130
107,3,33399,Adam Hadwin,297.6,43454,146
108,3,22405,Justin Rose,297.5,36295,122
108,3,40115,Adam Svensson,297.5,49389,166
110,3,36871,Matt NeSmith,297.4,33012,111
111,3,48319,Tom Whitney,297.3,27347,92
112,3,34466,Peter Malnati,297.1,38621,130
113,3,32367,Jorge Campillo,296.7,30559,103
114,3,55708,Hayden Buckley,296.5,32613,110
115,3,40026,Daniel Berger,296.2,29620,100
116,14,50525,Collin Morikawa,296.0,44399,150
117,5,35532,Tom Hoge,295.8,51469,174
117,2,52513,Carson Young,295.8,34316,116
119,1,51287,Ryo Hisatsune,295.7,38738,131
120,1,27349,Alex Noren,295.5,40775,138
121,1,37455,Si Woo Kim,294.9,48960,166
121,1,40162,Justin Lower,294.9,41882,142
121,11,49960,Sepp Straka,294.9,44238,150
121,1,27214,Kevin Streelman,294.9,28601,97
121,1,52374,Brandon Wu,294.9,33329,113
126,1,45609,Tyler Duncan,294.8,29183,99
127,1,54591,Ben Griffin,294.7,50691,172
127,1,54628,Lee Hodges,294.7,41846,142
129,3,51349,Nico Echavarria,294.1,36471,124
130,4,57900,Chandler Phillips,293.9,34679,118
131,4,36801,Mark Hubbard,293.8,44066,150
131,7,46414,Aaron Rai,293.8,50537,172
133,3,54783,Dylan Wu,293.6,35231,120
134,3,27644,Brian Harman,293.5,48729,166
135,3,34076,Joel Dahmen,293.3,37537,128
135,3,47983,Chad Ramey,293.3,32853,112
137,4,51890,Greyson Sigg,293.0,32815,112
137,4,39327,Ben Silverman,293.0,38673,132
139,4,52375,Doug Ghim,292.8,35724,122
140,4,32640,Troy Merritt,292.7,33958,116
140,4,29908,C.T. Pan,292.7,26930,92
142,5,31646,Emiliano Grillo,292.3,47355,162
143,5,49771,J.T. Poston,291.9,44953,154
144,5,46441,Robby Shelton,291.5,32648,112
145,5,28775,Nate Lashley,291.4,27978,96
146,9,34098,Russell Henley,291.3,42534,146
146,5,47993,Denny McCarthy,291.3,48358,166
148,4,37275,Sam Ryder,291.2,32031,110
149,4,33486,Roger Sloan,291.1,26785,92
149,4,25493,Nick Taylor,291.1,39010,134
151,4,45522,Christiaan Bezuidenhout,290.7,44184,152
152,5,27936,Martin Laird,289.5,27503,95
153,5,36326,David Lipsky,288.2,28241,98
154,5,36884,Ben Kohles,287.8,35116,122
154,5,26596,Ryan Moore,287.8,32228,112
156,5,25900,Lucas Glover,287.5,39677,138
157,5,23108,Matt Kuchar,287.1,30435,106
158,5,26476,Chez Reavie,286.1,27462,96
159,5,24024,Zach Johnson,284.3,25016,88
160,5,22371,Aaron Baddeley,282.6,29952,106
161,5,27649,Brandt Snedeker,282.3,25970,92
162,5,34256,Andrew Putnam,281.5,35473,126
163,5,40058,Zac Blair,280.1,31367,112
