RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,16,66743,Luke Clanton,3.193,0.972,1.700,0.521,4
2,0,57364,Michael Thorbjornsen,3.022,1.132,1.268,0.622,4
3,0,29908,C.T. Pan,2.879,0.373,1.112,1.394,4
4,-2,58168,Davis Thompson,2.814,0.806,0.676,1.333,4
5,0,39546,Keith Mitchell,2.511,0.713,1.812,-0.014,4
6,7,27064,Jhonattan Vegas,2.445,1.238,0.683,0.524,4
7,0,52513,Carson Young,2.341,0.846,1.494,0.002,4
8,0,28252,Seamus Power,2.152,0.336,1.517,0.299,4
9,0,39971,Sungjae Im,2.133,0.492,0.809,0.831,4
10,10,50484,Hayden Springer,2.107,1.152,0.351,0.604,4
11,-3,47591,Eric Cole,2.073,0.197,0.796,1.079,4
12,0,34587,Chan Kim,1.987,0.289,0.867,0.832,4
13,0,47993,Denny McCarthy,1.977,0.215,0.220,1.542,4
14,34,57975,Harry Hall,1.931,0.061,0.397,1.472,4
15,0,39436,Joshua Creel,1.845,-0.002,1.561,0.286,4
16,39,51977,Max Greyserman,1.827,1.666,0.559,-0.397,4
17,11,39327,Ben Silverman,1.621,0.371,0.935,0.315,4
18,0,40115,Adam Svensson,1.605,0.337,0.823,0.445,4
19,-3,34076,Joel Dahmen,1.531,0.737,1.404,-0.610,4
20,9,54591,Ben Griffin,1.496,-0.030,0.709,0.817,4
21,0,59143,Mac Meissner,1.332,-0.251,1.176,0.407,4
22,15,45242,Kevin Yu,1.273,-0.008,1.270,0.010,4
23,0,52375,Doug Ghim,1.213,0.563,1.504,-0.854,4
24,0,25900,Lucas Glover,1.201,-0.335,1.364,0.172,4
25,36,51997,Andrew Novak,1.142,0.676,0.842,-0.375,4
26,-2,39324,J.J. Spaun,1.130,-0.478,1.317,0.291,4
27,0,51696,Rico Hoey,1.090,0.886,0.357,-0.153,4
28,5,55708,Hayden Buckley,1.056,0.641,0.270,0.145,4
29,0,34563,Chesson Hadley,1.044,0.818,-0.087,0.313,4
30,-5,51287,Ryo Hisatsune,0.977,0.423,0.335,0.218,4
31,33,46441,Robby Shelton,0.954,-0.717,1.366,0.305,4
32,0,29535,Brice Garnett,0.853,-0.176,1.160,-0.131,4
33,34,24024,Zach Johnson,0.797,-0.037,0.143,0.692,4
34,0,28089,Jason Day,0.791,0.453,-0.326,0.664,4
35,0,54628,Lee Hodges,0.735,-0.624,0.480,0.879,4
36,0,52666,Sami Valimaki,0.733,0.139,1.119,-0.525,4
37,0,52514,Trace Crowe,0.726,-0.053,1.208,-0.430,4
38,0,37275,Sam Ryder,0.713,-0.190,0.561,0.342,4
39,0,30927,Brendon Todd,0.703,-0.095,0.253,0.545,4
40,0,52411,Kyle Westmoreland,0.700,0.330,-0.131,0.501,4
41,-29,46414,Aaron Rai,0.694,0.128,0.627,-0.061,4
42,0,34046,Jordan Spieth,0.648,0.821,0.511,-0.684,4
43,0,50095,Austin Smotherman,0.632,0.002,0.585,0.045,4
44,7,36801,Mark Hubbard,0.559,0.341,0.525,-0.307,4
45,0,30163,Henrik Norlander,0.538,0.097,1.125,-0.684,4
46,4,27214,Kevin Streelman,0.472,-0.033,0.607,-0.102,4
47,0,49960,Sepp Straka,0.431,0.328,-0.112,0.215,4
48,0,56149,Wilson Furr,0.415,0.003,0.998,-0.586,4
49,0,40058,Zac Blair,0.411,0.246,0.044,0.121,4
50,0,36871,Matt NeSmith,0.300,0.368,-0.160,0.093,4
51,-22,55893,Sam Stevens,0.023,0.428,-0.112,-0.293,4
52,5,36699,Patrick Rodgers,-0.021,0.311,-0.457,0.125,4
53,0,47663,Kevin Dougherty,-0.091,1.377,-1.690,0.222,4
54,0,50497,Adrien Dumont de Chassart,-0.092,-0.946,-0.035,0.889,4
55,0,36326,David Lipsky,-0.119,-0.265,-0.243,0.389,4
56,12,59836,Pierceson Coody,-0.121,0.273,-0.473,0.078,4
57,6,34021,Bud Cauley,-0.151,-0.322,0.152,0.019,4
58,-44,47420,Jake Knapp,-0.191,0.713,-0.285,-0.618,4
59,-40,36884,Ben Kohles,-0.199,0.142,0.382,-0.723,4
60,0,49771,J.T. Poston,-0.296,-0.084,-0.638,0.426,4
61,-22,51349,Nico Echavarria,-0.366,-0.178,-0.471,0.283,4
62,0,48119,Ben Taylor,-0.369,0.033,-0.938,0.536,4
63,-9,33486,Roger Sloan,-0.376,-0.804,1.295,-0.867,4
64,0,20229,Stewart Cink,-0.390,-0.234,-0.505,0.349,4
65,4,60767,Blaine Hale Jr.,-0.426,-0.425,0.390,-0.390,4
66,0,24924,Bill Haas,-0.451,-0.234,0.118,-0.335,4
67,0,32448,James Hahn,-0.548,0.357,-0.339,-0.565,4
68,-58,35461,Beau Hossler,-0.581,0.041,-1.251,0.629,4
69,3,57900,Chandler Phillips,-0.596,-0.614,-0.312,0.330,4
70,0,50188,S.H. Kim,-0.663,0.073,-1.090,0.354,4
71,0,32366,Kevin Chappell,-0.763,-0.215,0.122,-0.670,4
72,0,33968,Thorbjørn Olesen,-0.792,-0.177,-0.838,0.223,4
73,0,50493,Justin Suh,-0.859,-0.792,-0.282,0.216,4
74,0,29970,Dylan Frittelli,-0.954,-0.485,-0.902,0.433,4
75,0,23320,Ryan Palmer,-1.031,-0.149,-0.511,-0.370,4
76,-18,40162,Justin Lower,-1.252,-0.311,-1.065,0.124,4
77,0,24980,Scott Gutschewski,-1.282,-0.579,0.029,-0.732,4
