PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
66743,Luke Clanton,2024 John Deere Classic,0.48025,0.972,1.7,0.521
57364,Michael Thorbjornsen,2024 John Deere Classic,0.652,1.132,1.268,0.622
29908,C.T. Pan,2024 John Deere Classic,0.795,0.373,1.112,1.394
58168,Davis Thompson,2024 John Deere Classic,1.8595,0.806,0.676,1.333
39546,Keith Mitchell,2024 John Deere Classic,-0.33725,0.713,1.812,-0.014
27064,Jhonattan Vegas,2024 John Deere Classic,-0.521,1.238,0.683,0.524
52513,Carson Young,2024 John Deere Classic,1.08225,0.846,1.494,0.002
28252,Seamus Power,2024 John Deere Classic,0.272,0.336,1.517,0.299
39971,Sungjae Im,2024 John Deere Classic,0.5405,0.492,0.809,0.831
50484,Hayden Springer,2024 John Deere Classic,0.81675,1.152,0.351,0.604
47591,Eric Cole,2024 John Deere Classic,0.851,0.197,0.796,1.079
34587,Chan Kim,2024 John Deere Classic,0.68675,0.289,0.867,0.832
47993,Denny McCarthy,2024 John Deere Classic,0.94625,0.215,0.22,1.542
57975,Harry Hall,2024 John Deere Classic,0.743,0.061,0.397,1.472
39436,Joshua Creel,2024 John Deere Classic,-1.17175,-0.002,1.561,0.286
51977,Max Greyserman,2024 John Deere Classic,-0.40375,1.666,0.559,-0.397
39327,Ben Silverman,2024 John Deere Classic,0.55225,0.371,0.935,0.315
40115,Adam Svensson,2024 John Deere Classic,-0.93125,0.337,0.823,0.445
34076,Joel Dahmen,2024 John Deere Classic,-1.3575,0.737,1.404,-0.61
54591,Ben Griffin,2024 John Deere Classic,1.92775,-0.03,0.709,0.817
59143,Mac Meissner,2024 John Deere Classic,0.592,-0.251,1.176,0.407
45242,Kevin Yu,2024 John Deere Classic,0.65075,-0.008,1.27,0.01
52375,Doug Ghim,2024 John Deere Classic,-0.53925,0.563,1.504,-0.854
25900,Lucas Glover,2024 John Deere Classic,0.47275,-0.335,1.364,0.172
51997,Andrew Novak,2024 John Deere Classic,1.78125,0.676,0.842,-0.375
39324,J.J. Spaun,2024 John Deere Classic,0.544,-0.478,1.317,0.291
51696,Rico Hoey,2024 John Deere Classic,0.33375,0.886,0.357,-0.153
55708,Hayden Buckley,2024 John Deere Classic,-0.38225,0.641,0.27,0.145
34563,Chesson Hadley,2024 John Deere Classic,-0.12075,0.818,-0.087,0.313
51287,Ryo Hisatsune,2024 John Deere Classic,-1.053,0.423,0.335,0.218
46441,Robby Shelton,2024 John Deere Classic,-0.2805,-0.717,1.366,0.305
29535,Brice Garnett,2024 John Deere Classic,-0.17975,-0.176,1.16,-0.131
24024,Zach Johnson,2024 John Deere Classic,0.62675,-0.037,0.143,0.692
28089,Jason Day,2024 John Deere Classic,0.88225,0.453,-0.326,0.664
54628,Lee Hodges,2024 John Deere Classic,-2.061,-0.624,0.48,0.879
52666,Sami Valimaki,2024 John Deere Classic,1.9405,0.139,1.119,-0.525
52514,Trace Crowe,2024 John Deere Classic,-0.30225,-0.053,1.208,-0.43
37275,Sam Ryder,2024 John Deere Classic,-0.0395,-0.19,0.561,0.342
30927,Brendon Todd,2024 John Deere Classic,1.97075,-0.095,0.253,0.545
52411,Kyle Westmoreland,2024 John Deere Classic,-1.0265,0.33,-0.131,0.501
46414,Aaron Rai,2024 John Deere Classic,2.2295,0.128,0.627,-0.061
34046,Jordan Spieth,2024 John Deere Classic,0.776,0.821,0.511,-0.684
50095,Austin Smotherman,2024 John Deere Classic,-0.95825,0.002,0.585,0.045
36801,Mark Hubbard,2024 John Deere Classic,0.36475,0.341,0.525,-0.307
30163,Henrik Norlander,2024 John Deere Classic,-0.86425,0.097,1.125,-0.684
27214,Kevin Streelman,2024 John Deere Classic,-0.2985,-0.033,0.607,-0.102
49960,Sepp Straka,2024 John Deere Classic,-0.75775,0.328,-0.112,0.215
56149,Wilson Furr,2024 John Deere Classic,-0.991,0.003,0.998,-0.586
40058,Zac Blair,2024 John Deere Classic,-0.2375,0.246,0.044,0.121
36871,Matt NeSmith,2024 John Deere Classic,-1.37675,0.368,-0.16,0.093
55893,Sam Stevens,2024 John Deere Classic,0.65025,0.428,-0.112,-0.293
36699,Patrick Rodgers,2024 John Deere Classic,0.6945,0.311,-0.457,0.125
47663,Kevin Dougherty,2024 John Deere Classic,0.26475,1.377,-1.69,0.222
50497,Adrien Dumont de Chassart,2024 John Deere Classic,0.265,-0.946,-0.035,0.889
36326,David Lipsky,2024 John Deere Classic,-0.2075,-0.265,-0.243,0.389
59836,Pierceson Coody,2024 John Deere Classic,1.2945,0.273,-0.473,0.078
34021,Bud Cauley,2024 John Deere Classic,-0.176,-0.322,0.152,0.019
47420,Jake Knapp,2024 John Deere Classic,0.114,0.713,-0.285,-0.618
36884,Ben Kohles,2024 John Deere Classic,0.1225,0.142,0.382,-0.723
49771,J.T. Poston,2024 John Deere Classic,1.46925,-0.084,-0.638,0.426
51349,Nico Echavarria,2024 John Deere Classic,0.28925,-0.178,-0.471,0.283
48119,Ben Taylor,2024 John Deere Classic,0.54225,0.033,-0.938,0.536
33486,Roger Sloan,2024 John Deere Classic,0.0495,-0.804,1.295,-0.867
20229,Stewart Cink,2024 John Deere Classic,0.31375,-0.234,-0.505,0.349
60767,Blaine Hale Jr.,2024 John Deere Classic,0.349,-0.425,0.39,-0.39
24924,Bill Haas,2024 John Deere Classic,0.37425,-0.234,0.118,-0.335
32448,James Hahn,2024 John Deere Classic,0.4715,0.357,-0.339,-0.565
35461,Beau Hossler,2024 John Deere Classic,0.2545,0.041,-1.251,0.629
57900,Chandler Phillips,2024 John Deere Classic,1.01975,-0.614,-0.312,0.33
