PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
46414,Aaron Rai,2024 RBC Canadian Open,-0.77025,1.267,0.914,0.558
55182,Tom Kim,2024 RBC Canadian Open,0.74175,0.594,1.141,0.742
54591,Ben Griffin,2024 RBC Canadian Open,1.2965,0.262,1.752,0.409
27139,David Skinns,2024 RBC Canadian Open,-0.52625,0.803,0.989,0.453
45242,Kevin Yu,2024 RBC Canadian Open,-1.7065,0.461,1.323,0.391
55893,Sam Stevens,2024 RBC Canadian Open,-0.16075,1.294,0.346,0.49
47504,Sam Burns,2024 RBC Canadian Open,0.09925,0.8,1.014,0.305
39975,Michael Kim,2024 RBC Canadian Open,-0.00575,-0.047,1.385,0.637
39546,Keith Mitchell,2024 RBC Canadian Open,0.2935,0.869,0.544,0.513
28237,Rory McIlroy,2024 RBC Canadian Open,1.45675,0.468,0.95,0.345
51997,Andrew Novak,2024 RBC Canadian Open,0.3035,1.197,0.52,-0.052
51287,Ryo Hisatsune,2024 RBC Canadian Open,-0.9455,0.659,1.04,-0.034
48887,Matt Wallace,2024 RBC Canadian Open,-0.3145,0.122,1.393,0.018
46442,Maverick McNealy,2024 RBC Canadian Open,1.014,-0.086,0.608,0.932
52513,Carson Young,2024 RBC Canadian Open,0.53425,0.961,0.519,-0.045
30911,Tommy Fleetwood,2024 RBC Canadian Open,0.436,-0.354,1.368,0.27
39997,Corey Conners,2024 RBC Canadian Open,1.7305,-0.324,1.214,0.348
52215,Robert MacIntyre,2024 RBC Canadian Open,2.79825,0.267,0.178,0.725
47679,Victor Perez,2024 RBC Canadian Open,2.32725,-0.382,1.047,0.477
34076,Joel Dahmen,2024 RBC Canadian Open,1.09025,0.725,0.979,-0.575
29908,C.T. Pan,2024 RBC Canadian Open,-0.3915,-0.224,-0.043,1.378
60004,Jacob Bridgeman,2024 RBC Canadian Open,0.97225,-0.436,0.144,1.289
40115,Adam Svensson,2024 RBC Canadian Open,-0.767,0.856,-0.284,0.413
57900,Chandler Phillips,2024 RBC Canadian Open,1.2645,-0.307,1.23,0.032
