PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
46046,Scottie Scheffler,2024 THE PLAYERS Championship,0.307,1.619,1.582,0.77
32839,Hideki Matsuyama,2024 THE PLAYERS Championship,-0.51125,1.164,1.609,0.766
34076,Joel Dahmen,2024 THE PLAYERS Championship,-0.973,1.023,1.28,0.948
52955,Ludvig Åberg,2024 THE PLAYERS Championship,-0.3075,1.019,1.44,0.626
48081,Xander Schauffele,2024 THE PLAYERS Championship,1.26,0.769,1.385,0.614
36801,Mark Hubbard,2024 THE PLAYERS Championship,-1.604,0.092,2.06,0.48
27644,Brian Harman,2024 THE PLAYERS Championship,1.4125,0.22,2.252,0.143
51766,Wyndham Clark,2024 THE PLAYERS Championship,1.5245,0.468,1.396,0.639
28775,Nate Lashley,2024 THE PLAYERS Championship,-0.19025,-0.119,1.911,0.427
49960,Sepp Straka,2024 THE PLAYERS Championship,-0.325,0.359,1.13,0.614
35506,Mackenzie Hughes,2024 THE PLAYERS Championship,-0.81075,1.076,0.215,0.798
46442,Maverick McNealy,2024 THE PLAYERS Championship,0.6075,0.242,-0.296,1.974
29908,C.T. Pan,2024 THE PLAYERS Championship,-1.38725,0.055,1.427,0.433
37455,Si Woo Kim,2024 THE PLAYERS Championship,1.193,0.978,0.253,0.605
33204,Shane Lowry,2024 THE PLAYERS Championship,-0.285,0.732,1.412,-0.331
26596,Ryan Moore,2024 THE PLAYERS Championship,-1.47975,0.127,1.52,0.111
34099,Harris English,2024 THE PLAYERS Championship,-0.116,0.734,0.685,0.226
47347,Adam Schenk,2024 THE PLAYERS Championship,-0.10675,0.917,0.096,0.622
45522,Christiaan Bezuidenhout,2024 THE PLAYERS Championship,0.464,-0.267,1.744,0.087
39971,Sungjae Im,2024 THE PLAYERS Championship,-0.5075,1.092,-0.146,0.59
30926,Chris Kirk,2024 THE PLAYERS Championship,-0.1865,1.009,-0.36,0.815
40098,Matt Fitzpatrick,2024 THE PLAYERS Championship,1.82375,0.964,1.102,-0.611
39997,Corey Conners,2024 THE PLAYERS Championship,0.595,0.928,0.739,-0.235
36871,Matthew NeSmith,2024 THE PLAYERS Championship,-0.04425,0.829,0.482,0.012
27349,Alex Noren,2024 THE PLAYERS Championship,0.342,0.649,0.07,0.467
49947,Taylor Moore,2024 THE PLAYERS Championship,-0.095,0.42,0.425,0.278
48117,Kurt Kitayama,2024 THE PLAYERS Championship,0.42775,0.653,0.854,-0.406
57362,Austin Eckroat,2024 THE PLAYERS Championship,-0.797,0.751,0.735,-0.161
57366,Cameron Young,2024 THE PLAYERS Championship,-1.27875,-0.341,1.689,-0.291
54783,Dylan Wu,2024 THE PLAYERS Championship,0.5025,-0.286,1.012,0.3
52375,Doug Ghim,2024 THE PLAYERS Championship,0.76125,0.074,0.365,0.579
46414,Aaron Rai,2024 THE PLAYERS Championship,-0.21025,0.572,0.666,-0.249
48867,Matti Schmid,2024 THE PLAYERS Championship,0.4765,0.571,0.221,0.009
34256,Andrew Putnam,2024 THE PLAYERS Championship,-0.76225,-0.895,1.038,0.648
34213,Grayson Murray,2024 THE PLAYERS Championship,-0.231,0.105,0.785,-0.131
29535,Brice Garnett,2024 THE PLAYERS Championship,0.05425,0.937,-0.379,0.166
50525,Collin Morikawa,2024 THE PLAYERS Championship,-0.37925,0.778,-0.66,0.54
37275,Sam Ryder,2024 THE PLAYERS Championship,1.1385,0.542,0.099,-0.001
55789,Taylor Montgomery,2024 THE PLAYERS Championship,1.64975,-0.012,0.018,0.623
36326,David Lipsky,2024 THE PLAYERS Championship,-0.01675,-0.654,0.813,0.386
28237,Rory McIlroy,2024 THE PLAYERS Championship,1.024,-0.16,1.036,-0.372
51634,Sahith Theegala,2024 THE PLAYERS Championship,2.09925,0.34,0.959,-0.87
47504,Sam Burns,2024 THE PLAYERS Championship,-0.023,0.146,0.064,0.091
25493,Nick Taylor,2024 THE PLAYERS Championship,1.1285,-0.172,1.091,-0.77
31646,Emiliano Grillo,2024 THE PLAYERS Championship,-0.36075,0.144,-0.176,0.171
40058,Zac Blair,2024 THE PLAYERS Championship,-0.2885,-0.836,0.744,0.159
33413,Ben Martin,2024 THE PLAYERS Championship,1.02,-0.485,0.649,-0.156
52666,Sami Välimäki,2024 THE PLAYERS Championship,-0.22125,-0.12,-0.998,1.117
49771,J.T. Poston,2024 THE PLAYERS Championship,0.31525,-0.634,0.242,0.354
29725,Tony Finau,2024 THE PLAYERS Championship,0.31975,-0.769,0.499,0.229
28089,Jason Day,2024 THE PLAYERS Championship,0.83,-0.189,-0.444,0.582
51600,Jimmy Stanger,2024 THE PLAYERS Championship,0.8985,0.358,0.255,-0.734
54628,Lee Hodges,2024 THE PLAYERS Championship,0.95075,-0.124,0.145,-0.193
39546,Keith Mitchell,2024 THE PLAYERS Championship,-1.54175,0.104,0.121,-0.405
37378,Min Woo Lee,2024 THE PLAYERS Championship,-0.0145,0.835,-1.088,0.046
47993,Denny McCarthy,2024 THE PLAYERS Championship,0.99,-0.359,-0.08,0.228
31323,Gary Woodland,2024 THE PLAYERS Championship,-1.1625,0.211,-0.787,0.266
30911,Tommy Fleetwood,2024 THE PLAYERS Championship,1.09475,0.42,-0.835,0.098
34587,Chan Kim,2024 THE PLAYERS Championship,-0.86575,-0.078,-0.226,-0.052
45609,Tyler Duncan,2024 THE PLAYERS Championship,-0.204,0.784,-0.602,-0.7
28252,Séamus Power,2024 THE PLAYERS Championship,-0.0785,-0.805,0.454,-0.292
46717,Viktor Hovland,2024 THE PLAYERS Championship,0.202,0.862,0.189,-1.725
25198,Francesco Molinari,2024 THE PLAYERS Championship,0.48775,-0.142,-0.214,-0.353
47420,Jake Knapp,2024 THE PLAYERS Championship,1.0045,-0.611,-0.282,0.167
24502,Adam Scott,2024 THE PLAYERS Championship,1.0475,0.196,-1.526,0.56
35450,Patrick Cantlay,2024 THE PLAYERS Championship,-0.24425,0.242,-1.608,0.389
39977,Max Homa,2024 THE PLAYERS Championship,0.45725,-1.311,0.649,-0.518
27936,Martin Laird,2024 THE PLAYERS Championship,0.98575,-0.689,-1.094,0.575
39324,J.J. Spaun,2024 THE PLAYERS Championship,0.704,-0.831,-0.676,0.081
35532,Tom Hoge,2024 THE PLAYERS Championship,1.3115,-2.129,1.279,-0.683
32102,Rickie Fowler,2024 THE PLAYERS Championship,0.3125,-1.076,-0.883,0.425
34466,Peter Malnati,2024 THE PLAYERS Championship,0.4095,-0.985,0.032,-0.679
33653,Thomas Detry,2024 THE PLAYERS Championship,1.26425,0.1,-0.613,-1.223
