RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,24,52955,Ludvig Åberg,72.22%,52,72,-0.31
2,0,34046,Jordan Spieth,70.83%,51,72,-0.12
3,0,21209,Sergio Garcia,68.06%,49,72,-0.18
4,37,29725,Tony Finau,66.67%,48,72,-0.25
4,33,28237,Rory McIlroy,66.67%,48,72,-0.25
4,-3,46046,Scottie Scheffler,66.67%,48,72,-0.04
7,0,47959,Bryson DeChambeau,65.28%,47,72,-0.32
7,0,36689,Brooks Koepka,65.28%,47,72,-0.09
9,0,35450,Patrick Cantlay,63.89%,46,72,-0.26
9,0,51349,Nico Echavarria,63.89%,46,72,-0.22
9,0,63807,Neal Shipley,63.89%,46,72,-0.24
12,0,40026,Daniel Berger,62.50%,45,72,-0.18
13,12,39997,Corey Conners,61.11%,44,72,-0.34
13,0,34363,Tyrrell Hatton,61.11%,44,72,-0.18
13,-11,49960,Sepp Straka,61.11%,44,72,-0.11
13,12,58168,Davis Thompson,61.11%,44,72,-0.25
17,0,66743,Luke Clanton,59.72%,43,72,-0.26
17,-1,30911,Tommy Fleetwood,59.72%,43,72,-0.19
17,0,52453,Nicolai Højgaard,59.72%,43,72,-0.09
17,0,27408,Martin Kaymer,59.72%,43,72,-0.12
17,3,32839,Hideki Matsuyama,59.72%,43,72,-0.19
17,0,48153,Matthieu Pavon,59.72%,43,72,-0.30
17,28,40250,Taylor Pendrith,59.72%,43,72,-0.28
17,24,49771,J.T. Poston,59.72%,43,72,-0.12
17,0,46414,Aaron Rai,59.72%,43,72,-0.21
17,8,48081,Xander Schauffele,59.72%,43,72,-0.30
17,0,51890,Greyson Sigg,59.72%,43,72,-0.16
28,0,50823,Tom McKibbin,58.33%,42,72,-0.12
29,-25,31646,Emiliano Grillo,56.94%,41,72,-0.10
29,0,36884,Ben Kohles,56.94%,41,72,-0.27
29,0,37378,Min Woo Lee,56.94%,41,72,-0.20
29,-4,40115,Adam Svensson,56.94%,41,72,-0.02
29,-24,51634,Sahith Theegala,56.94%,41,72,-0.12
29,-4,57366,Cameron Young,56.94%,41,72,-0.07
35,0,40058,Zac Blair,55.56%,40,72,-0.15
35,0,65880,Gunnar Broin,55.56%,40,72,-0.18
35,-10,27644,Brian Harman,55.56%,40,72,-0.25
35,0,24502,Adam Scott,55.56%,40,72,-0.20
39,0,59652,Sam Bennett,54.17%,39,72,-0.21
39,-19,33141,Keegan Bradley,54.17%,39,72,-0.21
39,0,33974,Dean Burmester,54.17%,39,72,-0.13
39,9,33653,Thomas Detry,54.17%,39,72,-0.36
39,-33,57362,Austin Eckroat,54.17%,39,72,E
39,-19,55182,Tom Kim,54.17%,39,72,-0.33
39,-2,33204,Shane Lowry,54.17%,39,72,-0.21
39,-23,50525,Collin Morikawa,54.17%,39,72,-0.33
39,0,50474,Tim Widing,54.17%,39,72,-0.26
48,-28,40098,Matt Fitzpatrick,52.78%,38,72,-0.11
48,-23,34098,Russell Henley,52.78%,38,72,-0.39
48,-32,29420,Billy Horschel,52.78%,38,72,-0.21
48,0,36799,Stephan Jaeger,52.78%,38,72,-0.21
48,3,47993,Denny McCarthy,52.78%,38,72,-0.21
48,0,61193,David Puig,52.78%,38,72,-0.24
48,0,56781,Isaiah Salinda,52.78%,38,72,-0.21
48,0,35891,Cameron Smith,52.78%,38,72,-0.24
56,0,29936,Ryan Fox,51.39%,37,72,-0.27
56,0,51977,Max Greyserman,51.39%,37,72,-0.19
56,-42,37455,Si Woo Kim,51.39%,37,72,-0.16
56,-21,23108,Matt Kuchar,51.39%,37,72,-0.19
56,0,25198,Francesco Molinari,51.39%,37,72,-0.27
61,-55,45522,Christiaan Bezuidenhout,50.00%,36,72,-0.22
61,0,36801,Mark Hubbard,50.00%,36,72,-0.22
61,0,60019,Jackson Suber,50.00%,36,72,-0.19
61,0,52374,Brandon Wu,50.00%,36,72,-0.03
65,-40,47504,Sam Burns,48.61%,35,72,-0.31
65,0,46443,Brian Campbell,48.61%,35,72,-0.03
65,0,51766,Wyndham Clark,48.61%,35,72,-0.20
65,0,30926,Chris Kirk,48.61%,35,72,-0.34
69,-60,56630,Akshay Bhatia,47.22%,34,72,-0.26
69,0,40162,Justin Lower,47.22%,34,72,-0.21
71,0,34099,Harris English,45.83%,33,72,-0.27
71,0,50188,S.H. Kim,45.83%,33,72,-0.18
71,0,30927,Brendon Todd,45.83%,33,72,-0.12
74,0,49590,Frankie Capan III,43.06%,31,72,-0.32
