RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,51977,Max Greyserman,1.849,7.396,4
2,0,22371,Aaron Baddeley,1.811,7.244,4
3,0,32791,K.H. Lee,1.735,6.941,4
4,0,49947,Taylor Moore,1.590,6.361,4
5,0,52372,Cameron Champ,1.383,5.534,4
6,0,36884,Ben Kohles,1.300,5.200,4
7,0,50493,Justin Suh,1.267,5.067,4
8,0,35506,Mackenzie Hughes,1.255,5.022,4
9,0,27064,Jhonattan Vegas,1.245,4.979,4
10,0,51634,Sahith Theegala,1.162,4.647,4
11,0,54576,Patrick Fishburn,1.002,4.009,4
12,0,46442,Maverick McNealy,0.999,3.995,4
13,0,47504,Sam Burns,0.980,3.919,4
14,0,54783,Dylan Wu,0.976,3.906,4
15,0,29478,Kevin Kisner,0.848,3.394,4
16,0,34431,Robert Streb,0.838,3.351,4
17,0,31646,Emiliano Grillo,0.820,3.280,4
18,0,40250,Taylor Pendrith,0.816,3.265,4
19,0,27139,David Skinns,0.769,3.077,4
20,0,52514,Trace Crowe,0.749,2.996,4
21,0,39324,J.J. Spaun,0.688,2.754,4
22,0,35879,Kelly Kraft,0.650,2.600,4
23,0,39327,Ben Silverman,0.635,2.540,4
24,0,29725,Tony Finau,0.616,2.465,4
25,0,47983,Chad Ramey,0.600,2.399,4
26,0,48867,Matti Schmid,0.593,2.373,4
27,0,47995,Davis Riley,0.559,2.237,4
28,0,40162,Justin Lower,0.529,2.118,4
29,0,60004,Jacob Bridgeman,0.500,2.000,4
30,0,57975,Harry Hall,0.476,1.903,4
31,0,20229,Stewart Cink,0.436,1.746,4
32,0,29535,Brice Garnett,0.383,1.534,4
33,0,35310,Lanto Griffin,0.261,1.046,4
34,0,36871,Matt NeSmith,0.241,0.966,4
35,0,60067,Joe Highsmith,0.235,0.942,4
36,0,55893,Sam Stevens,0.217,0.867,4
37,0,32366,Kevin Chappell,0.190,0.761,4
38,0,45609,Tyler Duncan,0.185,0.739,4
39,0,24024,Zach Johnson,0.184,0.735,4
40,0,47347,Adam Schenk,0.165,0.659,4
41,0,34256,Andrew Putnam,0.120,0.480,4
42,0,59836,Pierceson Coody,0.099,0.397,4
43,0,39067,MJ Daffue,0.076,0.303,4
44,0,59095,Chris Gotterup,0.067,0.268,4
45,0,48887,Matt Wallace,0.021,0.084,4
46,0,47988,Nick Hardy,0.003,0.014,4
47,0,36699,Patrick Rodgers,-0.006,-0.025,4
48,0,51997,Andrew Novak,-0.012,-0.047,4
49,0,27214,Kevin Streelman,-0.020,-0.081,4
50,0,51696,Rico Hoey,-0.147,-0.589,4
51,0,34255,Joseph Bramlett,-0.164,-0.655,4
52,0,33141,Keegan Bradley,-0.181,-0.723,4
53,0,40115,Adam Svensson,-0.210,-0.841,4
54,0,46441,Robby Shelton,-0.227,-0.907,4
55,0,25818,Scott Piercy,-0.312,-1.249,4
56,0,48117,Kurt Kitayama,-0.325,-1.301,4
57,0,48084,Wesley Bryan,-0.350,-1.401,4
58,0,63807,Neal Shipley,-0.351,-1.404,4
59,0,28252,Seamus Power,-0.458,-1.831,4
60,0,45157,Cam Davis,-0.489,-1.955,4
60,0,46340,Alex Smalley,-0.489,-1.955,4
62,0,45242,Kevin Yu,-0.504,-2.017,4
63,0,23108,Matt Kuchar,-0.565,-2.259,4
64,0,39954,Cody Gribble,-0.572,-2.288,4
65,0,59143,Mac Meissner,-0.585,-2.340,4
66,0,52513,Carson Young,-0.587,-2.349,4
67,0,56630,Akshay Bhatia,-0.629,-2.515,4
68,0,50484,Hayden Springer,-0.677,-2.707,4
69,0,30163,Henrik Norlander,-0.697,-2.789,4
70,0,39546,Keith Mitchell,-0.844,-3.376,4
71,0,52375,Doug Ghim,-0.928,-3.711,4
72,0,50095,Austin Smotherman,-1.220,-4.879,4
73,0,31323,Gary Woodland,-1.286,-5.145,4
74,0,12716,Charley Hoffman,-1.355,-5.420,4
