RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,23108,Matt Kuchar,3.545,0.525,2.513,0.507,4
2,0,48117,Kurt Kitayama,2.806,0.766,1.819,0.221,4
3,0,30163,Henrik Norlander,2.678,0.559,1.900,0.219,4
4,0,46340,Alex Smalley,2.469,0.455,1.795,0.219,4
5,0,52375,Doug Ghim,2.408,1.039,1.158,0.211,4
6,0,31323,Gary Woodland,2.267,0.070,2.117,0.080,4
7,0,27064,Jhonattan Vegas,2.236,0.807,1.519,-0.091,4
8,0,45157,Cam Davis,2.219,0.819,0.868,0.532,4
9,0,36871,Matt NeSmith,1.989,0.709,0.836,0.444,4
10,0,46442,Maverick McNealy,1.982,0.329,0.353,1.300,4
11,0,40250,Taylor Pendrith,1.914,1.326,0.708,-0.120,4
12,0,34256,Andrew Putnam,1.611,-0.170,1.666,0.114,4
13,0,39324,J.J. Spaun,1.542,0.242,1.483,-0.183,4
14,0,51997,Andrew Novak,1.492,0.503,1.355,-0.365,4
15,0,54576,Patrick Fishburn,1.478,0.221,1.170,0.088,4
16,0,48887,Matt Wallace,1.460,0.171,0.950,0.338,4
17,0,50095,Austin Smotherman,1.450,-0.086,1.444,0.092,4
18,0,28252,Seamus Power,1.438,0.691,1.149,-0.402,4
19,0,48867,Matti Schmid,1.387,0.703,1.031,-0.347,4
20,0,51977,Max Greyserman,1.382,0.242,0.903,0.236,4
21,0,29725,Tony Finau,1.364,0.201,1.239,-0.076,4
22,0,12716,Charley Hoffman,1.336,0.028,1.919,-0.612,4
23,0,63807,Neal Shipley,1.332,0.661,1.056,-0.385,4
24,0,39546,Keith Mitchell,1.325,-0.770,1.157,0.938,4
25,0,51634,Sahith Theegala,1.319,0.969,-0.494,0.844,4
26,0,25818,Scott Piercy,1.293,0.628,0.576,0.089,4
27,0,60004,Jacob Bridgeman,1.231,0.148,0.459,0.623,4
28,0,40115,Adam Svensson,1.191,0.076,0.108,1.007,4
29,0,34255,Joseph Bramlett,1.144,0.655,-0.218,0.707,4
30,0,57975,Harry Hall,1.005,-0.070,0.408,0.667,4
31,0,47504,Sam Burns,1.001,0.226,0.428,0.347,4
32,0,36699,Patrick Rodgers,0.987,-0.083,0.624,0.445,4
33,0,47983,Chad Ramey,0.881,0.299,0.713,-0.132,4
34,0,29535,Brice Garnett,0.847,0.506,-0.894,1.234,4
35,0,52514,Trace Crowe,0.732,-1.113,1.425,0.419,4
36,0,27139,David Skinns,0.711,0.361,0.344,0.006,4
37,0,40162,Justin Lower,0.701,0.409,0.034,0.258,4
38,0,33141,Keegan Bradley,0.661,0.008,0.453,0.200,4
38,0,31646,Emiliano Grillo,0.661,0.477,-0.454,0.638,4
40,0,50484,Hayden Springer,0.657,0.795,0.096,-0.234,4
41,0,52372,Cameron Champ,0.597,0.874,0.124,-0.402,4
42,0,35879,Kelly Kraft,0.581,-0.288,0.972,-0.104,4
43,0,59143,Mac Meissner,0.566,0.165,1.013,-0.613,4
44,0,60067,Joe Highsmith,0.495,0.773,-0.512,0.234,4
44,0,32791,K.H. Lee,0.495,0.300,-0.049,0.244,4
46,0,47988,Nick Hardy,0.477,0.507,0.332,-0.362,4
47,0,35506,Mackenzie Hughes,0.475,0.088,-0.672,1.059,4
48,0,35310,Lanto Griffin,0.469,0.529,-0.002,-0.059,4
49,0,50493,Justin Suh,0.464,0.033,-0.204,0.635,4
50,0,39067,MJ Daffue,0.405,0.383,-0.622,0.644,4
51,0,49947,Taylor Moore,0.390,-0.129,0.126,0.393,4
52,0,29478,Kevin Kisner,0.382,-0.059,0.454,-0.013,4
53,0,56630,Akshay Bhatia,0.359,-0.847,0.581,0.626,4
54,0,36884,Ben Kohles,0.181,0.813,-0.590,-0.043,4
55,0,24024,Zach Johnson,0.047,0.088,-1.064,1.023,4
56,0,45609,Tyler Duncan,0.046,0.731,-0.701,0.016,4
57,0,20229,Stewart Cink,0.044,-0.141,0.719,-0.534,4
58,0,47995,Davis Riley,-0.079,-0.321,-0.723,0.965,4
59,0,59095,Chris Gotterup,-0.087,0.378,-0.204,-0.260,4
60,0,48084,Wesley Bryan,-0.169,-1.791,0.996,0.626,4
61,0,47347,Adam Schenk,-0.184,0.976,-1.415,0.255,4
62,0,27214,Kevin Streelman,-0.249,0.746,-0.889,-0.106,4
63,0,46441,Robby Shelton,-0.293,0.580,-1.163,0.291,4
64,0,34431,Robert Streb,-0.357,0.022,-0.197,-0.183,4
65,0,51696,Rico Hoey,-0.372,0.176,0.181,-0.730,4
66,0,39327,Ben Silverman,-0.405,-0.371,0.151,-0.184,4
67,0,52513,Carson Young,-0.432,1.004,-0.397,-1.039,4
68,0,55893,Sam Stevens,-0.486,0.131,-0.302,-0.316,4
69,0,32366,Kevin Chappell,-0.710,-0.553,-0.336,0.180,4
70,0,54783,Dylan Wu,-0.746,-0.822,-0.057,0.132,4
71,0,39954,Cody Gribble,-1.198,-0.606,-1.391,0.799,4
72,0,45242,Kevin Yu,-1.265,-0.450,-0.963,0.148,4
73,0,59836,Pierceson Coody,-1.369,0.217,-1.793,0.207,4
74,0,22371,Aaron Baddeley,-1.581,-2.104,0.588,-0.065,4
