RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,59,33141,Keegan Bradley,2.798,0.703,1.625,0.470,4
2,10,29725,Tony Finau,2.102,1.078,-0.110,1.134,4
3,25,24502,Adam Scott,1.681,-0.241,1.066,0.855,4
4,0,46717,Viktor Hovland,1.346,-0.057,1.156,0.246,4
5,45,45157,Cam Davis,1.316,-0.422,0.876,0.861,4
6,-5,30911,Tommy Fleetwood,1.016,0.721,0.343,-0.048,4
7,51,39971,Sungjae Im,1.004,0.623,0.232,0.150,4
8,59,37455,Si Woo Kim,0.993,-0.073,0.979,0.088,4
9,-4,48081,Xander Schauffele,0.984,1.060,-0.172,0.096,4
10,33,52955,Ludvig Åberg,0.979,0.565,-0.130,0.544,4
11,21,35532,Tom Hoge,0.971,-1.402,2.103,0.269,4
12,-4,29420,Billy Horschel,0.854,0.206,0.580,0.068,4
13,32,30926,Chris Kirk,0.841,0.615,-0.130,0.357,4
14,0,35450,Patrick Cantlay,0.549,0.190,-0.027,0.386,4
15,50,28237,Rory McIlroy,0.541,0.428,0.041,0.072,4
16,10,47504,Sam Burns,0.534,-0.059,0.515,0.078,4
17,22,34098,Russell Henley,0.511,0.225,-0.217,0.502,4
18,38,39997,Corey Conners,0.509,0.764,0.437,-0.692,4
19,18,27644,Brian Harman,0.327,0.300,0.613,-0.587,4
20,22,50525,Collin Morikawa,0.289,0.143,0.066,0.080,4
21,-11,33448,Justin Thomas,0.265,-0.424,0.348,0.341,4
22,-16,59866,Nick Dunlap,0.243,0.039,0.069,0.134,4
23,7,33204,Shane Lowry,0.237,-0.070,-0.054,0.361,4
24,-17,51766,Wyndham Clark,0.180,1.129,-0.843,-0.106,4
25,-9,47483,Will Zalatoris,0.124,-0.095,0.441,-0.222,4
26,10,27349,Alex Noren,0.120,0.431,-0.207,-0.105,4
27,2,40250,Taylor Pendrith,0.028,-0.013,-0.176,0.216,4
28,-4,33948,Byeong Hun An,-0.154,0.837,-0.636,-0.355,4
29,41,39977,Max Homa,-0.197,-2.180,1.601,0.382,4
30,1,58168,Davis Thompson,-0.269,-0.193,0.020,-0.096,4
31,9,49771,J.T. Poston,-0.318,-0.539,0.814,-0.593,4
32,-29,46046,Scottie Scheffler,-0.400,0.421,-0.832,0.011,4
33,13,48153,Matthieu Pavon,-0.554,0.551,-0.308,-0.798,4
34,1,47993,Denny McCarthy,-0.589,-0.476,0.150,-0.264,4
35,-33,46414,Aaron Rai,-0.784,0.332,-0.704,-0.412,4
36,20,49960,Sepp Straka,-0.826,-0.042,-0.440,-0.344,4
37,-10,28089,Jason Day,-0.980,-0.360,-0.507,-0.113,4
38,3,40098,Matt Fitzpatrick,-1.012,-0.202,-0.931,0.121,4
39,-19,45522,Christiaan Bezuidenhout,-1.127,-0.324,-0.249,-0.555,4
40,9,51634,Sahith Theegala,-1.186,-0.482,-0.505,-0.199,4
41,21,33399,Adam Hadwin,-1.237,-0.375,-1.014,0.152,4
42,2,33653,Thomas Detry,-1.249,-0.063,-0.400,-0.787,4
43,-21,57362,Austin Eckroat,-1.298,-0.672,0.492,-1.118,4
44,-23,47591,Eric Cole,-1.452,-1.107,0.225,-0.569,4
45,9,51977,Max Greyserman,-1.976,-0.194,-1.365,-0.417,4
46,7,36799,Stephan Jaeger,-2.080,-0.696,-1.040,-0.344,4
47,-13,56630,Akshay Bhatia,-2.102,-0.110,-2.100,0.108,4
48,7,57366,Cameron Young,-2.303,-0.775,-1.695,0.167,4
