RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,52462,Chase Hanna,1.618,6.471,4
2,0,54576,Patrick Fishburn,1.569,6.276,4
3,0,47983,Chad Ramey,1.531,6.124,4
4,0,47420,Jake Knapp,1.433,5.731,4
5,0,50188,S.H. Kim,1.406,5.624,4
6,0,59866,Nick Dunlap,1.354,5.417,4
7,0,32344,Lukas Nemecz,1.227,4.909,4
8,0,57737,Jayden Schaper,1.221,4.882,4
9,0,55509,Hurly Long,1.038,4.152,4
10,0,29289,S.Y. Noh,0.932,3.729,4
11,0,24140,Sean O'Hair,0.919,3.677,4
12,0,58359,Mitchell Schow,0.914,3.656,4
13,0,36801,Mark Hubbard,0.845,3.381,4
14,0,45194,Marcus Armitage,0.806,3.223,4
15,0,52372,Cameron Champ,0.789,3.155,4
16,0,27936,Martin Laird,0.779,3.114,4
17,0,51894,Vince Whaley,0.773,3.092,4
18,0,26476,Chez Reavie,0.717,2.869,4
19,0,36699,Patrick Rodgers,0.706,2.824,4
20,0,51696,Rico Hoey,0.671,2.683,4
21,0,28775,Nate Lashley,0.644,2.575,4
22,0,32366,Kevin Chappell,0.608,2.430,4
23,0,51151,Todd Clements,0.575,2.299,4
23,0,59143,Mac Meissner,0.575,2.301,4
25,31,55893,Sam Stevens,0.493,1.973,4
26,0,60369,Sam Bairstow,0.453,1.813,4
27,0,32627,Espen Kofstad,0.405,1.618,4
28,0,40250,Taylor Pendrith,0.328,1.310,4
29,0,50493,Justin Suh,0.252,1.006,4
30,0,28420,Ryan Brehm,0.217,0.866,4
31,0,34563,Chesson Hadley,0.212,0.849,4
32,0,32757,Patton Kizzire,0.199,0.796,4
33,-7,51977,Max Greyserman,0.180,0.718,4
34,0,37275,Sam Ryder,0.116,0.464,4
34,0,48929,Santiago Tarrio,0.116,0.464,4
36,0,25818,Scott Piercy,0.109,0.437,4
37,0,46340,Alex Smalley,0.065,0.260,4
38,0,48119,Ben Taylor,0.044,0.176,4
39,0,34371,Adrien Saddier,0.041,0.164,4
40,0,48867,Matti Schmid,0.031,0.122,4
41,0,39324,J.J. Spaun,-0.017,-0.070,4
42,0,39975,Michael Kim,-0.098,-0.393,4
42,0,30163,Henrik Norlander,-0.098,-0.391,4
44,0,48052,Max Rottluff,-0.117,-0.470,4
45,0,35310,Lanto Griffin,-0.145,-0.581,4
46,9,12716,Charley Hoffman,-0.165,-0.661,4
47,0,39067,MJ Daffue,-0.199,-0.795,4
48,0,31113,Paul Waring,-0.286,-1.143,4
49,0,34587,Chan Kim,-0.288,-1.153,4
50,0,57688,Casey Jarvis,-0.289,-1.158,4
51,0,55708,Hayden Buckley,-0.292,-1.168,4
52,0,34466,Peter Malnati,-0.319,-1.275,4
53,0,46441,Robby Shelton,-0.353,-1.414,4
54,0,57364,Michael Thorbjornsen,-0.373,-1.493,4
55,0,38991,Alejandro Tosti,-0.522,-2.090,4
56,0,39327,Ben Silverman,-0.530,-2.119,4
57,0,34256,Andrew Putnam,-0.567,-2.269,4
58,0,56762,Will Gordon,-0.620,-2.481,4
59,-39,30957,Max Kieffer,-0.638,-2.551,4
60,0,27506,Oliver Wilson,-0.760,-3.039,4
61,0,57593,Ian Gilligan,-0.857,-3.430,4
62,0,24980,Scott Gutschewski,-1.081,-4.326,4
63,0,34255,Joseph Bramlett,-1.201,-4.803,4
64,0,27095,Nick Watney,-1.285,-5.140,4
65,0,63807,Neal Shipley,-1.635,-6.539,4
