RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,7,25900,Lucas Glover,3.474,-0.102,3.375,0.201,4
2,0,48117,Kurt Kitayama,3.187,0.385,2.626,0.175,4
3,26,34255,Joseph Bramlett,2.562,1.019,0.786,0.757,4
4,2,35461,Beau Hossler,2.465,0.677,0.445,1.343,4
5,22,54628,Lee Hodges,2.329,0.689,1.542,0.098,4
6,43,36799,Stephan Jaeger,2.145,0.502,0.820,0.823,4
7,51,59141,Matt McCarty,2.135,0.932,0.538,0.666,4
8,7,52375,Doug Ghim,2.037,0.282,1.331,0.424,4
9,30,59143,Mac Meissner,2.015,0.357,1.841,-0.183,4
10,0,34076,Joel Dahmen,1.934,0.486,1.517,-0.069,4
11,0,39324,J.J. Spaun,1.718,0.901,0.504,0.312,4
12,40,54591,Ben Griffin,1.599,0.287,1.273,0.040,4
13,0,30926,Chris Kirk,1.509,0.168,1.336,0.005,4
14,0,40115,Adam Svensson,1.453,-0.370,1.474,0.349,4
15,-8,46340,Alex Smalley,1.433,0.617,0.698,0.117,4
16,-6,28252,Seamus Power,1.370,-0.488,1.455,0.403,4
17,0,48319,Tom Whitney,1.341,1.223,0.286,-0.169,4
18,0,51890,Greyson Sigg,1.318,0.150,0.235,0.933,4
19,0,51349,Nico Echavarria,1.279,-0.064,1.699,-0.356,4
19,42,51696,Rico Hoey,1.279,0.970,-0.034,0.343,4
21,-1,47988,Nick Hardy,1.234,0.578,0.672,-0.016,4
22,0,51950,Max McGreevy,1.176,0.891,-0.079,0.363,4
23,0,37275,Sam Ryder,1.087,0.408,0.688,-0.010,4
24,-19,40026,Daniel Berger,1.015,0.531,0.459,0.026,4
25,17,30163,Henrik Norlander,1.012,-0.067,1.192,-0.113,4
26,0,34099,Harris English,0.994,0.366,0.155,0.473,4
27,8,46601,Trey Mullinax,0.926,0.623,0.311,-0.008,4
28,-11,32791,K.H. Lee,0.908,0.636,-0.534,0.806,4
29,9,48084,Wesley Bryan,0.889,0.780,0.301,-0.192,4
30,-11,48867,Matti Schmid,0.857,1.244,0.301,-0.689,4
31,0,25493,Nick Taylor,0.815,0.529,0.027,0.260,4
32,0,60067,Joe Highsmith,0.791,-0.206,0.734,0.262,4
33,0,54328,Norman Xiong,0.780,0.067,1.147,-0.434,4
34,0,54813,Philip Knowles,0.761,0.652,-0.399,0.508,4
35,0,38991,Alejandro Tosti,0.633,1.476,-0.595,-0.249,4
36,-27,36884,Ben Kohles,0.561,0.092,0.857,-0.388,4
37,11,52513,Carson Young,0.560,0.457,0.121,-0.017,4
38,18,60004,Jacob Bridgeman,0.533,0.490,0.200,-0.157,4
39,0,51287,Ryo Hisatsune,0.527,-0.036,0.873,-0.310,4
40,-16,27214,Kevin Streelman,0.481,0.627,0.120,-0.266,4
41,-25,32757,Patton Kizzire,0.358,-0.171,0.053,0.476,4
42,0,56149,Wilson Furr,0.343,-0.342,0.120,0.565,4
43,0,36699,Patrick Rodgers,0.342,-0.173,-0.108,0.623,4
44,0,57975,Harry Hall,0.267,0.308,-0.155,0.113,4
45,0,50493,Justin Suh,0.252,0.681,-0.460,0.030,4
46,0,25818,Scott Piercy,0.241,0.444,0.398,-0.600,4
47,0,35310,Lanto Griffin,0.187,0.366,0.801,-0.980,4
48,-25,56762,Will Gordon,0.048,0.730,-0.393,-0.288,4
49,0,55454,Carl Yuan,-0.013,0.953,-1.014,0.048,4
50,0,40006,Erik van Rooyen,-0.057,-0.322,-0.369,0.634,4
51,-1,28775,Nate Lashley,-0.080,0.118,-0.539,0.340,4
52,0,32333,Kevin Tway,-0.151,0.533,-1.093,0.409,4
53,0,52372,Cameron Champ,-0.165,0.403,0.130,-0.698,4
54,0,40058,Zac Blair,-0.188,-0.836,0.777,-0.128,4
55,-14,52514,Trace Crowe,-0.193,-0.953,0.404,0.356,4
56,-35,34587,Chan Kim,-0.202,-0.729,0.164,0.362,4
57,-32,29936,Ryan Fox,-0.287,0.325,-0.972,0.360,4
58,0,45609,Tyler Duncan,-0.297,0.835,-0.794,-0.338,4
59,0,47983,Chad Ramey,-0.487,-0.591,0.292,-0.188,4
60,0,47806,Raul Pereda,-0.526,-0.474,-0.070,0.018,4
61,0,34310,Alexander Björk,-0.860,-0.777,0.416,-0.499,4
62,0,54783,Dylan Wu,-1.189,1.504,-2.178,-0.515,4
63,4,33486,Roger Sloan,-1.368,-0.695,-0.228,-0.445,4
64,-13,34563,Chesson Hadley,-1.436,-0.223,-1.106,-0.107,4
65,0,33408,Tyson Alexander,-1.519,-1.967,-0.081,0.529,4
66,0,34374,Erik Barnes,-1.537,0.013,-1.639,0.089,4
67,0,26476,Chez Reavie,-1.808,-0.252,-0.466,-1.089,4
68,-15,51894,Vince Whaley,-2.221,-1.503,-0.840,0.121,4
69,0,50188,S.H. Kim,-2.257,-0.534,-1.044,-0.678,4
