RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,32839,Hideki Matsuyama,2.050,8.201,4
2,0,47504,Sam Burns,1.783,7.131,4
3,55,47993,Denny McCarthy,1.706,6.823,4
4,5,30927,Brendon Todd,1.545,6.180,4
5,0,52215,Robert MacIntyre,1.345,5.379,4
6,0,56630,Akshay Bhatia,1.200,4.800,4
7,0,48081,Xander Schauffele,1.096,4.383,4
8,34,28252,Seamus Power,0.976,3.903,4
9,0,37455,Si Woo Kim,0.964,3.857,4
10,0,40098,Matt Fitzpatrick,0.920,3.681,4
11,0,59866,Nick Dunlap,0.887,3.546,4
12,0,46717,Viktor Hovland,0.828,3.312,4
13,0,51766,Wyndham Clark,0.724,2.895,4
14,0,50525,Collin Morikawa,0.680,2.718,4
15,-11,51977,Max Greyserman,0.617,2.468,4
16,1,39971,Sungjae Im,0.529,2.116,4
17,0,47483,Will Zalatoris,0.514,2.057,4
18,23,46442,Maverick McNealy,0.495,1.980,4
19,0,46046,Scottie Scheffler,0.476,1.904,4
20,0,35450,Patrick Cantlay,0.403,1.610,4
21,18,36699,Patrick Rodgers,0.375,1.499,4
22,0,34098,Russell Henley,0.374,1.494,4
22,-17,35506,Mackenzie Hughes,0.374,1.495,4
24,0,36799,Stephan Jaeger,0.330,1.321,4
25,0,24502,Adam Scott,0.306,1.223,4
26,0,27349,Alex Noren,0.293,1.173,4
27,29,33399,Adam Hadwin,0.274,1.095,4
28,-14,29420,Billy Horschel,0.271,1.084,4
29,0,45157,Cam Davis,0.262,1.046,4
30,0,34099,Harris English,0.222,0.889,4
31,0,47679,Victor Perez,0.149,0.595,4
32,0,49771,J.T. Poston,0.145,0.580,4
33,-23,57362,Austin Eckroat,0.141,0.562,4
34,-7,47591,Eric Cole,0.133,0.530,4
35,0,40250,Taylor Pendrith,0.111,0.444,4
36,0,28089,Jason Day,0.035,0.139,4
37,0,29725,Tony Finau,-0.026,-0.105,4
38,0,51634,Sahith Theegala,-0.055,-0.219,4
39,0,52955,Ludvig Åberg,-0.056,-0.224,4
40,0,39997,Corey Conners,-0.057,-0.229,4
41,0,48153,Matthieu Pavon,-0.126,-0.505,4
42,6,45522,Christiaan Bezuidenhout,-0.152,-0.607,4
43,1,54591,Ben Griffin,-0.177,-0.708,4
44,-15,58168,Davis Thompson,-0.208,-0.831,4
45,0,37378,Min Woo Lee,-0.232,-0.927,4
46,0,34466,Peter Malnati,-0.290,-1.159,4
47,0,33653,Thomas Detry,-0.303,-1.211,4
48,3,33141,Keegan Bradley,-0.333,-1.331,4
49,16,27064,Jhonattan Vegas,-0.402,-1.609,4
50,0,22405,Justin Rose,-0.424,-1.695,4
51,0,30926,Chris Kirk,-0.514,-2.057,4
52,0,33948,Byeong Hun An,-0.537,-2.148,4
53,0,34046,Jordan Spieth,-0.636,-2.544,4
54,0,35532,Tom Hoge,-0.656,-2.625,4
55,0,40006,Erik van Rooyen,-0.660,-2.639,4
56,-22,27644,Brian Harman,-0.684,-2.737,4
57,0,39977,Max Homa,-0.806,-3.226,4
58,0,49960,Sepp Straka,-0.807,-3.229,4
59,0,33448,Justin Thomas,-0.830,-3.322,4
60,0,57366,Cameron Young,-0.864,-3.457,4
61,0,25493,Nick Taylor,-0.943,-3.773,4
62,-13,31646,Emiliano Grillo,-1.051,-4.203,4
63,0,33204,Shane Lowry,-1.099,-4.397,4
64,-36,46414,Aaron Rai,-1.172,-4.687,4
65,0,47420,Jake Knapp,-1.257,-5.029,4
66,0,55182,Tom Kim,-1.323,-5.294,4
67,0,36801,Mark Hubbard,-1.415,-5.659,4
68,-18,49947,Taylor Moore,-1.484,-5.938,4
69,0,28237,Rory McIlroy,-1.958,-7.833,4
70,0,30911,Tommy Fleetwood,-1.994,-7.977,4
