RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,48,40058,Zac Blair,3.250,0.512,2.193,0.545,4
2,25,51696,Rico Hoey,2.563,0.469,0.636,1.458,4
3,11,57975,Harry Hall,2.498,-0.452,1.887,1.063,4
4,8,34587,Chan Kim,2.159,0.657,0.871,0.631,4
5,0,60369,Sam Bairstow,1.968,1.306,0.931,-0.269,4
6,0,48052,Max Rottluff,1.858,-0.489,2.300,0.047,4
7,14,59143,Mac Meissner,1.844,0.751,0.472,0.621,4
8,0,63807,Neal Shipley,1.808,0.537,0.895,0.375,4
9,0,29289,S.Y. Noh,1.760,0.428,0.397,0.934,4
10,45,36326,David Lipsky,1.657,-0.097,1.535,0.219,4
11,0,26476,Chez Reavie,1.625,-0.383,2.055,-0.046,4
12,31,50095,Austin Smotherman,1.538,0.446,1.285,-0.193,4
13,0,59827,Tom Vaillant,1.529,0.087,0.102,1.340,4
14,42,59836,Pierceson Coody,1.504,0.686,-0.363,1.180,4
15,0,47988,Nick Hardy,1.466,0.703,1.202,-0.439,4
16,0,35314,Andy Sullivan,1.433,1.303,0.463,-0.334,4
17,0,29939,Fabrizio Zanotti,1.403,0.764,0.329,0.309,4
18,0,64594,Angel Hidalgo Portillo,1.381,0.611,0.921,-0.151,4
19,0,57330,Matthis Besard,1.347,0.500,0.587,0.260,4
20,0,39954,Cody Gribble,1.322,0.285,0.522,0.515,4
21,0,30756,Andrea Pavan,1.250,-0.027,1.276,0.001,4
22,0,34371,Adrien Saddier,1.124,0.372,0.928,-0.176,4
23,0,48699,Callum Tarren,1.100,0.515,-0.002,0.586,4
24,0,35310,Lanto Griffin,1.066,0.691,0.396,-0.021,4
24,38,48119,Ben Taylor,1.066,0.585,0.236,0.245,4
26,-25,66743,Luke Clanton,1.016,1.614,-0.014,-0.584,4
27,18,30163,Henrik Norlander,1.015,0.568,-0.151,0.598,4
28,22,36871,Matt NeSmith,0.988,-0.407,1.921,-0.527,4
29,0,52374,Brandon Wu,0.913,-0.701,1.427,0.187,4
30,0,32757,Patton Kizzire,0.903,0.302,0.376,0.224,4
31,0,47983,Chad Ramey,0.857,-0.107,1.274,-0.310,4
32,0,32344,Lukas Nemecz,0.849,0.183,0.507,0.159,4
33,0,54783,Dylan Wu,0.802,0.003,0.494,0.304,4
34,0,48640,Johannes Veerman,0.773,0.861,-0.460,0.372,4
35,-18,39327,Ben Silverman,0.740,0.935,-0.465,0.269,4
36,0,55420,Cooper Musselman,0.733,0.723,0.195,-0.186,4
37,0,31202,William McGirt,0.731,-0.011,0.310,0.431,4
38,0,33122,Russell Knox,0.629,-0.676,0.646,0.658,4
39,-1,37275,Sam Ryder,0.549,-0.102,0.588,0.064,4
40,0,55074,Sebastian Friedrichsen,0.503,-0.277,0.682,0.097,4
41,0,59077,Spencer Cross,0.499,0.027,0.272,0.200,4
42,0,46594,Ricardo Gouveia,0.456,0.850,0.210,-0.604,4
43,0,24925,Jonathan Byrd,0.386,0.094,0.216,0.076,4
44,-18,39324,J.J. Spaun,0.382,-0.644,1.044,-0.018,4
45,-35,50484,Hayden Springer,0.327,0.025,0.664,-0.362,4
46,0,54576,Patrick Fishburn,0.312,1.091,-0.503,-0.277,4
47,0,37446,Jacques Kruyswijk,0.306,0.472,-0.406,0.239,4
48,0,26596,Ryan Moore,0.292,0.202,-0.067,0.156,4
49,0,39067,MJ Daffue,0.239,-0.244,0.466,0.017,4
50,0,22371,Aaron Baddeley,0.219,-0.344,0.290,0.273,4
51,0,32640,Troy Merritt,0.191,-0.488,0.971,-0.292,4
52,0,32333,Kevin Tway,0.089,0.420,0.032,-0.364,4
53,0,46340,Alex Smalley,-0.003,0.120,-0.253,0.129,4
54,16,50188,S.H. Kim,-0.091,0.021,-0.106,-0.006,4
55,0,55940,Andrew Wilson,-0.189,-0.071,-0.205,0.087,4
56,7,33486,Roger Sloan,-0.251,-0.593,0.708,-0.366,4
57,0,27649,Brandt Snedeker,-0.329,-0.964,0.057,0.578,4
58,0,34607,Francesco Laporta,-0.385,0.759,-0.145,-0.998,4
59,0,46113,Ryan McCormick,-0.601,-0.918,0.610,-0.292,4
60,11,32366,Kevin Chappell,-0.632,0.528,-0.768,-0.392,4
61,0,46404,Marcus Kinhult,-0.739,0.195,-0.778,-0.157,4
62,0,54421,Garrick Higgo,-0.878,0.232,-0.606,-0.504,4
63,3,24924,Bill Haas,-1.203,-1.076,-0.499,0.372,4
64,-36,55708,Hayden Buckley,-1.294,-0.436,-0.619,-0.239,4
65,0,29478,Kevin Kisner,-1.409,-1.153,-0.251,-0.005,4
66,0,37212,Paul Barjon,-1.459,0.702,-1.417,-0.744,4
67,0,32448,James Hahn,-1.566,-0.412,-0.797,-0.357,4
