RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,39327,Ben Silverman,2.481,9.924,4
2,0,30163,Henrik Norlander,1.821,7.284,4
3,0,35617,Martin Trainer,1.664,6.658,4
4,0,22371,Aaron Baddeley,1.479,5.918,4
5,0,32448,James Hahn,1.434,5.738,4
6,0,56149,Wilson Furr,1.362,5.447,4
7,0,52666,Sami Valimaki,1.340,5.361,4
8,0,52514,Trace Crowe,1.325,5.301,4
9,0,52372,Cameron Champ,1.307,5.230,4
10,0,46113,Ryan McCormick,1.281,5.126,4
11,0,34587,Chan Kim,1.249,4.998,4
12,0,46442,Maverick McNealy,1.068,4.271,4
13,0,36799,Stephan Jaeger,1.056,4.223,4
14,0,47983,Chad Ramey,1.007,4.029,4
15,0,58168,Davis Thompson,0.913,3.653,4
16,0,52374,Brandon Wu,0.811,3.244,4
17,0,47420,Jake Knapp,0.800,3.201,4
18,0,40162,Justin Lower,0.732,2.930,4
19,0,29908,C.T. Pan,0.711,2.846,4
20,0,32367,Jorge Campillo,0.673,2.694,4
21,0,51349,Nico Echavarria,0.555,2.220,4
22,0,46368,Stuart Macdonald,0.507,2.030,4
23,-10,31646,Emiliano Grillo,0.456,1.823,4
24,0,52513,Carson Young,0.453,1.814,4
25,0,59442,Parker Coody,0.428,1.711,4
26,0,51890,Greyson Sigg,0.349,1.395,4
27,0,54783,Dylan Wu,0.338,1.351,4
28,0,54421,Garrick Higgo,0.318,1.273,4
29,0,40006,Erik van Rooyen,0.305,1.220,4
30,0,36801,Mark Hubbard,0.280,1.119,4
30,0,39262,Alvaro Ortiz,0.280,1.119,4
32,0,36699,Patrick Rodgers,0.267,1.070,4
33,0,34255,Joseph Bramlett,0.251,1.005,4
33,0,48887,Matt Wallace,0.251,1.004,4
35,0,61520,Santiago De la Fuente,0.157,0.629,4
36,0,32070,Rafael Campos,0.127,0.510,4
37,0,51287,Ryo Hisatsune,0.117,0.467,4
38,0,52215,Robert MacIntyre,0.108,0.433,4
39,0,39067,MJ Daffue,0.102,0.407,4
40,7,29725,Tony Finau,0.069,0.277,4
41,0,50095,Austin Smotherman,0.057,0.228,4
42,0,33968,Thorbjørn Olesen,0.053,0.213,4
43,0,46441,Robby Shelton,0.021,0.083,4
44,0,52375,Doug Ghim,-0.022,-0.086,4
45,0,57900,Chandler Phillips,-0.163,-0.651,4
46,0,47663,Kevin Dougherty,-0.170,-0.680,4
47,0,35310,Lanto Griffin,-0.195,-0.781,4
48,0,34563,Chesson Hadley,-0.245,-0.978,4
49,0,50484,Hayden Springer,-0.274,-1.095,4
50,0,20766,Padraig Harrington,-0.306,-1.223,4
51,0,57975,Harry Hall,-0.361,-1.442,4
52,0,23320,Ryan Palmer,-0.474,-1.896,4
53,0,46414,Aaron Rai,-0.487,-1.948,4
54,0,47679,Victor Perez,-0.518,-2.072,4
55,-26,52453,Nicolai Højgaard,-0.575,-2.301,4
56,0,51600,Jimmy Stanger,-0.578,-2.313,4
57,0,39859,Cristobal Del Solar,-0.610,-2.438,4
58,0,32640,Troy Merritt,-0.662,-2.647,4
59,0,26596,Ryan Moore,-0.751,-3.003,4
60,0,39546,Keith Mitchell,-0.778,-3.110,4
61,0,51997,Andrew Novak,-0.779,-3.117,4
62,0,27064,Jhonattan Vegas,-0.839,-3.355,4
63,0,34374,Erik Barnes,-1.097,-4.386,4
64,0,57362,Austin Eckroat,-1.187,-4.748,4
65,0,55454,Carl Yuan,-1.193,-4.772,4
