RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,47420,Jake Knapp,2.849,0.692,2.177,-0.021,4
2,0,51997,Andrew Novak,2.678,0.052,1.338,1.288,4
3,0,39546,Keith Mitchell,2.177,0.682,2.015,-0.520,4
4,0,52215,Robert MacIntyre,2.041,1.036,0.870,0.135,4
5,0,52375,Doug Ghim,1.921,0.278,1.497,0.145,4
6,0,46414,Aaron Rai,1.886,0.570,1.579,-0.263,4
7,0,36699,Patrick Rodgers,1.882,1.317,-0.024,0.588,4
8,0,57362,Austin Eckroat,1.836,-0.576,1.355,1.057,4
9,0,52666,Sami Valimaki,1.809,0.479,0.992,0.338,4
10,0,29908,C.T. Pan,1.688,0.539,0.048,1.100,4
11,0,40162,Justin Lower,1.667,0.316,0.966,0.384,4
12,0,40006,Erik van Rooyen,1.594,0.883,0.916,-0.205,4
13,-3,29725,Tony Finau,1.580,0.216,1.230,0.134,4
14,0,52513,Carson Young,1.446,0.803,0.473,0.169,4
15,0,34563,Chesson Hadley,1.394,0.279,0.110,1.004,4
16,0,39262,Alvaro Ortiz,1.369,0.439,1.090,-0.160,4
17,0,36799,Stephan Jaeger,1.343,0.358,0.400,0.585,4
18,0,57900,Chandler Phillips,1.312,-0.357,1.155,0.514,4
19,0,57975,Harry Hall,1.260,-0.603,1.101,0.761,4
20,0,51600,Jimmy Stanger,1.227,1.752,-0.327,-0.197,4
21,0,55454,Carl Yuan,1.092,0.606,0.410,0.077,4
22,0,51890,Greyson Sigg,1.050,0.309,0.854,-0.112,4
23,0,50484,Hayden Springer,0.923,0.949,0.557,-0.583,4
24,0,52374,Brandon Wu,0.838,0.243,0.370,0.225,4
25,0,47663,Kevin Dougherty,0.819,0.971,0.359,-0.511,4
26,0,54783,Dylan Wu,0.811,0.358,0.279,0.174,4
27,0,39859,Cristobal Del Solar,0.759,0.526,0.102,0.131,4
28,0,34374,Erik Barnes,0.746,-0.327,0.674,0.399,4
29,0,32367,Jorge Campillo,0.726,-0.301,0.449,0.578,4
30,0,59442,Parker Coody,0.721,-0.420,0.707,0.435,4
31,0,34587,Chan Kim,0.650,0.045,0.529,0.076,4
32,0,48887,Matt Wallace,0.648,0.178,0.176,0.294,4
33,0,46368,Stuart Macdonald,0.642,-0.593,0.835,0.400,4
34,0,51349,Nico Echavarria,0.594,0.342,0.485,-0.233,4
35,0,46442,Maverick McNealy,0.581,0.904,-0.536,0.214,4
36,0,32070,Rafael Campos,0.522,0.845,0.319,-0.642,4
37,7,52453,Nicolai Højgaard,0.474,0.777,0.067,-0.370,4
38,13,31646,Emiliano Grillo,0.443,0.497,0.531,-0.584,4
39,0,47679,Victor Perez,0.417,0.276,0.609,-0.468,4
40,0,34255,Joseph Bramlett,0.398,0.257,0.619,-0.479,4
41,0,23320,Ryan Palmer,0.373,0.192,-0.035,0.217,4
42,0,33968,Thorbjørn Olesen,0.346,-0.928,0.653,0.620,4
43,0,35310,Lanto Griffin,0.344,0.002,1.136,-0.793,4
44,0,32640,Troy Merritt,0.311,0.410,-1.118,1.019,4
45,0,61520,Santiago De la Fuente,0.242,0.259,-0.718,0.701,4
46,0,58168,Davis Thompson,0.236,0.086,0.407,-0.257,4
47,0,20766,Padraig Harrington,0.205,-0.267,0.358,0.113,4
48,0,51287,Ryo Hisatsune,0.032,-0.405,0.306,0.131,4
49,0,27064,Jhonattan Vegas,-0.012,-0.302,0.851,-0.561,4
50,0,26596,Ryan Moore,-0.100,0.064,0.543,-0.707,4
51,0,47983,Chad Ramey,-0.108,-0.973,-0.818,1.682,4
52,0,36801,Mark Hubbard,-0.131,-0.330,-0.426,0.625,4
53,0,50095,Austin Smotherman,-0.158,-0.776,0.206,0.412,4
54,0,52372,Cameron Champ,-0.159,0.607,-0.392,-0.373,4
55,0,30163,Henrik Norlander,-0.172,-0.714,0.510,0.032,4
56,0,35617,Martin Trainer,-0.266,-0.648,-0.388,0.771,4
57,0,22371,Aaron Baddeley,-0.331,-1.028,0.388,0.309,4
58,0,32448,James Hahn,-0.536,-0.106,0.140,-0.569,4
59,0,46113,Ryan McCormick,-0.633,-0.007,-0.301,-0.324,4
60,0,56149,Wilson Furr,-0.713,-0.728,-1.471,1.486,4
61,0,39327,Ben Silverman,-0.832,0.313,-1.278,0.133,4
62,0,46441,Robby Shelton,-0.872,-0.233,-1.133,0.494,4
63,0,54421,Garrick Higgo,-1.169,-0.067,-1.408,0.306,4
64,0,52514,Trace Crowe,-2.176,-0.170,-0.920,-1.087,4
65,0,39067,MJ Daffue,-2.703,0.141,-0.626,-2.218,4
