RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,58168,Davis Thompson,2.466,0.712,1.365,0.389,4
2,27,59095,Chris Gotterup,2.380,0.022,1.463,0.894,4
3,0,51890,Greyson Sigg,2.248,0.136,1.943,0.168,4
4,0,54576,Patrick Fishburn,2.146,0.691,1.227,0.228,4
5,36,25818,Scott Piercy,1.990,-0.193,1.800,0.383,4
6,0,34255,Joseph Bramlett,1.963,0.993,0.923,0.047,4
7,0,34587,Chan Kim,1.870,0.522,0.394,0.955,4
8,0,45242,Kevin Yu,1.708,1.304,-0.094,0.498,4
9,24,32757,Patton Kizzire,1.508,0.521,1.867,-0.880,4
10,0,59143,Mac Meissner,1.408,-0.239,1.477,0.170,4
11,0,37275,Sam Ryder,1.353,0.156,1.023,0.174,4
12,0,52215,Robert MacIntyre,1.304,0.798,0.507,-0.001,4
13,38,46113,Ryan McCormick,1.224,-0.178,1.325,0.077,4
14,31,54783,Dylan Wu,1.214,-0.284,0.951,0.546,4
15,0,29936,Ryan Fox,1.172,0.820,0.612,-0.260,4
16,39,55893,Sam Stevens,1.139,1.310,-0.392,0.221,4
17,36,27139,David Skinns,1.109,0.139,0.981,-0.011,4
18,-9,46340,Alex Smalley,1.062,0.643,0.278,0.142,4
19,0,47125,Matt Atkins,1.053,0.552,0.536,-0.035,4
20,0,66417,Blades Brown,1.051,0.420,0.497,0.134,4
21,-8,32367,Jorge Campillo,0.981,0.004,1.070,-0.093,4
22,36,30163,Henrik Norlander,0.979,-0.160,0.303,0.836,4
23,38,35461,Beau Hossler,0.883,0.558,-0.741,1.066,4
24,0,27214,Kevin Streelman,0.861,0.061,0.767,0.032,4
25,0,40006,Erik van Rooyen,0.841,0.366,0.470,0.005,4
26,-9,40026,Daniel Berger,0.831,0.073,1.331,-0.573,4
27,9,51997,Andrew Novak,0.809,0.537,-0.378,0.650,4
28,0,39324,J.J. Spaun,0.724,0.270,0.284,0.171,4
29,-28,48887,Matt Wallace,0.691,0.107,-0.270,0.854,4
30,0,26476,Chez Reavie,0.673,-0.461,0.731,0.403,4
31,0,51680,Alistair Docherty,0.661,0.849,0.138,-0.326,4
32,-12,54591,Ben Griffin,0.631,0.195,0.835,-0.400,4
33,32,29289,S.Y. Noh,0.588,-0.919,0.946,0.560,4
34,0,33968,Thorbjørn Olesen,0.576,-0.204,0.506,0.273,4
35,0,46441,Robby Shelton,0.526,0.020,-0.130,0.635,4
36,0,52514,Trace Crowe,0.502,0.797,-0.099,-0.196,4
37,0,39327,Ben Silverman,0.501,0.457,0.304,-0.260,4
38,0,45523,Thriston Lawrence,0.493,0.342,0.435,-0.284,4
39,-13,50188,S.H. Kim,0.468,0.107,-0.687,1.049,4
40,0,57900,Chandler Phillips,0.415,-0.196,0.668,-0.057,4
41,0,57975,Harry Hall,0.391,0.432,0.230,-0.270,4
42,0,39975,Michael Kim,0.351,0.235,0.117,-0.001,4
43,0,47679,Victor Perez,0.257,0.630,-0.563,0.191,4
44,0,51977,Max Greyserman,0.137,-0.266,0.778,-0.375,4
45,0,35310,Lanto Griffin,0.133,0.042,-0.276,0.367,4
46,0,34563,Chesson Hadley,0.032,0.324,-0.673,0.381,4
47,0,59442,Parker Coody,0.006,-0.174,0.682,-0.502,4
48,0,33597,Harry Higgs,-0.023,0.352,-0.265,-0.110,4
49,0,36871,Matt NeSmith,-0.097,-0.191,-0.916,1.011,4
50,0,50095,Austin Smotherman,-0.104,0.018,-0.283,0.160,4
51,0,59836,Pierceson Coody,-0.107,0.423,-0.168,-0.361,4
52,0,55454,Carl Yuan,-0.140,-0.179,0.553,-0.514,4
53,-14,55708,Hayden Buckley,-0.226,0.403,-0.849,0.220,4
54,-22,50497,Adrien Dumont de Chassart,-0.306,-0.801,-0.195,0.690,4
55,-34,52513,Carson Young,-0.374,0.488,-0.505,-0.357,4
56,0,34310,Alexander Björk,-0.427,-0.645,-0.093,0.311,4
57,0,37338,Zecheng Dou,-0.441,0.204,0.238,-0.882,4
58,0,60004,Jacob Bridgeman,-0.515,0.027,-0.196,-0.346,4
59,-22,32640,Troy Merritt,-0.522,-0.094,-0.427,0.000,4
60,0,38991,Alejandro Tosti,-0.536,-0.024,-0.567,0.056,4
61,0,33486,Roger Sloan,-0.593,-0.397,-1.376,1.181,4
62,0,24140,Sean O'Hair,-0.606,-0.250,-0.775,0.419,4
63,0,50493,Justin Suh,-0.817,0.262,-0.682,-0.397,4
64,-22,47995,Davis Riley,-0.998,-0.236,-0.695,-0.067,4
65,0,35617,Martin Trainer,-1.094,-0.663,0.369,-0.800,4
66,0,51690,Taylor Dickson,-1.148,-1.296,0.545,-0.397,4
67,0,37212,Paul Barjon,-1.150,-0.267,0.223,-1.106,4
68,0,49303,Anders Albertson,-1.232,-0.682,-0.786,0.235,4
69,0,31202,William McGirt,-1.487,-0.062,-1.491,0.066,4
70,-27,34076,Joel Dahmen,-1.749,-0.603,-0.894,-0.251,4
