RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,32757,Patton Kizzire,2.239,8.957,4
2,0,39327,Ben Silverman,2.168,8.673,4
3,0,32333,Kevin Tway,1.958,7.831,4
4,0,57900,Chandler Phillips,1.790,7.159,4
5,0,36326,David Lipsky,1.717,6.869,4
6,0,32070,Rafael Campos,1.664,6.657,4
7,0,40058,Zac Blair,1.612,6.448,4
8,0,40162,Justin Lower,1.491,5.965,4
9,0,48084,Wesley Bryan,1.388,5.553,4
10,0,27649,Brandt Snedeker,1.298,5.194,4
11,0,50095,Austin Smotherman,1.265,5.061,4
12,0,35532,Tom Hoge,1.250,5.002,4
13,0,40115,Adam Svensson,1.245,4.979,4
14,0,54421,Garrick Higgo,1.115,4.459,4
15,0,34563,Chesson Hadley,1.113,4.452,4
16,0,52374,Brandon Wu,1.096,4.383,4
17,0,34021,Bud Cauley,1.041,4.163,4
18,0,28259,Sangmoon Bae,0.977,3.908,4
19,0,56149,Wilson Furr,0.926,3.705,4
20,0,54576,Patrick Fishburn,0.916,3.664,4
21,0,25900,Lucas Glover,0.912,3.650,4
22,0,27139,David Skinns,0.853,3.414,4
23,0,27141,J.B. Holmes,0.840,3.362,4
24,0,22371,Aaron Baddeley,0.744,2.976,4
25,0,57364,Michael Thorbjornsen,0.652,2.609,4
26,0,12716,Charley Hoffman,0.627,2.507,4
27,0,27936,Martin Laird,0.548,2.192,4
28,0,35506,Mackenzie Hughes,0.386,1.544,4
29,0,27064,Jhonattan Vegas,0.376,1.503,4
30,0,30927,Brendon Todd,0.345,1.381,4
31,0,51634,Sahith Theegala,0.344,1.376,4
32,0,26476,Chez Reavie,0.325,1.299,4
33,0,47983,Chad Ramey,0.278,1.113,4
34,0,23108,Matt Kuchar,0.277,1.110,4
35,0,63454,Johnny Keefer,0.219,0.875,4
36,0,39997,Corey Conners,0.202,0.808,4
37,0,51890,Greyson Sigg,0.185,0.741,4
38,0,63807,Neal Shipley,0.183,0.734,4
38,0,39324,J.J. Spaun,0.183,0.731,4
40,0,39546,Keith Mitchell,0.170,0.679,4
41,0,48319,Tom Whitney,0.062,0.247,4
42,0,12195,Tom Johnson,0.016,0.063,4
43,0,55893,Sam Stevens,-0.047,-0.187,4
44,0,29221,Webb Simpson,-0.059,-0.235,4
45,0,37378,Min Woo Lee,-0.073,-0.292,4
46,0,47988,Nick Hardy,-0.130,-0.519,4
47,0,48867,Matti Schmid,-0.146,-0.585,4
48,0,32366,Kevin Chappell,-0.152,-0.608,4
49,0,36699,Patrick Rodgers,-0.186,-0.742,4
50,0,33486,Roger Sloan,-0.230,-0.918,4
51,0,60067,Joe Highsmith,-0.266,-1.063,4
52,0,51696,Rico Hoey,-0.280,-1.121,4
53,0,50493,Justin Suh,-0.338,-1.350,4
54,0,34587,Chan Kim,-0.408,-1.630,4
55,0,66743,Luke Clanton,-0.419,-1.674,4
56,0,52375,Doug Ghim,-0.458,-1.830,4
57,0,34256,Andrew Putnam,-0.696,-2.784,4
58,0,59836,Pierceson Coody,-0.807,-3.227,4
59,0,47663,Kevin Dougherty,-0.855,-3.418,4
60,0,27330,Josh Teater,-0.906,-3.624,4
61,0,35310,Lanto Griffin,-0.991,-3.965,4
62,0,60767,Blaine Hale Jr.,-1.056,-4.224,4
63,0,34076,Joel Dahmen,-1.199,-4.796,4
64,0,36884,Ben Kohles,-1.455,-5.821,4
65,0,30163,Henrik Norlander,-1.475,-5.901,4
