RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,51890,Greyson Sigg,2.317,0.331,1.059,0.927,4
2,0,35506,Mackenzie Hughes,2.116,0.164,1.560,0.392,4
3,0,39997,Corey Conners,2.050,1.212,0.672,0.166,4
4,0,32757,Patton Kizzire,2.013,0.245,0.861,0.907,4
5,0,51634,Sahith Theegala,1.908,0.749,0.530,0.629,4
6,0,54576,Patrick Fishburn,1.836,0.786,0.329,0.722,4
7,0,60767,Blaine Hale Jr.,1.808,0.079,1.649,0.080,4
8,0,60067,Joe Highsmith,1.768,0.502,1.134,0.132,4
9,0,34587,Chan Kim,1.660,0.400,0.615,0.644,4
10,0,39546,Keith Mitchell,1.582,1.113,0.335,0.134,4
11,0,32366,Kevin Chappell,1.404,0.335,0.374,0.695,4
12,0,63807,Neal Shipley,1.319,0.551,0.271,0.497,4
13,0,36326,David Lipsky,1.285,-0.339,1.380,0.244,4
14,0,63454,Johnny Keefer,1.283,0.411,1.221,-0.349,4
15,0,23108,Matt Kuchar,1.225,-0.035,1.328,-0.068,4
16,0,34076,Joel Dahmen,1.201,0.961,-0.036,0.276,4
17,0,34256,Andrew Putnam,1.198,0.293,0.658,0.247,4
18,0,50493,Justin Suh,1.090,-0.064,0.306,0.847,4
19,0,37378,Min Woo Lee,1.075,0.522,0.372,0.181,4
20,0,39324,J.J. Spaun,1.069,0.539,0.477,0.054,4
21,0,29221,Webb Simpson,1.061,0.079,0.208,0.774,4
22,0,51696,Rico Hoey,1.032,0.278,1.043,-0.289,4
23,0,35532,Tom Hoge,1.002,-0.432,1.545,-0.112,4
24,0,50095,Austin Smotherman,0.987,1.317,-0.234,-0.095,4
25,0,33486,Roger Sloan,0.982,1.060,-0.396,0.317,4
26,0,30163,Henrik Norlander,0.977,-0.337,0.024,1.290,4
27,0,36699,Patrick Rodgers,0.938,0.358,0.392,0.188,4
28,0,55893,Sam Stevens,0.799,-0.130,0.221,0.708,4
29,0,40162,Justin Lower,0.761,0.376,0.325,0.059,4
30,0,52375,Doug Ghim,0.710,0.305,0.806,-0.401,4
31,0,26476,Chez Reavie,0.677,-0.043,0.576,0.145,4
32,0,27064,Jhonattan Vegas,0.626,0.609,0.161,-0.143,4
33,0,12716,Charley Hoffman,0.625,-0.263,-0.108,0.997,4
34,0,25900,Lucas Glover,0.590,-0.252,0.585,0.256,4
35,0,56149,Wilson Furr,0.576,0.381,0.148,0.046,4
36,0,59836,Pierceson Coody,0.559,0.278,1.016,-0.736,4
37,0,35310,Lanto Griffin,0.493,0.238,0.172,0.084,4
38,0,66743,Luke Clanton,0.421,0.116,1.128,-0.824,4
39,0,27330,Josh Teater,0.408,0.044,0.978,-0.614,4
40,0,52374,Brandon Wu,0.406,-0.016,-0.567,0.989,4
41,0,39327,Ben Silverman,0.334,0.439,-0.327,0.221,4
42,0,40115,Adam Svensson,0.257,-0.538,0.180,0.615,4
43,0,36884,Ben Kohles,0.207,-0.147,0.916,-0.561,4
44,0,48319,Tom Whitney,0.190,-0.965,1.108,0.048,4
45,0,30927,Brendon Todd,0.157,0.612,-1.510,1.055,4
46,0,54421,Garrick Higgo,0.137,-0.101,0.446,-0.208,4
47,0,47988,Nick Hardy,0.132,-0.261,0.846,-0.453,4
48,0,48084,Wesley Bryan,0.114,0.504,-0.416,0.026,4
49,0,12195,Tom Johnson,-0.014,-0.130,-0.539,0.656,4
50,0,34021,Bud Cauley,-0.039,0.527,-0.369,-0.197,4
51,0,27649,Brandt Snedeker,-0.047,-0.446,0.636,-0.237,4
52,0,48867,Matti Schmid,-0.102,-0.234,0.617,-0.485,4
53,0,40058,Zac Blair,-0.110,0.621,-0.846,0.115,4
54,0,32070,Rafael Campos,-0.162,-0.524,0.291,0.071,4
55,0,28259,Sangmoon Bae,-0.225,0.240,0.227,-0.693,4
56,0,57900,Chandler Phillips,-0.288,0.250,-1.267,0.729,4
57,0,27936,Martin Laird,-0.296,-0.913,-0.145,0.762,4
58,0,27139,David Skinns,-0.352,-0.306,0.039,-0.084,4
59,0,47663,Kevin Dougherty,-0.394,0.277,-0.647,-0.023,4
60,0,32333,Kevin Tway,-0.456,-0.121,-0.701,0.366,4
61,0,47983,Chad Ramey,-0.526,-0.667,-0.111,0.252,4
62,0,57364,Michael Thorbjornsen,-0.650,0.371,-0.586,-0.435,4
63,0,22371,Aaron Baddeley,-0.742,-1.246,-0.135,0.639,4
64,0,27141,J.B. Holmes,-0.839,0.251,-1.921,0.832,4
65,0,34563,Chesson Hadley,-1.111,0.637,-0.012,-1.736,4
