RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,52215,Robert MacIntyre,2.798,11.193,4
2,33,47679,Victor Perez,2.327,9.309,4
3,0,35506,Mackenzie Hughes,1.942,7.767,4
4,0,24140,Sean O'Hair,1.927,7.707,4
5,19,59836,Pierceson Coody,1.776,7.103,4
6,0,26758,David Hearn,1.746,6.985,4
7,0,39997,Corey Conners,1.730,6.922,4
8,28,29936,Ryan Fox,1.547,6.189,4
9,0,52453,Nicolai Højgaard,1.518,6.072,4
10,0,40058,Zac Blair,1.483,5.934,4
11,0,40250,Taylor Pendrith,1.471,5.884,4
12,0,28237,Rory McIlroy,1.457,5.827,4
13,0,35461,Beau Hossler,1.415,5.662,4
14,0,54591,Ben Griffin,1.296,5.186,4
15,2,57900,Chandler Phillips,1.264,5.058,4
16,0,47983,Chad Ramey,1.235,4.940,4
17,-9,39327,Ben Silverman,1.116,4.465,4
18,0,33968,Thorbjørn Olesen,1.095,4.382,4
19,47,34076,Joel Dahmen,1.090,4.361,4
20,0,28775,Nate Lashley,1.037,4.148,4
21,0,27064,Jhonattan Vegas,1.032,4.130,4
22,0,51894,Vince Whaley,1.026,4.105,4
23,30,46442,Maverick McNealy,1.014,4.056,4
24,0,60004,Jacob Bridgeman,0.972,3.889,4
25,0,57975,Harry Hall,0.849,3.395,4
26,20,55182,Tom Kim,0.742,2.967,4
27,0,56555,Myles Creighton,0.677,2.710,4
28,0,35879,Kelly Kraft,0.643,2.571,4
29,0,52666,Sami Valimaki,0.616,2.464,4
30,2,45609,Tyler Duncan,0.594,2.376,4
31,-19,31323,Gary Woodland,0.585,2.340,4
32,0,52514,Trace Crowe,0.537,2.149,4
33,0,52513,Carson Young,0.534,2.137,4
34,0,20229,Stewart Cink,0.483,1.934,4
35,0,30911,Tommy Fleetwood,0.436,1.744,4
36,25,47988,Nick Hardy,0.311,1.245,4
36,0,54421,Garrick Higgo,0.311,1.244,4
38,0,51997,Andrew Novak,0.303,1.214,4
39,11,39546,Keith Mitchell,0.293,1.174,4
40,0,23320,Ryan Palmer,0.290,1.160,4
41,0,56630,Akshay Bhatia,0.263,1.053,4
42,0,35490,Wil Bateman,0.257,1.030,4
43,0,47504,Sam Burns,0.099,0.397,4
44,0,33204,Shane Lowry,0.067,0.270,4
45,-4,36801,Mark Hubbard,0.029,0.117,4
46,0,34563,Chesson Hadley,0.016,0.065,4
47,0,39975,Michael Kim,-0.006,-0.023,4
48,0,50497,Adrien Dumont de Chassart,-0.021,-0.085,4
49,0,52374,Brandon Wu,-0.088,-0.350,4
50,0,35310,Lanto Griffin,-0.154,-0.614,4
51,0,55893,Sam Stevens,-0.161,-0.643,4
52,0,34374,Erik Barnes,-0.182,-0.726,4
53,-31,34255,Joseph Bramlett,-0.267,-1.067,4
54,-40,24502,Adam Scott,-0.300,-1.199,4
55,0,48887,Matt Wallace,-0.315,-1.258,4
56,3,27214,Kevin Streelman,-0.323,-1.290,4
57,0,40006,Erik van Rooyen,-0.337,-1.346,4
58,9,51070,Vincent Norrman,-0.346,-1.382,4
59,-20,29908,C.T. Pan,-0.392,-1.566,4
60,-37,32333,Kevin Tway,-0.428,-1.713,4
61,0,27139,David Skinns,-0.526,-2.105,4
62,-31,40115,Adam Svensson,-0.767,-3.068,4
63,8,46414,Aaron Rai,-0.770,-3.081,4
64,-4,26596,Ryan Moore,-0.860,-3.439,4
65,-31,59143,Mac Meissner,-0.868,-3.471,4
66,0,51287,Ryo Hisatsune,-0.946,-3.782,4
67,0,26476,Chez Reavie,-1.148,-4.592,4
68,0,32367,Jorge Campillo,-1.230,-4.918,4
69,1,45242,Kevin Yu,-1.707,-6.826,4
