RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,27,51894,Vince Whaley,2.191,8.763,4
2,0,59836,Pierceson Coody,1.716,6.862,4
3,22,40006,Erik van Rooyen,1.556,6.222,4
4,55,35461,Beau Hossler,1.553,6.210,4
5,0,47347,Adam Schenk,1.521,6.083,4
6,42,35310,Lanto Griffin,1.479,5.915,4
7,13,57975,Harry Hall,1.419,5.676,4
8,0,49771,J.T. Poston,1.377,5.509,4
9,2,34099,Harris English,1.345,5.381,4
10,0,57593,Ian Gilligan,1.309,5.237,4
11,0,47995,Davis Riley,1.299,5.194,4
12,45,32791,K.H. Lee,1.221,4.884,4
13,24,51696,Rico Hoey,1.151,4.602,4
14,-9,48867,Matti Schmid,1.135,4.541,4
15,0,46113,Ryan McCormick,0.944,3.774,4
16,0,31323,Gary Woodland,0.940,3.761,4
17,0,34256,Andrew Putnam,0.938,3.750,4
18,26,40026,Daniel Berger,0.918,3.671,4
19,0,40250,Taylor Pendrith,0.903,3.611,4
20,31,60004,Jacob Bridgeman,0.871,3.484,4
21,0,63807,Neal Shipley,0.859,3.436,4
22,46,54328,Norman Xiong,0.851,3.405,4
23,0,49947,Taylor Moore,0.802,3.208,4
24,0,23108,Matt Kuchar,0.755,3.020,4
25,37,52375,Doug Ghim,0.734,2.934,4
26,0,36801,Mark Hubbard,0.725,2.898,4
27,0,29908,C.T. Pan,0.690,2.759,4
28,-19,60067,Joe Highsmith,0.616,2.464,4
29,0,39975,Michael Kim,0.596,2.385,4
30,15,56149,Wilson Furr,0.543,2.172,4
31,0,48119,Ben Taylor,0.521,2.083,4
32,0,55893,Sam Stevens,0.496,1.984,4
33,-7,29936,Ryan Fox,0.490,1.959,4
34,0,39327,Ben Silverman,0.438,1.753,4
35,-33,47983,Chad Ramey,0.418,1.670,4
36,-29,45609,Tyler Duncan,0.357,1.428,4
37,0,36326,David Lipsky,0.159,0.635,4
38,0,27129,Luke List,0.150,0.598,4
39,0,54421,Garrick Higgo,0.147,0.589,4
40,0,58168,Davis Thompson,0.127,0.507,4
41,0,29675,Dan McCarthy,0.118,0.472,4
42,-10,51890,Greyson Sigg,0.100,0.400,4
43,0,32102,Rickie Fowler,0.055,0.219,4
44,-29,50188,S.H. Kim,0.054,0.214,4
44,2,38991,Alejandro Tosti,0.054,0.216,4
46,0,54576,Patrick Fishburn,0.031,0.125,4
47,8,39324,J.J. Spaun,-0.010,-0.040,4
48,0,34021,Bud Cauley,-0.032,-0.130,4
49,0,26596,Ryan Moore,-0.079,-0.317,4
50,-8,50493,Justin Suh,-0.116,-0.463,4
51,0,46442,Maverick McNealy,-0.243,-0.972,4
52,6,28775,Nate Lashley,-0.260,-1.040,4
53,0,27064,Jhonattan Vegas,-0.331,-1.326,4
54,0,25198,Francesco Molinari,-0.344,-1.377,4
55,0,27139,David Skinns,-0.524,-2.097,4
56,-6,25818,Scott Piercy,-0.593,-2.371,4
57,12,48117,Kurt Kitayama,-0.692,-2.767,4
58,0,57362,Austin Eckroat,-0.709,-2.835,4
59,-28,25493,Nick Taylor,-0.832,-3.329,4
60,7,40058,Zac Blair,-0.872,-3.488,4
61,-23,52514,Trace Crowe,-0.886,-3.544,4
62,0,27770,Camilo Villegas,-0.966,-3.866,4
63,0,51734,Nicolo Galletti,-1.149,-4.596,4
64,-17,46340,Alex Smalley,-1.201,-4.804,4
65,0,59095,Chris Gotterup,-1.204,-4.816,4
66,-3,34255,Joseph Bramlett,-2.694,-10.777,4
