RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,48887,Matt Wallace,2.731,0.544,1.064,1.123,4
2,0,35879,Kelly Kraft,2.326,0.238,1.587,0.501,4
3,0,40250,Taylor Pendrith,2.179,1.009,0.133,1.038,4
4,0,46414,Aaron Rai,2.081,0.662,1.573,-0.154,4
5,0,39546,Keith Mitchell,1.964,1.111,0.508,0.345,4
6,0,27349,Alex Noren,1.899,0.768,0.559,0.571,4
7,0,37455,Si Woo Kim,1.886,0.254,1.399,0.233,4
8,0,36884,Ben Kohles,1.883,0.074,1.102,0.707,4
9,0,46340,Alex Smalley,1.831,0.982,0.783,0.066,4
10,0,47420,Jake Knapp,1.774,0.348,1.408,0.018,4
11,0,51950,Max McGreevy,1.732,0.194,1.714,-0.176,4
12,0,35532,Tom Hoge,1.710,0.620,0.969,0.121,4
13,0,32367,Jorge Campillo,1.693,0.032,1.149,0.512,4
14,0,47347,Adam Schenk,1.670,0.781,0.819,0.070,4
15,0,36799,Stephan Jaeger,1.583,1.380,-0.593,0.796,4
16,0,33948,Byeong Hun An,1.569,0.574,0.929,0.066,4
17,0,40026,Daniel Berger,1.503,0.618,0.558,0.326,4
18,0,24502,Adam Scott,1.235,1.303,0.262,-0.331,4
19,0,51349,Nico Echavarria,1.103,0.078,0.799,0.226,4
20,0,54591,Ben Griffin,1.042,-0.088,0.792,0.338,4
21,0,52513,Carson Young,1.028,0.587,0.242,0.199,4
22,0,32070,Rafael Campos,0.955,-0.007,0.800,0.162,4
23,0,47663,Kevin Dougherty,0.879,1.363,0.153,-0.638,4
24,0,47888,Taiga Semikawa,0.815,0.691,0.583,-0.460,4
25,0,37378,Min Woo Lee,0.773,1.375,-0.251,-0.351,4
26,0,50188,S.H. Kim,0.700,0.511,0.190,-0.001,4
27,0,46442,Maverick McNealy,0.632,0.094,0.731,-0.193,4
28,0,51287,Ryo Hisatsune,0.615,0.134,0.051,0.430,4
29,0,59095,Chris Gotterup,0.602,0.549,-0.347,0.399,4
30,0,40162,Justin Lower,0.558,-0.001,0.363,0.196,4
31,0,22371,Aaron Baddeley,0.518,-0.276,0.249,0.545,4
32,0,50497,Adrien Dumont de Chassart,0.498,-0.152,0.554,0.096,4
33,0,32757,Patton Kizzire,0.494,-0.600,0.797,0.297,4
34,0,59866,Nick Dunlap,0.459,0.589,-0.045,-0.086,4
35,0,32333,Kevin Tway,0.440,0.304,-0.685,0.820,4
36,0,51997,Andrew Novak,0.394,0.525,-0.255,0.123,4
37,0,32640,Troy Merritt,0.384,-0.489,0.781,0.091,4
38,0,27974,Sung Kang,0.318,0.398,-0.224,0.144,4
39,0,55708,Hayden Buckley,0.296,0.379,-0.333,0.249,4
40,0,32366,Kevin Chappell,0.293,0.518,-0.069,-0.156,4
41,0,25818,Scott Piercy,0.269,0.406,-0.304,0.167,4
42,0,47995,Davis Riley,0.221,0.704,-1.296,0.813,4
43,0,34076,Joel Dahmen,0.176,0.011,0.100,0.065,4
44,0,27649,Brandt Snedeker,0.110,-0.550,0.311,0.349,4
45,0,54783,Dylan Wu,0.040,-0.634,0.752,-0.078,4
46,0,24024,Zach Johnson,-0.051,-1.344,0.950,0.342,4
47,0,27129,Luke List,-0.098,0.633,-0.237,-0.494,4
48,0,46435,Austin Cook,-0.142,-0.640,0.519,-0.021,4
49,0,33413,Ben Martin,-0.181,-0.006,-0.233,0.058,4
50,0,60895,Kris Kim,-0.316,-0.769,-0.693,1.146,4
51,0,46113,Ryan McCormick,-0.331,-0.664,0.168,0.165,4
52,0,27936,Martin Laird,-0.368,-0.382,-0.130,0.145,4
53,0,27139,David Skinns,-0.447,-0.200,0.708,-0.954,4
54,0,55182,Tom Kim,-0.471,-0.020,-0.226,-0.225,4
55,0,55893,Sam Stevens,-0.519,-0.173,-1.176,0.830,4
56,0,47079,Harrison Endycott,-0.539,-1.047,0.806,-0.299,4
57,0,36801,Mark Hubbard,-0.552,0.256,-0.590,-0.218,4
58,0,30163,Henrik Norlander,-0.617,-0.294,0.003,-0.326,4
59,0,28089,Jason Day,-0.757,0.413,-0.665,-0.505,4
60,0,32791,K.H. Lee,-0.819,-0.522,0.012,-0.309,4
61,0,35461,Beau Hossler,-0.895,-0.456,-0.649,0.210,4
62,0,35506,Mackenzie Hughes,-0.946,-0.143,-0.539,-0.264,4
63,0,51894,Vince Whaley,-1.320,-0.989,0.202,-0.533,4
64,0,48319,Tom Whitney,-1.344,0.191,-1.024,-0.510,4
65,0,29289,S.Y. Noh,-1.416,-1.469,0.099,-0.046,4
66,0,33408,Tyson Alexander,-1.779,0.113,-2.294,0.402,4
