RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,35532,Tom Hoge,1.814,7.257,4
2,0,34374,Erik Barnes,1.665,6.660,4
3,0,36799,Stephan Jaeger,1.599,6.398,4
4,73,27139,David Skinns,1.588,6.354,4
5,0,47983,Chad Ramey,1.537,6.147,4
6,30,59095,Chris Gotterup,1.448,5.794,4
7,47,49947,Taylor Moore,1.440,5.760,4
8,25,51977,Max Greyserman,1.319,5.277,4
9,62,57975,Harry Hall,1.250,4.999,4
10,0,59866,Nick Dunlap,1.213,4.853,4
11,28,33653,Thomas Detry,1.198,4.791,4
12,64,38991,Alejandro Tosti,1.153,4.612,4
13,51,34255,Joseph Bramlett,1.140,4.560,4
14,0,27349,Alex Noren,1.038,4.151,4
15,0,47988,Nick Hardy,1.007,4.030,4
16,0,46414,Aaron Rai,0.929,3.718,4
17,0,27936,Martin Laird,0.862,3.447,4
18,0,39324,J.J. Spaun,0.855,3.421,4
19,0,50497,Adrien Dumont de Chassart,0.808,3.234,4
20,0,39327,Ben Silverman,0.806,3.224,4
21,-18,34466,Peter Malnati,0.791,3.165,4
22,-7,48867,Matti Schmid,0.771,3.084,4
23,21,55893,Sam Stevens,0.743,2.971,4
24,0,47806,Raul Pereda,0.702,2.807,4
25,9,29420,Billy Horschel,0.677,2.710,4
26,0,40162,Justin Lower,0.675,2.701,4
27,0,36801,Mark Hubbard,0.673,2.691,4
28,0,32448,James Hahn,0.622,2.488,4
29,34,50188,S.H. Kim,0.587,2.347,4
30,0,56149,Wilson Furr,0.560,2.241,4
31,0,51766,Wyndham Clark,0.540,2.159,4
32,0,47079,Harrison Endycott,0.466,1.863,4
33,0,45157,Cam Davis,0.447,1.790,4
34,-15,56630,Akshay Bhatia,0.442,1.770,4
35,0,40250,Taylor Pendrith,0.424,1.698,4
36,0,28775,Nate Lashley,0.421,1.683,4
37,0,59652,Sam Bennett,0.273,1.091,4
38,0,58168,Davis Thompson,0.199,0.796,4
39,-28,54591,Ben Griffin,0.178,0.713,4
40,0,33486,Roger Sloan,0.168,0.674,4
41,-39,35506,Mackenzie Hughes,0.166,0.665,4
42,-38,52372,Cameron Champ,0.165,0.661,4
43,0,47679,Victor Perez,0.149,0.598,4
44,0,59836,Pierceson Coody,0.145,0.580,4
45,0,46046,Scottie Scheffler,0.121,0.486,4
46,-23,39975,Michael Kim,0.112,0.450,4
47,-1,28420,Ryan Brehm,0.095,0.379,4
48,0,35449,Adam Long,0.015,0.060,4
49,0,60004,Jacob Bridgeman,0.010,0.039,4
50,-38,22371,Aaron Baddeley,-0.008,-0.032,4
51,-29,47663,Kevin Dougherty,-0.018,-0.071,4
52,-44,57900,Chandler Phillips,-0.063,-0.250,4
53,0,60067,Joe Highsmith,-0.082,-0.328,4
54,-12,51997,Andrew Novak,-0.143,-0.572,4
55,0,29936,Ryan Fox,-0.163,-0.651,4
56,-43,32791,K.H. Lee,-0.193,-0.773,4
56,-47,48699,Callum Tarren,-0.193,-0.773,4
58,0,47995,Davis Riley,-0.217,-0.869,4
59,0,59567,Emilio Gonzalez,-0.337,-1.348,4
60,0,40026,Daniel Berger,-0.339,-1.357,4
61,0,35461,Beau Hossler,-0.407,-1.626,4
62,0,36699,Patrick Rodgers,-0.413,-1.653,4
63,0,51634,Sahith Theegala,-0.459,-1.837,4
64,0,33408,Tyson Alexander,-0.473,-1.892,4
65,0,37455,Si Woo Kim,-0.481,-1.925,4
66,-9,26596,Ryan Moore,-0.501,-2.002,4
67,0,24980,Scott Gutschewski,-0.516,-2.065,4
68,0,46435,Austin Cook,-0.527,-2.108,4
69,0,48117,Kurt Kitayama,-0.529,-2.117,4
70,5,40115,Adam Svensson,-0.558,-2.233,4
71,0,27064,Jhonattan Vegas,-0.608,-2.433,4
72,-5,23320,Ryan Palmer,-0.680,-2.718,4
73,0,54421,Garrick Higgo,-0.769,-3.076,4
74,-26,51890,Greyson Sigg,-0.832,-3.327,4
75,0,29725,Tony Finau,-0.850,-3.399,4
76,-75,37275,Sam Ryder,-0.927,-3.706,4
77,0,35310,Lanto Griffin,-0.932,-3.727,4
78,0,51070,Vincent Norrman,-0.937,-3.747,4
79,0,34021,Bud Cauley,-1.059,-4.235,4
80,-21,34587,Chan Kim,-1.079,-4.316,4
81,-63,54783,Dylan Wu,-1.204,-4.815,4
82,0,31323,Gary Woodland,-1.491,-5.962,4
83,0,47483,Will Zalatoris,-1.752,-7.006,4
