RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,29725,Tony Finau,3.612,1.268,0.728,1.616,4
2,0,31323,Gary Woodland,3.003,0.303,2.198,0.502,4
3,0,46046,Scottie Scheffler,2.641,0.559,1.783,0.299,4
4,0,37455,Si Woo Kim,2.243,0.320,0.807,1.116,4
5,0,47995,Davis Riley,2.229,0.549,1.345,0.335,4
6,42,35506,Mackenzie Hughes,1.846,0.403,0.784,0.659,4
7,10,29420,Billy Horschel,1.835,0.655,0.296,0.883,4
8,30,56630,Akshay Bhatia,1.820,0.216,1.981,-0.378,4
9,0,51634,Sahith Theegala,1.721,1.063,0.749,-0.091,4
10,0,47679,Victor Perez,1.613,0.112,0.814,0.686,4
11,51,38991,Alejandro Tosti,1.609,0.830,0.647,0.132,4
12,0,60067,Joe Highsmith,1.594,0.742,0.932,-0.080,4
13,0,46414,Aaron Rai,1.583,0.334,1.003,0.245,4
14,0,34021,Bud Cauley,1.571,0.049,1.176,0.346,4
15,8,33653,Thomas Detry,1.564,0.683,0.206,0.676,4
16,-15,26596,Ryan Moore,1.513,0.128,1.158,0.227,4
17,0,60004,Jacob Bridgeman,1.502,0.523,0.473,0.505,4
18,0,36799,Stephan Jaeger,1.413,0.237,0.360,0.815,4
19,0,27064,Jhonattan Vegas,1.370,0.256,0.618,0.495,4
20,20,51890,Greyson Sigg,1.344,0.019,0.889,0.435,4
21,44,34587,Chan Kim,1.341,0.539,0.957,-0.155,4
22,-14,49947,Taylor Moore,1.322,0.607,-0.488,1.202,4
23,0,58168,Davis Thompson,1.313,0.687,-0.266,0.892,4
24,0,48117,Kurt Kitayama,1.291,0.736,0.744,-0.189,4
25,0,27349,Alex Noren,1.224,0.327,0.776,0.121,4
26,-2,32791,K.H. Lee,1.205,0.612,0.289,0.303,4
27,12,51977,Max Greyserman,1.193,0.465,-0.175,0.902,4
28,0,28775,Nate Lashley,1.091,0.086,0.761,0.244,4
29,0,45157,Cam Davis,1.065,0.648,0.343,0.074,4
30,0,59866,Nick Dunlap,1.049,0.181,0.659,0.208,4
31,0,35310,Lanto Griffin,0.944,0.467,0.395,0.082,4
32,25,27139,David Skinns,0.924,0.234,0.136,0.554,4
33,0,40026,Daniel Berger,0.851,0.614,-0.102,0.339,4
34,0,46435,Austin Cook,0.789,-0.430,0.449,0.770,4
35,0,47483,Will Zalatoris,0.764,0.069,0.457,0.237,4
36,9,48867,Matti Schmid,0.741,0.707,0.024,0.010,4
37,38,37275,Sam Ryder,0.689,-0.378,1.350,-0.283,4
38,0,40162,Justin Lower,0.587,0.050,0.452,0.084,4
39,13,54591,Ben Griffin,0.584,-0.382,0.183,0.782,4
40,-21,57900,Chandler Phillips,0.575,-0.857,0.804,0.627,4
41,-34,40115,Adam Svensson,0.570,-0.566,1.093,0.043,4
42,18,47663,Kevin Dougherty,0.530,1.031,0.209,-0.710,4
43,0,51766,Wyndham Clark,0.472,1.076,-0.395,-0.209,4
44,0,35461,Beau Hossler,0.419,-0.195,0.427,0.186,4
45,-24,51997,Andrew Novak,0.405,0.775,0.007,-0.378,4
46,22,52372,Cameron Champ,0.347,1.342,-0.258,-0.737,4
47,8,33486,Roger Sloan,0.344,-0.884,0.334,0.893,4
48,0,36801,Mark Hubbard,0.339,-0.234,0.861,-0.288,4
49,0,40250,Taylor Pendrith,0.338,0.293,0.181,-0.136,4
50,0,54421,Garrick Higgo,0.281,-0.245,0.087,0.439,4
51,0,33408,Tyson Alexander,0.235,-0.603,0.367,0.471,4
52,0,47983,Chad Ramey,0.225,0.194,-0.180,0.212,4
53,0,56149,Wilson Furr,0.202,0.000,0.432,-0.230,4
54,0,35532,Tom Hoge,0.198,0.364,0.498,-0.664,4
55,16,28420,Ryan Brehm,0.167,0.734,-0.428,-0.139,4
