RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,35506,Mackenzie Hughes,2.194,6.583,3
2,0,51349,Nico Echavarria,1.858,5.575,3
3,0,35617,Martin Trainer,1.778,5.333,3
4,0,47591,Eric Cole,1.536,4.608,3
5,0,35879,Kelly Kraft,1.475,4.425,3
6,0,51287,Ryo Hisatsune,1.428,4.283,3
7,0,54422,Christo Lamprecht,1.417,4.250,3
8,0,24925,Jonathan Byrd,1.399,4.196,3
9,0,57900,Chandler Phillips,1.343,4.028,3
10,0,52513,Carson Young,1.341,4.024,3
11,0,39975,Michael Kim,1.331,3.992,3
12,0,46442,Maverick McNealy,1.230,3.689,3
13,0,46441,Robby Shelton,1.140,3.420,3
14,0,45242,Kevin Yu,1.085,3.256,3
15,0,25900,Lucas Glover,1.044,3.131,3
16,0,47993,Denny McCarthy,1.019,3.056,3
17,0,66743,Luke Clanton,0.953,2.860,3
18,0,51894,Vince Whaley,0.896,2.688,3
19,0,36824,Paul Peterson,0.855,2.566,3
20,0,54591,Ben Griffin,0.835,2.504,3
21,0,58944,Blake McShea,0.778,2.334,3
22,0,55789,Taylor Montgomery,0.762,2.286,3
23,0,49947,Taylor Moore,0.695,2.084,3
24,0,50095,Austin Smotherman,0.618,1.853,3
25,0,57364,Michael Thorbjornsen,0.615,1.845,3
26,0,27644,Brian Harman,0.587,1.762,3
27,0,50188,S.H. Kim,0.562,1.687,3
28,0,40115,Adam Svensson,0.478,1.434,3
29,0,52375,Doug Ghim,0.388,1.164,3
30,0,29289,S.Y. Noh,0.369,1.106,3
31,0,49771,J.T. Poston,0.348,1.043,3
32,0,56762,Will Gordon,0.300,0.899,3
33,0,34255,Joseph Bramlett,0.266,0.797,3
34,0,57362,Austin Eckroat,0.263,0.789,3
35,0,33408,Tyson Alexander,0.207,0.622,3
36,0,48699,Callum Tarren,0.190,0.571,3
37,0,40026,Daniel Berger,0.179,0.538,3
38,0,47347,Adam Schenk,0.171,0.513,3
39,0,36699,Patrick Rodgers,0.132,0.396,3
40,0,58816,Marcus Byrd,0.127,0.382,3
41,0,20229,Stewart Cink,0.109,0.328,3
42,0,51997,Andrew Novak,0.061,0.182,3
43,0,36801,Mark Hubbard,0.012,0.036,3
44,0,50484,Hayden Springer,-0.038,-0.114,3
45,0,52955,Ludvig Åberg,-0.205,-0.614,3
46,0,34076,Joel Dahmen,-0.386,-1.157,3
47,0,27936,Martin Laird,-0.390,-1.170,3
48,0,47420,Jake Knapp,-0.417,-1.250,3
49,0,33122,Russell Knox,-0.422,-1.267,3
50,0,54628,Lee Hodges,-0.475,-1.426,3
51,0,57123,Steven Fisk,-0.602,-1.807,3
52,0,52374,Brandon Wu,-0.617,-1.850,3
53,0,50497,Adrien Dumont de Chassart,-0.660,-1.981,3
54,0,34021,Bud Cauley,-0.748,-2.244,3
55,0,32333,Kevin Tway,-0.763,-2.290,3
56,0,33399,Adam Hadwin,-0.766,-2.299,3
57,0,34099,Harris English,-0.807,-2.420,3
58,0,60067,Joe Highsmith,-0.823,-2.469,3
59,0,48887,Matt Wallace,-1.053,-3.159,3
60,0,30163,Henrik Norlander,-1.063,-3.188,3
61,0,55893,Sam Stevens,-1.067,-3.200,3
62,0,54576,Patrick Fishburn,-1.080,-3.241,3
63,0,35310,Lanto Griffin,-1.087,-3.260,3
64,0,58168,Davis Thompson,-1.137,-3.412,3
65,0,54813,Philip Knowles,-1.204,-3.613,3
66,0,32757,Patton Kizzire,-1.259,-3.777,3
67,0,31202,William McGirt,-1.548,-4.643,3
68,0,54421,Garrick Higgo,-1.595,-4.785,3
69,0,32366,Kevin Chappell,-1.853,-5.559,3
