RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,34076,Joel Dahmen,2.891,1.120,0.924,0.847,3
2,0,49771,J.T. Poston,2.835,0.480,2.275,0.080,3
3,0,30163,Henrik Norlander,2.579,0.568,1.762,0.249,3
4,0,46442,Maverick McNealy,2.286,0.782,1.258,0.247,3
5,0,34021,Bud Cauley,1.931,0.669,0.487,0.775,3
6,0,50497,Adrien Dumont de Chassart,1.843,0.494,0.378,0.971,3
7,0,54421,Garrick Higgo,1.767,0.768,-0.071,1.070,3
8,0,20229,Stewart Cink,1.730,0.902,-0.416,1.244,3
9,0,60067,Joe Highsmith,1.672,0.980,0.206,0.487,3
10,0,54591,Ben Griffin,1.671,1.035,0.276,0.360,3
11,0,40026,Daniel Berger,1.670,0.859,0.633,0.178,3
12,0,54576,Patrick Fishburn,1.596,0.355,0.824,0.417,3
13,0,36699,Patrick Rodgers,1.384,0.820,0.802,-0.237,3
14,0,32366,Kevin Chappell,1.359,-0.257,1.155,0.461,3
15,0,55893,Sam Stevens,1.249,1.235,0.359,-0.344,3
16,0,57362,Austin Eckroat,1.243,1.466,0.254,-0.477,3
17,0,50484,Hayden Springer,1.221,-0.903,2.256,-0.132,3
18,0,29289,S.Y. Noh,1.147,-0.523,1.201,0.470,3
19,0,25900,Lucas Glover,1.129,0.653,0.399,0.076,3
20,0,45242,Kevin Yu,1.087,1.290,-0.717,0.514,3
21,0,54628,Lee Hodges,0.991,0.635,-0.084,0.440,3
22,0,35506,Mackenzie Hughes,0.978,-0.607,0.427,1.158,3
23,0,58168,Davis Thompson,0.976,1.173,-0.237,0.040,3
24,0,51894,Vince Whaley,0.953,-0.003,0.815,0.141,3
25,0,57364,Michael Thorbjornsen,0.891,-0.381,0.701,0.571,3
26,0,56762,Will Gordon,0.883,-0.116,0.547,0.453,3
27,0,49947,Taylor Moore,0.821,0.614,0.614,-0.406,3
28,0,47591,Eric Cole,0.636,-0.940,1.328,0.248,3
29,0,27644,Brian Harman,0.595,0.367,0.182,0.046,3
30,0,34255,Joseph Bramlett,0.584,-0.197,0.268,0.513,3
31,0,27936,Martin Laird,0.573,0.450,0.065,0.058,3
32,0,66743,Luke Clanton,0.563,1.319,-0.524,-0.232,3
33,0,39975,Michael Kim,0.519,0.211,0.509,-0.202,3
34,0,57900,Chandler Phillips,0.496,0.646,0.491,-0.640,3
35,0,32757,Patton Kizzire,0.431,0.225,-0.209,0.415,3
36,0,35879,Kelly Kraft,0.374,-0.178,0.784,-0.232,3
37,0,47347,Adam Schenk,0.335,-0.458,0.593,0.199,3
38,0,51349,Nico Echavarria,0.324,0.318,0.351,-0.344,3
39,0,36801,Mark Hubbard,0.171,0.234,-1.039,0.976,3
40,0,47993,Denny McCarthy,0.164,-0.138,-0.212,0.515,3
41,0,55789,Taylor Montgomery,0.087,-1.117,0.345,0.860,3
42,0,31202,William McGirt,0.064,-0.340,-0.157,0.561,3
43,0,58816,Marcus Byrd,0.045,0.670,-0.419,-0.206,3
44,0,32333,Kevin Tway,-0.054,0.094,0.015,-0.163,3
45,0,52374,Brandon Wu,-0.201,-0.436,0.128,0.107,3
46,0,51997,Andrew Novak,-0.222,-0.966,-0.388,1.133,3
47,0,52955,Ludvig Åberg,-0.279,-0.265,0.110,-0.124,3
48,0,34099,Harris English,-0.354,0.202,-0.609,0.053,3
49,0,50188,S.H. Kim,-0.380,0.759,-0.858,-0.280,3
50,0,33399,Adam Hadwin,-0.384,-0.412,0.031,-0.003,3
51,0,33122,Russell Knox,-0.395,0.046,-0.725,0.284,3
52,0,48887,Matt Wallace,-0.431,-0.487,-0.506,0.562,3
53,0,50095,Austin Smotherman,-0.435,0.230,-0.489,-0.175,3
54,0,52513,Carson Young,-0.492,0.563,-0.856,-0.198,3
55,0,52375,Doug Ghim,-0.539,0.932,-0.479,-0.991,3
56,0,24925,Jonathan Byrd,-0.560,-0.938,0.757,-0.378,3
57,0,51287,Ryo Hisatsune,-0.912,0.060,-0.675,-0.297,3
58,0,58944,Blake McShea,-0.929,-0.461,0.225,-0.693,3
59,0,46441,Robby Shelton,-0.957,-0.698,0.002,-0.261,3
60,0,40115,Adam Svensson,-0.962,0.680,-0.631,-1.010,3
61,0,36824,Paul Peterson,-1.006,-0.226,-1.274,0.494,3
62,0,48699,Callum Tarren,-1.008,-2.152,1.379,-0.235,3
63,0,35310,Lanto Griffin,-1.064,0.458,-0.597,-0.925,3
64,0,57123,Steven Fisk,-1.215,-0.051,-0.698,-0.466,3
65,0,54422,Christo Lamprecht,-1.244,0.669,-1.507,-0.406,3
66,0,54813,Philip Knowles,-1.280,-1.118,0.163,-0.325,3
67,0,35617,Martin Trainer,-1.605,-1.263,-0.110,-0.232,3
68,0,33408,Tyson Alexander,-2.025,-1.262,-0.746,-0.016,3
69,0,47420,Jake Knapp,-2.067,-1.021,-0.987,-0.060,3
