RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,34046,Jordan Spieth,1.481,5.926,4
2,0,40006,Erik van Rooyen,1.260,5.042,4
3,0,56630,Akshay Bhatia,1.205,4.822,4
4,0,27644,Brian Harman,1.164,4.658,4
5,0,33399,Adam Hadwin,1.142,4.570,4
6,0,51349,Nico Echavarria,1.090,4.361,4
7,0,47591,Eric Cole,1.047,4.188,4
8,0,27770,Camilo Villegas,1.035,4.141,4
9,0,51634,Sahith Theegala,0.994,3.977,4
10,0,34099,Harris English,0.976,3.906,4
11,0,30926,Chris Kirk,0.900,3.601,4
12,0,39971,Sungjae Im,0.850,3.400,4
13,0,40098,Matt Fitzpatrick,0.807,3.227,4
14,0,49771,J.T. Poston,0.743,2.971,4
15,0,22405,Justin Rose,0.710,2.839,4
16,0,35506,Mackenzie Hughes,0.698,2.791,4
17,0,46717,Viktor Hovland,0.697,2.790,4
18,0,27129,Luke List,0.664,2.656,4
19,0,33948,Byeong Hun An,0.646,2.585,4
20,0,45157,Cam Davis,0.612,2.448,4
21,0,28252,Seamus Power,0.515,2.061,4
22,0,49947,Taylor Moore,0.428,1.714,4
23,0,49960,Sepp Straka,0.420,1.682,4
24,0,28089,Jason Day,0.375,1.499,4
25,0,34363,Tyrrell Hatton,0.333,1.334,4
26,0,30927,Brendon Todd,0.322,1.287,4
27,0,47995,Davis Riley,0.289,1.157,4
28,0,47504,Sam Burns,0.286,1.143,4
29,0,48887,Matt Wallace,0.243,0.974,4
30,0,35450,Patrick Cantlay,0.185,0.741,4
31,0,40115,Adam Svensson,0.131,0.523,4
32,0,34256,Andrew Putnam,0.096,0.383,4
33,0,31646,Emiliano Grillo,0.093,0.374,4
34,0,37455,Si Woo Kim,-0.050,-0.199,4
35,0,25493,Nick Taylor,-0.057,-0.229,4
36,0,35532,Tom Hoge,-0.169,-0.674,4
37,0,48081,Xander Schauffele,-0.278,-1.110,4
38,0,30911,Tommy Fleetwood,-0.430,-1.718,4
39,0,47993,Denny McCarthy,-0.464,-1.856,4
40,0,50525,Collin Morikawa,-0.510,-2.039,4
41,0,34098,Russell Henley,-0.545,-2.180,4
42,0,51766,Wyndham Clark,-0.597,-2.389,4
43,0,48117,Kurt Kitayama,-0.616,-2.462,4
44,0,46046,Scottie Scheffler,-0.650,-2.600,4
45,0,29725,Tony Finau,-0.653,-2.610,4
46,0,47347,Adam Schenk,-0.712,-2.849,4
47,0,57366,Cameron Young,-0.783,-3.131,4
48,0,47988,Nick Hardy,-0.790,-3.160,4
49,0,52955,Ludvig Åberg,-0.851,-3.404,4
50,0,36699,Patrick Rodgers,-0.907,-3.627,4
51,0,32102,Rickie Fowler,-1.188,-4.750,4
52,0,54628,Lee Hodges,-1.296,-5.184,4
53,0,39977,Max Homa,-1.299,-5.194,4
54,0,39997,Corey Conners,-1.305,-5.218,4
55,0,55182,Tom Kim,-1.332,-5.329,4
56,0,51070,Vincent Norrman,-1.374,-5.495,4
57,0,33141,Keegan Bradley,-1.456,-5.824,4
58,0,25900,Lucas Glover,-1.762,-7.046,4
59,0,32839,Hideki Matsuyama,-2.373,-9.490,4
