RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,36699,Patrick Rodgers,1.647,6.586,4
2,0,32102,Rickie Fowler,1.536,6.143,4
3,7,35450,Patrick Cantlay,1.278,5.111,4
4,41,48081,Xander Schauffele,1.195,4.779,4
5,27,56630,Akshay Bhatia,1.138,4.550,4
6,-1,48153,Matthieu Pavon,1.111,4.445,4
7,49,51766,Wyndham Clark,1.030,4.120,4
8,0,34256,Andrew Putnam,0.959,3.834,4
9,51,24502,Adam Scott,0.864,3.455,4
10,0,47591,Eric Cole,0.803,3.213,4
11,0,52215,Robert MacIntyre,0.788,3.150,4
12,2,40250,Taylor Pendrith,0.720,2.880,4
13,0,35506,Mackenzie Hughes,0.714,2.856,4
14,21,33141,Keegan Bradley,0.686,2.744,4
15,28,37455,Si Woo Kim,0.665,2.658,4
16,54,46046,Scottie Scheffler,0.631,2.525,4
17,0,39971,Sungjae Im,0.588,2.353,4
18,47,30927,Brendon Todd,0.587,2.347,4
19,20,29725,Tony Finau,0.586,2.344,4
20,27,55182,Tom Kim,0.520,2.080,4
21,0,46717,Viktor Hovland,0.449,1.797,4
22,0,57364,Michael Thorbjornsen,0.398,1.593,4
23,0,33448,Justin Thomas,0.380,1.520,4
24,0,48117,Kurt Kitayama,0.330,1.319,4
25,47,40115,Adam Svensson,0.316,1.262,4
26,0,35532,Tom Hoge,0.224,0.897,4
27,46,34046,Jordan Spieth,0.171,0.683,4
28,5,47993,Denny McCarthy,0.138,0.553,4
29,0,33399,Adam Hadwin,0.130,0.519,4
30,0,28252,Seamus Power,0.124,0.494,4
31,27,40098,Matt Fitzpatrick,0.123,0.492,4
32,-17,50525,Collin Morikawa,0.090,0.360,4
33,-25,33204,Shane Lowry,0.087,0.347,4
34,-6,45522,Christiaan Bezuidenhout,0.076,0.304,4
35,-11,32839,Hideki Matsuyama,0.064,0.257,4
36,0,29221,Webb Simpson,0.057,0.227,4
37,0,28089,Jason Day,0.038,0.151,4
38,14,49771,J.T. Poston,0.027,0.108,4
39,32,57366,Cameron Young,-0.001,-0.006,4
40,15,49960,Sepp Straka,-0.027,-0.107,4
41,0,47995,Davis Riley,-0.115,-0.460,4
42,-23,30911,Tommy Fleetwood,-0.118,-0.471,4
43,0,22405,Justin Rose,-0.133,-0.531,4
44,-41,47504,Sam Burns,-0.167,-0.669,4
45,-41,33653,Thomas Detry,-0.212,-0.847,4
46,0,34466,Peter Malnati,-0.264,-1.057,4
47,-24,29420,Billy Horschel,-0.294,-1.178,4
48,0,45157,Cam Davis,-0.302,-1.207,4
49,0,47347,Adam Schenk,-0.320,-1.281,4
50,-41,27644,Brian Harman,-0.324,-1.296,4
51,0,47679,Victor Perez,-0.367,-1.468,4
52,-8,31646,Emiliano Grillo,-0.436,-1.744,4
53,0,54628,Lee Hodges,-0.448,-1.793,4
54,0,39977,Max Homa,-0.488,-1.953,4
55,0,49947,Taylor Moore,-0.538,-2.153,4
56,-36,39997,Corey Conners,-0.548,-2.191,4
57,0,59095,Chris Gotterup,-0.625,-2.499,4
58,0,47420,Jake Knapp,-0.684,-2.738,4
59,0,47483,Will Zalatoris,-0.804,-3.218,4
60,-10,51634,Sahith Theegala,-0.820,-3.280,4
61,-2,36799,Stephan Jaeger,-0.864,-3.456,4
62,-60,34099,Harris English,-0.896,-3.585,4
63,0,25900,Lucas Glover,-0.993,-3.974,4
64,-58,30926,Chris Kirk,-1.088,-4.351,4
65,0,25493,Nick Taylor,-1.232,-4.927,4
66,8,57362,Austin Eckroat,-1.246,-4.985,4
67,0,54591,Ben Griffin,-1.666,-6.666,4
68,-67,34098,Russell Henley,-1.679,-6.715,4
69,0,59866,Nick Dunlap,-1.780,-7.120,4
70,-57,52955,Ludvig Åberg,-1.789,-7.155,4
