RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,21,55182,Tom Kim,2.609,0.933,1.316,0.359,4
2,8,46046,Scottie Scheffler,2.497,0.980,1.084,0.434,4
3,0,35532,Tom Hoge,2.404,0.634,2.106,-0.336,4
4,43,27644,Brian Harman,2.203,1.282,0.477,0.443,4
5,14,52955,Ludvig Åberg,2.167,0.344,1.070,0.753,4
6,0,39971,Sungjae Im,2.040,0.070,1.270,0.700,4
7,24,57366,Cameron Young,1.880,0.941,0.165,0.774,4
8,35,33204,Shane Lowry,1.792,0.288,1.319,0.185,4
9,0,33448,Justin Thomas,1.749,0.290,0.912,0.546,4
10,56,57362,Austin Eckroat,1.625,0.910,0.845,-0.130,4
11,-9,29725,Tony Finau,1.543,-0.192,0.731,1.004,4
12,9,50525,Collin Morikawa,1.539,0.497,0.628,0.413,4
13,10,30911,Tommy Fleetwood,1.496,0.533,1.275,-0.312,4
14,0,36799,Stephan Jaeger,0.993,0.457,0.871,-0.336,4
15,3,56630,Akshay Bhatia,0.991,0.873,0.141,-0.024,4
16,-1,39997,Corey Conners,0.926,0.447,-0.093,0.572,4
17,-10,35450,Patrick Cantlay,0.851,0.489,0.121,0.241,4
18,34,51766,Wyndham Clark,0.849,0.171,0.869,-0.192,4
19,1,40115,Adam Svensson,0.813,0.104,0.133,0.576,4
20,0,28252,Seamus Power,0.755,0.339,0.106,0.310,4
21,33,49960,Sepp Straka,0.655,0.234,0.967,-0.545,4
22,0,25493,Nick Taylor,0.610,-0.597,0.768,0.439,4
23,0,54628,Lee Hodges,0.577,0.017,0.723,-0.163,4
24,-16,32839,Hideki Matsuyama,0.564,1.042,-1.177,0.699,4
25,11,34098,Russell Henley,0.557,-0.068,0.803,-0.178,4
26,18,45522,Christiaan Bezuidenhout,0.553,0.635,-0.315,0.232,4
27,-22,48081,Xander Schauffele,0.434,0.201,0.531,-0.299,4
28,0,46717,Viktor Hovland,0.429,1.301,-0.188,-0.684,4
29,0,52215,Robert MacIntyre,0.341,0.504,-0.938,0.775,4
30,0,33399,Adam Hadwin,0.249,0.056,-0.241,0.433,4
31,0,47483,Will Zalatoris,0.183,0.480,-0.493,0.196,4
32,0,25900,Lucas Glover,0.122,-0.192,0.796,-0.482,4
33,-17,48153,Matthieu Pavon,0.017,0.348,0.429,-0.760,4
34,6,47993,Denny McCarthy,-0.010,-0.709,0.427,0.273,4
35,-6,40250,Taylor Pendrith,-0.092,-0.178,0.310,-0.224,4
36,0,48117,Kurt Kitayama,-0.201,0.322,-0.175,-0.348,4
37,19,40098,Matt Fitzpatrick,-0.245,0.557,-0.897,0.096,4
38,-11,51634,Sahith Theegala,-0.302,-0.265,-0.184,0.147,4
39,0,59866,Nick Dunlap,-0.342,-0.012,0.251,-0.580,4
40,0,47420,Jake Knapp,-0.437,-0.259,-0.028,-0.150,4
41,0,47679,Victor Perez,-0.505,0.579,-0.455,-0.629,4
42,0,36699,Patrick Rodgers,-0.518,0.243,-0.837,0.076,4
43,-11,37455,Si Woo Kim,-0.536,-0.061,0.341,-0.816,4
44,0,32102,Rickie Fowler,-0.657,-0.646,0.239,-0.251,4
45,0,54591,Ben Griffin,-0.705,-0.486,0.728,-0.947,4
46,5,30927,Brendon Todd,-0.708,-0.858,-0.010,0.159,4
47,0,57364,Michael Thorbjornsen,-0.770,-1.027,-0.442,0.699,4
48,17,30926,Chris Kirk,-0.784,-0.326,-0.534,0.077,4
49,0,45157,Cam Davis,-0.820,-0.767,-1.014,0.961,4
50,0,35506,Mackenzie Hughes,-0.836,-0.598,-0.703,0.465,4
51,0,28089,Jason Day,-0.909,-0.141,-0.518,-0.251,4
52,-11,31646,Emiliano Grillo,-0.936,-0.504,0.618,-1.050,4
53,18,34099,Harris English,-0.975,0.196,-1.268,0.097,4
54,0,59095,Chris Gotterup,-0.997,-1.079,0.136,-0.054,4
55,0,47995,Davis Riley,-1.007,-0.539,-0.177,-0.291,4
56,0,47347,Adam Schenk,-1.051,0.926,-1.222,-0.756,4
57,-18,33141,Keegan Bradley,-1.058,0.641,-0.705,-0.993,4
58,-3,29420,Billy Horschel,-1.077,-0.669,-0.533,0.126,4
59,0,39977,Max Homa,-1.133,-1.248,0.445,-0.330,4
60,-18,33653,Thomas Detry,-1.160,0.141,-0.641,-0.659,4
61,0,29221,Webb Simpson,-1.178,-0.825,-1.539,1.185,4
62,-32,47504,Sam Burns,-1.204,0.066,-1.887,0.616,4
63,-46,24502,Adam Scott,-1.235,-0.921,-0.655,0.341,4
64,-40,49771,J.T. Poston,-1.399,-0.185,-0.675,-0.539,4
65,0,34256,Andrew Putnam,-1.830,-0.945,-1.022,0.136,4
66,0,47591,Eric Cole,-1.925,-1.749,-0.144,-0.032,4
67,-58,34046,Jordan Spieth,-2.042,-1.182,-0.224,-0.636,4
68,0,49947,Taylor Moore,-2.083,0.640,-1.733,-0.990,4
69,0,22405,Justin Rose,-2.489,-0.391,-1.643,-0.456,4
70,0,34466,Peter Malnati,-2.857,-2.088,-0.652,-0.118,4
