RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,23,25493,Nick Taylor,2.234,8.934,4
2,0,12716,Charley Hoffman,1.796,7.183,4
3,37,30927,Brendon Todd,1.712,6.848,4
4,0,22371,Aaron Baddeley,1.629,6.517,4
5,0,32366,Kevin Chappell,1.596,6.384,4
6,0,29936,Ryan Fox,1.490,5.959,4
7,64,57366,Cameron Young,1.304,5.214,4
8,62,34046,Jordan Spieth,1.268,5.072,4
9,0,29420,Billy Horschel,1.201,4.803,4
10,63,34099,Harris English,1.138,4.551,4
11,58,48117,Kurt Kitayama,1.120,4.480,4
12,-3,47504,Sam Burns,1.056,4.223,4
13,25,55708,Hayden Buckley,0.960,3.841,4
14,4,47347,Adam Schenk,0.914,3.656,4
15,-2,51634,Sahith Theegala,0.880,3.521,4
16,0,28593,Jesse Mueller,0.812,3.249,4
17,0,51997,Andrew Novak,0.799,3.195,4
18,11,33653,Thomas Detry,0.758,3.031,4
19,-13,55789,Taylor Montgomery,0.741,2.963,4
20,0,47420,Jake Knapp,0.738,2.951,4
21,0,50493,Justin Suh,0.704,2.816,4
22,0,54421,Garrick Higgo,0.599,2.394,4
23,43,40098,Matt Fitzpatrick,0.595,2.379,4
24,55,54591,Ben Griffin,0.594,2.374,4
25,0,58168,Davis Thompson,0.521,2.082,4
26,-18,35532,Tom Hoge,0.516,2.062,4
27,0,55893,Sam Stevens,0.440,1.759,4
28,21,24502,Adam Scott,0.416,1.664,4
29,39,32839,Hideki Matsuyama,0.410,1.640,4
30,45,27644,Brian Harman,0.399,1.596,4
31,-1,46442,Maverick McNealy,0.386,1.542,4
32,7,39546,Keith Mitchell,0.371,1.482,4
33,0,52375,Doug Ghim,0.282,1.127,4
34,-3,47591,Eric Cole,0.278,1.112,4
35,20,39997,Corey Conners,0.233,0.930,4
36,0,34076,Joel Dahmen,0.232,0.929,4
37,0,46441,Robby Shelton,0.210,0.838,4
38,12,55182,Tom Kim,0.183,0.731,4
39,0,57975,Harry Hall,0.172,0.689,4
40,7,37455,Si Woo Kim,0.161,0.642,4
41,0,40026,Daniel Berger,0.158,0.631,4
42,0,40058,Zac Blair,0.127,0.506,4
43,0,33408,Tyson Alexander,0.112,0.447,4
44,-3,27349,Alex Noren,0.108,0.432,4
45,-13,46046,Scottie Scheffler,0.105,0.419,4
46,0,27936,Martin Laird,0.103,0.412,4
47,20,33448,Justin Thomas,0.087,0.348,4
48,-33,47993,Denny McCarthy,0.042,0.169,4
49,-33,47988,Nick Hardy,-0.038,-0.154,4
50,0,24024,Zach Johnson,-0.074,-0.296,4
51,0,36852,Jim Knous,-0.108,-0.434,4
52,-25,50188,S.H. Kim,-0.111,-0.443,4
53,0,27064,Jhonattan Vegas,-0.192,-0.770,4
54,-53,51766,Wyndham Clark,-0.212,-0.850,4
55,0,37378,Min Woo Lee,-0.231,-0.924,4
56,0,52666,Sami Valimaki,-0.253,-1.011,4
57,-37,45522,Christiaan Bezuidenhout,-0.264,-1.056,4
58,-56,36801,Mark Hubbard,-0.414,-1.657,4
59,0,48887,Matt Wallace,-0.441,-1.766,4
60,-43,35461,Beau Hossler,-0.458,-1.833,4
61,-58,31646,Emiliano Grillo,-0.577,-2.307,4
62,0,52513,Carson Young,-0.630,-2.520,4
63,0,45609,Tyler Duncan,-0.646,-2.584,4
64,0,36871,Matt NeSmith,-0.661,-2.643,4
65,-42,39971,Sungjae Im,-0.733,-2.931,4
66,-45,33948,Byeong Hun An,-0.742,-2.970,4
67,0,33204,Shane Lowry,-0.773,-3.093,4
68,0,40162,Justin Lower,-0.787,-3.148,4
69,0,50497,Adrien Dumont de Chassart,-0.943,-3.774,4
70,-44,49947,Taylor Moore,-1.120,-4.482,4
71,0,34021,Bud Cauley,-1.435,-5.740,4
72,-68,28252,Seamus Power,-1.656,-6.625,4
73,0,51734,Nicolo Galletti,-1.673,-6.694,4
