PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
28237,Rory McIlroy,2024 Wells Fargo Championship,1.0705,1.529,1.562,0.82
48081,Xander Schauffele,2024 Wells Fargo Championship,0.233,1.414,1.869,0.216
37455,Si Woo Kim,2024 Wells Fargo Championship,-1.28775,0.552,1.369,0.348
28252,Séamus Power,2024 Wells Fargo Championship,-0.9395,0.371,1.717,-0.167
39997,Corey Conners,2024 Wells Fargo Championship,-0.6335,0.682,1.753,-0.57
25900,Lucas Glover,2024 Wells Fargo Championship,-0.7125,0.216,0.542,0.936
27349,Alex Noren,2024 Wells Fargo Championship,-0.9815,0.118,0.211,1.134
39977,Max Homa,2024 Wells Fargo Championship,0.29,-0.039,0.578,0.902
28089,Jason Day,2024 Wells Fargo Championship,0.9225,0.027,0.034,1.248
30911,Tommy Fleetwood,2024 Wells Fargo Championship,0.018,-0.201,0.54,0.875
36699,Patrick Rodgers,2024 Wells Fargo Championship,-0.9295,0.468,-0.434,1.127
40115,Adam Svensson,2024 Wells Fargo Championship,-2.091,0.427,0.712,-0.067
49960,Sepp Straka,2024 Wells Fargo Championship,0.673,0.463,1.176,-0.58
33948,Byeong Hun An,2024 Wells Fargo Championship,1.997,0.54,0.783,-0.339
34098,Russell Henley,2024 Wells Fargo Championship,0.50375,-0.59,1.099,0.47
29221,Webb Simpson,2024 Wells Fargo Championship,-0.43675,0.317,-0.283,0.885
33448,Justin Thomas,2024 Wells Fargo Championship,-0.10825,0.403,0.159,0.278
48117,Kurt Kitayama,2024 Wells Fargo Championship,-0.83575,0.047,0.849,-0.079
46717,Viktor Hovland,2024 Wells Fargo Championship,-0.3145,0.448,0.768,-0.42
33141,Keegan Bradley,2024 Wells Fargo Championship,-0.04575,-1.075,1.187,0.665
47993,Denny McCarthy,2024 Wells Fargo Championship,1.23,0.036,-0.174,0.89
34213,Grayson Murray,2024 Wells Fargo Championship,0.7515,-0.468,0.706,0.492
39971,Sungjae Im,2024 Wells Fargo Championship,1.5145,0.32,0.115,0.282
47504,Sam Burns,2024 Wells Fargo Championship,0.5325,0.68,0.181,-0.161
40250,Taylor Pendrith,2024 Wells Fargo Championship,0.9155,0.951,-0.5,0.115
45522,Christiaan Bezuidenhout,2024 Wells Fargo Championship,0.507,-0.581,0.715,0.341
33204,Shane Lowry,2024 Wells Fargo Championship,-1.443,0.323,0.108,-0.007
59866,Nick Dunlap,2024 Wells Fargo Championship,0.1005,-0.476,0.458,0.399
35506,Mackenzie Hughes,2024 Wells Fargo Championship,1.63425,0.14,-0.05,0.258
30926,Chris Kirk,2024 Wells Fargo Championship,-1.03325,0.316,0.077,-0.128
24502,Adam Scott,2024 Wells Fargo Championship,-0.01725,0.342,0.375,-0.467
50525,Collin Morikawa,2024 Wells Fargo Championship,0.7645,0.519,-0.163,-0.139
34046,Jordan Spieth,2024 Wells Fargo Championship,0.07475,1.3,-1.27,0.127
35450,Patrick Cantlay,2024 Wells Fargo Championship,0.28925,-0.217,-0.513,0.673
57366,Cameron Young,2024 Wells Fargo Championship,0.08,0.091,0.748,-0.937
25493,Nick Taylor,2024 Wells Fargo Championship,-0.669,0.141,-0.948,0.708
54628,Lee Hodges,2024 Wells Fargo Championship,0.58875,-0.357,0.193,0.057
22405,Justin Rose,2024 Wells Fargo Championship,-1.15725,-0.055,-0.043,-0.013
36799,Stephan Jaeger,2024 Wells Fargo Championship,0.93425,0.381,-0.577,-0.007
33399,Adam Hadwin,2024 Wells Fargo Championship,-1.025,-0.39,0.033,0.114
32333,Kevin Tway,2024 Wells Fargo Championship,-0.49025,-0.3,-0.156,0.178
51766,Wyndham Clark,2024 Wells Fargo Championship,-0.66575,0.124,0.104,-0.58
49947,Taylor Moore,2024 Wells Fargo Championship,0.15375,0.199,-0.376,-0.244
35532,Tom Hoge,2024 Wells Fargo Championship,0.1705,0.137,0.076,-0.651
55182,Tom Kim,2024 Wells Fargo Championship,-0.53275,-0.305,-0.767,0.587
45157,Cam Davis,2024 Wells Fargo Championship,0.22,-0.06,-0.031,-0.397
34256,Andrew Putnam,2024 Wells Fargo Championship,0.846,-0.622,0.479,-0.471
27644,Brian Harman,2024 Wells Fargo Championship,-0.2915,-1.203,0.383,0.092
32102,Rickie Fowler,2024 Wells Fargo Championship,-0.0165,-0.187,-0.372,-0.193
31646,Emiliano Grillo,2024 Wells Fargo Championship,-1.515,-0.121,0.439,-1.072
40098,Matt Fitzpatrick,2024 Wells Fargo Championship,-0.51225,-0.09,-1.055,0.389
34099,Harris English,2024 Wells Fargo Championship,0.7795,-0.152,-0.453,-0.193
51634,Sahith Theegala,2024 Wells Fargo Championship,-0.35675,0.435,0.163,-1.509
29725,Tony Finau,2024 Wells Fargo Championship,-0.3545,-0.227,-0.595,-0.092
47483,Will Zalatoris,2024 Wells Fargo Championship,-0.84625,0.173,-0.571,-0.524
49771,J.T. Poston,2024 Wells Fargo Championship,-0.81675,-0.279,-1.039,0.366
47420,Jake Knapp,2024 Wells Fargo Championship,-0.46025,0.968,-2.071,0.045
23108,Matt Kuchar,2024 Wells Fargo Championship,1.126,-0.526,-1.377,0.759
36884,Ben Kohles,2024 Wells Fargo Championship,-0.255,-0.177,-0.831,-0.255
29420,Billy Horschel,2024 Wells Fargo Championship,0.111,0.663,-2.302,0.26
31323,Gary Woodland,2024 Wells Fargo Championship,1.58275,-0.322,0.265,-1.794
56630,Akshay Bhatia,2024 Wells Fargo Championship,1.47375,-1.743,-0.605,0.356
57362,Austin Eckroat,2024 Wells Fargo Championship,-0.00125,0.396,-0.492,-1.921
30927,Brendon Todd,2024 Wells Fargo Championship,0.509,-1.134,-1.257,0.114
34466,Peter Malnati,2024 Wells Fargo Championship,-0.25025,-1.165,-0.789,-0.564
47347,Adam Schenk,2024 Wells Fargo Championship,0.3655,-1.009,-0.782,-0.843
48153,Matthieu Pavon,2024 Wells Fargo Championship,-0.6545,-0.819,-0.563,-1.482
47591,Eric Cole,2024 Wells Fargo Championship,-0.28225,-1.766,-1.083,-0.637
