RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,46414,Aaron Rai,2.836,0.361,2.195,0.279,4
2,0,66743,Luke Clanton,2.313,0.382,1.728,0.203,4
3,0,39324,J.J. Spaun,2.267,0.732,1.249,0.285,4
4,0,57366,Cameron Young,2.148,1.397,0.265,0.485,4
5,0,34587,Chan Kim,1.857,0.622,1.331,-0.096,4
6,0,54591,Ben Griffin,1.745,-0.630,2.053,0.322,4
7,0,51287,Ryo Hisatsune,1.648,0.408,1.801,-0.561,4
8,0,33399,Adam Hadwin,1.601,0.686,0.850,0.064,4
9,0,33141,Keegan Bradley,1.542,0.704,0.581,0.258,4
10,0,57900,Chandler Phillips,1.534,0.758,0.251,0.525,4
11,0,47988,Nick Hardy,1.511,0.325,0.729,0.458,4
12,0,45522,Christiaan Bezuidenhout,1.447,-0.725,1.285,0.887,4
13,0,47993,Denny McCarthy,1.398,0.088,0.926,0.384,4
14,0,51977,Max Greyserman,1.376,0.451,0.324,0.601,4
15,0,12716,Charley Hoffman,1.365,0.730,0.637,-0.002,4
16,0,47591,Eric Cole,1.304,0.028,1.064,0.212,4
17,0,51997,Andrew Novak,1.293,0.375,0.860,0.057,4
18,0,52514,Trace Crowe,1.228,0.565,0.443,0.219,4
19,0,60004,Jacob Bridgeman,1.127,0.723,0.761,-0.358,4
20,0,58168,Davis Thompson,1.102,0.700,-0.033,0.435,4
21,0,57362,Austin Eckroat,1.097,0.781,0.270,0.045,4
22,0,29420,Billy Horschel,1.015,0.299,1.031,-0.315,4
23,0,35461,Beau Hossler,0.996,0.621,0.302,0.073,4
24,0,51349,Nico Echavarria,0.994,0.372,0.195,0.427,4
25,0,28252,Seamus Power,0.923,0.461,-0.052,0.514,4
26,0,33486,Roger Sloan,0.914,-0.171,0.748,0.336,4
27,0,39546,Keith Mitchell,0.897,1.134,-0.420,0.183,4
28,0,29535,Brice Garnett,0.853,-0.061,0.407,0.506,4
29,0,27064,Jhonattan Vegas,0.746,-0.040,0.345,0.440,4
30,0,26596,Ryan Moore,0.692,-0.244,0.578,0.358,4
31,0,52375,Doug Ghim,0.658,-0.272,1.233,-0.302,4
32,0,51696,Rico Hoey,0.636,0.682,-0.091,0.044,4
33,0,59143,Mac Meissner,0.606,0.572,0.442,-0.408,4
34,0,36699,Patrick Rodgers,0.591,0.734,-0.673,0.530,4
35,0,40162,Justin Lower,0.567,-0.667,0.855,0.379,4
36,0,30927,Brendon Todd,0.549,0.039,0.008,0.502,4
37,0,31323,Gary Woodland,0.541,0.266,0.762,-0.487,4
38,0,47679,Victor Perez,0.411,-0.079,0.158,0.332,4
39,0,40115,Adam Svensson,0.256,-0.094,0.006,0.343,4
40,0,59095,Chris Gotterup,0.218,0.519,-0.378,0.077,4
41,0,34076,Joel Dahmen,0.202,-0.512,0.418,0.296,4
42,0,48887,Matt Wallace,0.191,0.179,-0.370,0.382,4
43,0,32333,Kevin Tway,0.095,0.419,0.039,-0.363,4
44,0,24024,Zach Johnson,0.037,0.189,-0.445,0.293,4
45,0,40058,Zac Blair,0.029,0.106,0.231,-0.308,4
46,0,49947,Taylor Moore,0.028,0.499,-0.131,-0.341,4
47,0,52372,Cameron Champ,-0.009,0.841,-0.601,-0.249,4
48,0,35506,Mackenzie Hughes,-0.067,-0.979,-0.658,1.570,4
49,0,47995,Davis Riley,-0.074,-0.103,-0.419,0.448,4
50,0,46442,Maverick McNealy,-0.111,0.348,-0.253,-0.205,4
51,0,23108,Matt Kuchar,-0.127,0.492,-0.816,0.197,4
52,0,40026,Daniel Berger,-0.164,0.146,-1.085,0.775,4
53,0,28775,Nate Lashley,-0.170,-0.517,1.255,-0.908,4
54,0,47983,Chad Ramey,-0.228,0.104,-1.034,0.702,4
55,0,27644,Brian Harman,-0.254,-0.414,0.188,-0.028,4
56,0,48867,Matti Schmid,-0.262,-0.139,0.147,-0.270,4
57,0,31646,Emiliano Grillo,-0.292,0.162,0.703,-1.158,4
58,0,32791,K.H. Lee,-0.296,0.009,-0.305,0.001,4
59,0,39971,Sungjae Im,-0.408,0.758,-0.808,-0.358,4
60,0,48119,Ben Taylor,-0.487,-0.241,0.076,-0.322,4
61,0,35617,Martin Trainer,-0.672,0.218,-1.996,1.105,4
62,0,59836,Pierceson Coody,-1.017,-1.221,0.152,0.052,4
63,0,50493,Justin Suh,-1.240,0.060,-0.897,-0.403,4
64,0,32367,Jorge Campillo,-1.276,-0.621,0.052,-0.707,4
65,0,51894,Vince Whaley,-1.622,-1.235,-0.706,0.319,4
66,0,50188,S.H. Kim,-4.346,-0.975,-2.927,-0.444,4
