RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,33448,Justin Thomas,3.579,0.738,2.006,0.835,4
2,0,51349,Nico Echavarria,2.568,0.343,2.000,0.226,4
3,-2,48117,Kurt Kitayama,2.260,0.741,1.155,0.363,4
4,0,51997,Andrew Novak,1.952,0.781,0.608,0.563,4
5,0,54218,Yuta Sugiura,1.661,0.293,1.117,0.250,4
6,25,29908,C.T. Pan,1.506,0.383,1.139,-0.015,4
7,0,54591,Ben Griffin,1.449,0.298,0.854,0.297,4
8,0,45242,Kevin Yu,1.386,0.600,0.480,0.306,4
9,0,54628,Lee Hodges,1.309,0.969,0.684,-0.345,4
10,25,49947,Taylor Moore,1.260,1.032,-0.146,0.373,4
11,9,23108,Matt Kuchar,1.210,0.091,0.581,0.537,4
12,0,39971,Sungjae Im,1.160,0.667,-0.156,0.649,4
12,32,25493,Nick Taylor,1.160,0.355,0.659,0.146,4
14,11,39324,J.J. Spaun,1.130,0.494,0.841,-0.204,4
15,0,66583,Taisei Shimizu,1.073,0.002,0.738,0.333,4
15,32,27064,Jhonattan Vegas,1.073,0.595,0.925,-0.447,4
17,0,34587,Chan Kim,1.049,0.443,0.281,0.325,4
18,0,48632,Yuto Katsuragawa,1.023,0.183,0.883,-0.043,4
19,0,37378,Min Woo Lee,1.005,0.332,0.364,0.308,4
20,-4,32102,Rickie Fowler,0.977,0.021,0.965,-0.009,4
21,-10,51696,Rico Hoey,0.867,0.581,0.226,0.060,4
22,0,51977,Max Greyserman,0.790,0.460,0.717,-0.387,4
23,0,37455,Si Woo Kim,0.771,-0.347,0.869,0.248,4
24,0,47591,Eric Cole,0.679,-0.435,0.848,0.266,4
25,0,40115,Adam Svensson,0.639,0.519,0.235,-0.115,4
26,0,34076,Joel Dahmen,0.609,-0.233,1.657,-0.815,4
27,34,39327,Ben Silverman,0.604,0.146,0.225,0.232,4
28,-26,52375,Doug Ghim,0.603,0.755,-0.204,0.052,4
29,0,57975,Harry Hall,0.566,0.832,-0.277,0.010,4
30,-16,28775,Nate Lashley,0.565,-0.673,0.034,1.204,4
31,-5,55893,Sam Stevens,0.453,0.992,0.160,-0.700,4
