RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,3.203,0.222,3.239,-0.258,4
2,0,33399,Adam Hadwin,2.701,0.319,1.899,0.483,4
3,0,50525,Collin Morikawa,2.420,0.786,1.272,0.362,4
4,0,51634,Sahith Theegala,2.239,0.925,0.921,0.393,4
5,12,39997,Corey Conners,1.798,0.168,0.502,1.128,4
6,0,45522,Christiaan Bezuidenhout,1.711,0.195,0.683,0.833,4
7,0,32839,Hideki Matsuyama,1.545,0.018,0.908,0.618,4
8,0,49960,Sepp Straka,1.527,0.673,0.041,0.813,4
9,0,37455,Si Woo Kim,1.483,0.835,0.117,0.532,4
10,9,47679,Victor Perez,1.473,-0.224,1.083,0.614,4
11,0,29725,Tony Finau,1.408,0.010,0.837,0.560,4
12,0,52955,Ludvig Åberg,1.378,-0.100,0.598,0.881,4
13,0,46717,Viktor Hovland,1.305,0.772,1.124,-0.590,4
14,0,57362,Austin Eckroat,0.976,0.109,1.014,-0.148,4
15,0,33448,Justin Thomas,0.965,-0.334,1.292,0.007,4
16,-9,47504,Sam Burns,0.811,0.435,-0.706,1.082,4
17,0,33948,Byeong Hun An,0.801,0.474,0.930,-0.603,4
18,-8,28237,Rory McIlroy,0.785,0.204,0.279,0.302,4
19,41,56630,Akshay Bhatia,0.775,1.033,0.099,-0.357,4
20,0,25493,Nick Taylor,0.763,0.198,0.285,0.281,4
21,0,40098,Matt Fitzpatrick,0.755,0.573,-0.139,0.321,4
22,0,39977,Max Homa,0.705,-0.239,1.090,-0.147,4
23,0,27644,Brian Harman,0.665,0.290,-0.346,0.721,4
24,0,39971,Sungjae Im,0.661,0.666,-0.858,0.853,4
25,-2,40115,Adam Svensson,0.651,0.023,0.347,0.282,4
26,-24,55182,Tom Kim,0.600,0.621,0.318,-0.338,4
27,0,31646,Emiliano Grillo,0.541,0.013,1.082,-0.554,4
28,0,58168,Davis Thompson,0.431,-0.380,0.706,0.105,4
29,-13,30911,Tommy Fleetwood,0.234,0.337,0.251,-0.354,4
30,0,59866,Nick Dunlap,0.093,-0.493,1.079,-0.493,4
31,0,45157,Cam Davis,0.040,0.515,-0.171,-0.303,4
32,0,23108,Matt Kuchar,0.016,-0.520,0.180,0.356,4
33,0,29420,Billy Horschel,-0.089,0.215,-0.088,-0.216,4
34,0,48081,Xander Schauffele,-0.169,0.411,-0.418,-0.161,4
35,0,34098,Russell Henley,-0.215,-0.065,0.253,-0.403,4
36,0,34466,Peter Malnati,-0.293,-0.365,-0.269,0.341,4
37,0,47483,Will Zalatoris,-0.304,0.047,-1.366,1.015,4
38,0,27349,Alex Noren,-0.415,-0.118,-0.319,0.022,4
39,0,28252,Seamus Power,-0.546,-0.435,-0.486,0.376,4
40,0,35532,Tom Hoge,-0.584,0.122,0.031,-0.737,4
41,2,40250,Taylor Pendrith,-0.697,-0.058,-0.605,-0.034,4
42,0,57366,Cameron Young,-0.712,0.440,-0.669,-0.483,4
43,0,49771,J.T. Poston,-0.739,-0.321,-0.015,-0.403,4
44,-18,33204,Shane Lowry,-0.742,0.168,-0.172,-0.737,4
45,0,47591,Eric Cole,-1.060,-0.256,-0.217,-0.586,4
46,0,33653,Thomas Detry,-1.079,0.047,-0.237,-0.889,4
47,0,54628,Lee Hodges,-1.114,-1.177,-0.026,0.090,4
48,0,28089,Jason Day,-1.368,-0.551,-0.066,-0.751,4
49,0,34256,Andrew Putnam,-1.626,-1.624,-0.696,0.694,4
50,0,33141,Keegan Bradley,-1.710,-0.619,-0.607,-0.484,4
51,0,66701,Jackson Koivun,-1.738,0.017,-1.552,-0.202,4
52,0,47993,Denny McCarthy,-1.834,-0.834,-0.673,-0.326,4
