RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,40098,Matt Fitzpatrick,1.806,7.222,4
2,36,47993,Denny McCarthy,1.775,7.101,4
3,54,49960,Sepp Straka,1.550,6.199,4
4,0,47504,Sam Burns,1.481,5.922,4
5,0,28089,Jason Day,1.443,5.770,4
6,0,22405,Justin Rose,1.290,5.161,4
7,0,28237,Rory McIlroy,1.079,4.316,4
8,46,35532,Tom Hoge,1.062,4.249,4
9,38,33204,Shane Lowry,0.980,3.919,4
10,8,34098,Russell Henley,0.907,3.626,4
11,-3,54591,Ben Griffin,0.808,3.231,4
12,14,51977,Max Greyserman,0.773,3.091,4
13,0,39997,Corey Conners,0.712,2.846,4
14,18,45522,Christiaan Bezuidenhout,0.662,2.647,4
15,0,66701,Jackson Koivun,0.631,2.525,4
16,0,39971,Sungjae Im,0.560,2.239,4
17,-12,60004,Jacob Bridgeman,0.521,2.085,4
18,0,52955,Ludvig Åberg,0.503,2.013,4
19,0,24502,Adam Scott,0.476,1.905,4
20,0,35506,Mackenzie Hughes,0.459,1.835,4
21,0,33141,Keegan Bradley,0.313,1.252,4
22,15,39975,Michael Kim,0.301,1.204,4
23,0,52215,Robert MacIntyre,0.181,0.725,4
24,0,51997,Andrew Novak,0.172,0.688,4
25,-5,40026,Daniel Berger,0.144,0.576,4
26,0,29725,Tony Finau,0.141,0.564,4
27,0,33948,Byeong Hun An,0.075,0.298,4
28,0,37455,Si Woo Kim,0.028,0.111,4
29,0,57362,Austin Eckroat,0.008,0.032,4
30,-9,51950,Max McGreevy,-0.020,-0.082,4
31,0,30911,Tommy Fleetwood,-0.034,-0.138,4
32,-30,36699,Patrick Rodgers,-0.046,-0.184,4
33,0,46414,Aaron Rai,-0.049,-0.196,4
34,0,48081,Xander Schauffele,-0.065,-0.261,4
35,0,33399,Adam Hadwin,-0.068,-0.273,4
36,0,50525,Collin Morikawa,-0.121,-0.483,4
37,0,35450,Patrick Cantlay,-0.268,-1.072,4
38,26,27644,Brian Harman,-0.400,-1.602,4
39,0,51766,Wyndham Clark,-0.435,-1.740,4
40,0,47591,Eric Cole,-0.517,-2.069,4
41,14,30926,Chris Kirk,-0.538,-2.151,4
42,0,25493,Nick Taylor,-0.568,-2.272,4
43,0,55893,Sam Stevens,-0.727,-2.909,4
44,0,32839,Hideki Matsuyama,-0.734,-2.937,4
45,18,56781,Isaiah Salinda,-0.853,-3.413,4
46,-32,39324,J.J. Spaun,-0.958,-3.834,4
47,0,25900,Lucas Glover,-1.071,-4.284,4
48,0,33448,Justin Thomas,-1.324,-5.296,4
49,0,46046,Scottie Scheffler,-1.329,-5.315,4
50,0,47483,Will Zalatoris,-1.524,-6.097,4
51,0,49771,J.T. Poston,-2.447,-9.788,4
